Random seed, 13
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 5.790165492466518e-08, -1.238910368510655, 0
validating, -1, 0.0, -1.2105818748474122, 0
testing, -1, -1.1920928955078126e-08, -1.243046188354492, 0
training, 0, 0.9986124038696289, -1.7060142687388828, 0
validating, 0, 0.9979353427886963, -1.7016688346862794, 0
testing, 0, 1.112993550300598, -1.7051662921905517, 0
training, 1, 0.6117431572505406, -1.3671292202813285, 0
validating, 1, 0.520900297164917, -1.3325131416320801, 0
testing, 1, 0.4186676502227783, -1.3274402618408203, 0
training, 2, 0.4416555881500244, -1.2763569218771798, 0
validating, 2, 0.4921781063079834, -1.2982515811920166, 0
testing, 2, 0.39189093112945556, -1.2914173126220703, 0
training, 3, 0.4110445295061384, -1.2654199157442365, 0
validating, 3, 0.49967098236083984, -1.2816553115844727, 0
testing, 3, 0.36309424638748167, -1.2727912425994874, 0
training, 4, 0.39121762003217425, -1.2577229499816895, 0
validating, 4, 0.4978936672210693, -1.2737530946731568, 0
testing, 4, 0.3567722916603088, -1.2691336154937745, 0
training, 5, 0.39303433213915145, -1.2572327068873814, 0
validating, 5, 0.5133524417877198, -1.2659783363342285, 0
testing, 5, 0.351513659954071, -1.2634209156036378, 0
training, 6, 0.38671818120138984, -1.2570081574576242, 0
validating, 6, 0.5022982597351074, -1.2654150485992433, 0
testing, 6, 0.3495383977890015, -1.2612955093383789, 0
training, 7, 0.38180838653019494, -1.254192577089582, 0
validating, 7, 0.5017950534820557, -1.2654150485992433, 0
testing, 7, 0.35188286304473876, -1.2618888735771179, 0
training, 8, 0.36797030312674384, -1.2547642367226737, 0
validating, 8, 0.5169181823730469, -1.2684932708740235, 0
testing, 8, 0.3731362223625183, -1.2604018568992614, 0
training, 9, 0.36662552016122, -1.2529891150338308, 0
validating, 9, 0.5082601070404053, -1.2654150485992433, 0
testing, 9, 0.3439166069030762, -1.258579170703888, 0
training, 10, 0.36426820755004885, -1.25106931413923, 0
validating, 10, 0.5324671745300293, -1.2706730842590332, 0
testing, 10, 0.3770461082458496, -1.2621838808059693, 0
training, 11, 0.34863858222961425, -1.2527960845402308, 0
validating, 11, 0.5203730583190918, -1.2654150485992433, 0
testing, 11, 0.34734015464782714, -1.255184268951416, 0
training, 12, 0.36320851530347553, -1.255001013619559, 0
validating, 12, 0.5625009059906005, -1.2762661933898927, 0
testing, 12, 0.37971296310424807, -1.2676621079444885, 0
training, 13, 0.35044381277901787, -1.251853653362819, 0
validating, 13, 0.5148361206054688, -1.2654150485992433, 0
testing, 13, 0.3413196444511414, -1.2563102483749389, 0
training, 14, 0.33736471108027866, -1.2509016820362635, 0
validating, 14, 0.5228283882141114, -1.2654150485992433, 0
testing, 14, 0.3334684371948242, -1.2553833246231079, 0
training, 15, 0.3390230553490775, -1.2510116066251482, 0
validating, 15, 0.5184990406036377, -1.2654131174087524, 0
testing, 15, 0.33516470193862913, -1.2560612559318542, 0
training, 16, 0.333381141935076, -1.2508896453039986, 0
validating, 16, 0.5215843200683594, -1.2654396295547485, 0
testing, 16, 0.3375318646430969, -1.2572481513023377, 0
training, 17, 0.33263933658599854, -1.25080475125994, 0
validating, 17, 0.5270362377166748, -1.2654103755950927, 0
testing, 17, 0.3332602381706238, -1.2559183359146118, 0
training, 18, 0.3294835124697004, -1.2506431136812484, 0
