Random seed, 32
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 6.8119594029017855e-09, -4.107909325190953, 0
validating, -1, -4.76837158203125e-08, -4.055610179901123, 0
testing, -1, 2.384185791015625e-08, -4.078385066986084, 0
training, 0, 0.41986382688794815, -4.328097220829555, 0
validating, 0, 0.3441989064216614, -4.214455890655517, 0
testing, 0, 0.4405466079711914, -4.274359798431396, 0
training, 1, 0.2952866758619036, -4.249929550715855, 0
validating, 1, 0.2096838593482971, -4.096874237060547, 0
testing, 1, 0.2363502264022827, -4.144284462928772, 0
training, 2, 0.5039647613252912, -4.141986737932478, 0
validating, 2, 0.6335486769676208, -4.09525146484375, 0
testing, 2, 0.5927184283733368, -4.101834535598755, 0
training, 3, 0.6486627510615758, -4.108825397491455, 0
validating, 3, 0.6118274807929993, -4.09525146484375, 0
testing, 3, 0.5731065928936004, -4.101834535598755, 0
training, 4, 0.6233794604028974, -4.108864593505859, 0
validating, 4, 0.5806272149085998, -4.09525146484375, 0
testing, 4, 0.5454946458339691, -4.101834535598755, 0
training, 5, 0.5848256587982178, -4.108878067561558, 0
validating, 5, 0.5510874629020691, -4.09525146484375, 0
testing, 5, 0.5193758308887482, -4.101834535598755, 0
training, 6, 0.5682564888681684, -4.1088155746459964, 0
validating, 6, 0.5404103875160218, -4.09525146484375, 0
testing, 6, 0.5099160552024842, -4.101834535598755, 0
training, 7, 0.562548623766218, -4.108810479300363, 0
validating, 7, 0.5391924738883972, -4.09525146484375, 0
testing, 7, 0.5088341712951661, -4.101834535598755, 0
training, 8, 0.5614457317761012, -4.108806296757289, 0
validating, 8, 0.5382643818855286, -4.09525146484375, 0
testing, 8, 0.5080124914646149, -4.101834535598755, 0
training, 9, 0.5580494914736066, -4.10882054737636, 0
validating, 9, 0.5327223658561706, -4.09525146484375, 0
testing, 9, 0.5030586957931519, -4.101834535598755, 0
training, 10, 0.5527633053915841, -4.108802427564348, 0
validating, 10, 0.5284213185310364, -4.09525146484375, 0
testing, 10, 0.49920961260795593, -4.101834535598755, 0
training, 11, 0.5502752491406032, -4.108798789978027, 0
validating, 11, 0.52812739610672, -4.09525146484375, 0
