Random seed, 17
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 3.4059797014508927e-08, -4.738116754804339, 0
validating, -1, -9.5367431640625e-08, -4.860793113708496, 0
testing, -1, -1.430511474609375e-07, -4.710105133056641, 0
training, 0, 1.5348764726093838, -5.294120175497873, 0
validating, 0, 1.4637487888336183, -5.286746501922607, 0
testing, 0, 1.5444151401519775, -5.2602150440216064, 0
training, 1, 1.44732677255358, -5.292484406062535, 0
validating, 1, 1.3631672859191895, -5.269313812255859, 0
testing, 1, 1.4186897039413453, -5.23656644821167, 0
training, 2, 1.391398480960301, -5.271242277962821, 0
validating, 2, 1.3064440727233886, -5.294041442871094, 0
testing, 2, 1.3400877237319946, -5.232816886901856, 0
training, 3, 1.3568806954792567, -5.288388851710728, 0
validating, 3, 1.283843469619751, -5.279888057708741, 0
testing, 3, 1.312647271156311, -5.216066503524781, 0
training, 4, 1.3455151455742973, -5.291080474853516, 0
validating, 4, 1.2826079845428466, -5.275492191314697, 0
testing, 4, 1.3064306020736693, -5.212101316452026, 0
training, 5, 1.3410291024616787, -5.278281770433698, 0
validating, 5, 1.2775895595550537, -5.28124361038208, 0
testing, 5, 1.3007096290588378, -5.213192129135132, 0
training, 6, 1.3339700256075178, -5.281975664411273, 0
validating, 6, 1.287972640991211, -5.263260364532471, 0
testing, 6, 1.3132224559783936, -5.203258514404297, 0
training, 7, 1.3399488483156476, -5.2681476048060825, 0
validating, 7, 1.3009782314300538, -5.255949687957764, 0
testing, 7, 1.3510679960250855, -5.211398935317993, 0
training, 8, 1.338164802959987, -5.265691062382289, 0
validating, 8, 1.2797951221466064, -5.297092342376709, 0
testing, 8, 1.310100245475769, -5.23392767906189, 0
training, 9, 1.358231588772365, -5.263859244755336, 0
validating, 9, 1.2953337669372558, -5.256232261657715, 0
testing, 9, 1.3279271125793457, -5.203631639480591, 0
training, 10, 1.3523515939712525, -5.252627182006836, 0
validating, 10, 1.2781804561614991, -5.272692394256592, 0
testing, 10, 1.3104516744613648, -5.213301038742065, 0
training, 11, 1.3456693478993007, -5.2460091727120535, 0
validating, 11, 1.2882503986358642, -5.258916187286377, 0
testing, 11, 1.3193724393844604, -5.202838945388794, 0
training, 12, 1.3475600004196167, -5.2420870917184015, 0
validating, 12, 1.2918148994445802, -5.262053298950195, 0
testing, 12, 1.3250701904296875, -5.2078883171081545, 0
training, 13, 1.351532244682312, -5.275003964560373, 0
validating, 13, 1.2984935283660888, -5.254602527618408, 0
testing, 13, 1.327796721458435, -5.20357460975647, 0
training, 14, 1.3454582861491613, -5.239559718540737, 0
validating, 14, 1.3100305080413819, -5.248437786102295, 0
testing, 14, 1.3756519556045532, -5.216079998016357, 0
training, 15, 1.3645150831767492, -5.2516367094857355, 0
validating, 15, 1.3146890163421632, -5.249398422241211, 0
testing, 15, 1.3499754428863526, -5.207779026031494, 0
training, 16, 1.3542396851948328, -5.236129052298409, 0
validating, 16, 1.285916519165039, -5.262352752685547, 0
testing, 16, 1.3179638147354127, -5.206548881530762, 0
training, 17, 1.3459588697978428, -5.239008358546665, 0
validating, 17, 1.2904723644256593, -5.25018424987793, 0
testing, 17, 1.3270712614059448, -5.202608251571656, 0
training, 18, 1.345886594908578, -5.239892087663923, 0
validating, 18, 1.2960662364959716, -5.247064113616943, 0
testing, 18, 1.3424352169036866, -5.208581113815308, 0
training, 19, 1.3471448728016444, -5.236492483956473, 0
validating, 19, 1.2758463382720948, -5.253573036193847, 0
testing, 19, 1.3162325382232667, -5.204600143432617, 0
training, 20, 1.3435379198619297, -5.238849626268659, 0
validating, 20, 1.2771194458007813, -5.2547149658203125, 0
testing, 20, 1.3169605493545533, -5.205204629898072, 0
training, 21, 1.3443528822490147, -5.2341109548296245, 0
validating, 21, 1.286546802520752, -5.246979141235352, 0
testing, 21, 1.3265722513198852, -5.203638124465942, 0
training, 22, 1.3461195162364414, -5.244041538238525, 0
validating, 22, 1.3026137828826905, -5.244132995605469, 0
testing, 22, 1.3437901496887208, -5.206533527374267, 0
training, 23, 1.3515483004706246, -5.235740075792585, 0
validating, 23, 1.3134482860565186, -5.243925380706787, 0
testing, 23, 1.359397029876709, -5.208071994781494, 0
training, 24, 1.3572964361735753, -5.229676614488874, 0
validating, 24, 1.3118803024291992, -5.246815776824951, 0
testing, 24, 1.358007550239563, -5.208063840866089, 0
training, 25, 1.3452820880072458, -5.23309691292899, 0
validating, 25, 1.2966225147247314, -5.241970062255859, 0
testing, 25, 1.3454137802124024, -5.207672071456909, 0
training, 26, 1.3466919660568237, -5.23266977582659, 0
validating, 26, 1.278268575668335, -5.246802616119385, 0
testing, 26, 1.3234486818313598, -5.20536961555481, 0
training, 27, 1.3432638270514352, -5.226435852050781, 0
validating, 27, 1.292680025100708, -5.242525863647461, 0
testing, 27, 1.342242693901062, -5.2105104446411135, 0
training, 28, 1.3383910826274328, -5.234314128330776, 0
validating, 28, 1.2837193965911866, -5.245768928527832, 0
testing, 28, 1.331454372406006, -5.20821533203125, 0
training, 29, 1.3363767862319946, -5.2237741606576105, 0
validating, 29, 1.2835289478302, -5.239818096160889, 0
testing, 29, 1.3351937055587768, -5.208192634582519, 0
training, 30, 1.3346447025026593, -5.231721728188651, 0
validating, 30, 1.2848583698272704, -5.2427191734313965, 0
testing, 30, 1.3375473499298096, -5.209671115875244, 0
training, 31, 1.346306232043675, -5.244313103812082, 0
validating, 31, 1.3123050212860108, -5.2874884605407715, 0
testing, 31, 1.3553957223892212, -5.237870883941651, 0
training, 32, 1.332407055582319, -5.228220203944615, 0
validating, 32, 1.2798987865447997, -5.241302108764648, 0
testing, 32, 1.3430619716644288, -5.213400936126709, 0
training, 33, 1.3572573627744402, -5.228279740469796, 0
validating, 33, 1.3389171600341796, -5.24574384689331, 0
testing, 33, 1.39297513961792, -5.224117136001587, 0
training, 34, 1.3381134339741299, -5.239252144949777, 0
validating, 34, 1.304655170440674, -5.247013759613037, 0
testing, 34, 1.3434602975845338, -5.208743333816528, 0
training, 35, 1.3468784843172346, -5.226921680995396, 0
validating, 35, 1.3074552059173583, -5.263619041442871, 0
testing, 35, 1.3481636762619018, -5.219372272491455, 0
training, 36, 1.3444452387945993, -5.231262166159493, 0
validating, 36, 1.3200783729553223, -5.274168872833252, 0
testing, 36, 1.3673024892807006, -5.2322669506073, 0
training, 37, 1.3467584371566772, -5.224049895150321, 0
validating, 37, 1.3124531745910644, -5.2724365234375, 0
testing, 37, 1.3637511491775514, -5.233146667480469, 0
training, 38, 1.3403749431882586, -5.2277071680341445, 0
validating, 38, 1.2840143203735352, -5.24005765914917, 0
testing, 38, 1.342859435081482, -5.211517572402954, 0
training, 39, 1.325675940513611, -5.225664397648402, 0
validating, 39, 1.283847951889038, -5.268297958374023, 0
testing, 39, 1.3395102739334106, -5.228709936141968, 0
training, 40, 1.3139431851250785, -5.221143790653774, 0
validating, 40, 1.2677334308624268, -5.231715106964112, 0
testing, 40, 1.3304728984832763, -5.209774732589722, 0
training, 41, 1.3136372123445783, -5.216516413007464, 0
validating, 41, 1.2556657314300537, -5.253199577331543, 0
testing, 41, 1.32265145778656, -5.221401500701904, 0
training, 42, 1.3296210731778826, -5.2214889390128, 0
validating, 42, 1.277879238128662, -5.265570640563965, 0
testing, 42, 1.3424829721450806, -5.2324059009552, 0
training, 43, 1.3281709568841116, -5.219657693590436, 0
validating, 43, 1.2635496139526368, -5.259321689605713, 0
testing, 43, 1.332141399383545, -5.2278519630432125, 0
training, 44, 1.3434159789766584, -5.227163028717041, 0
validating, 44, 1.289895486831665, -5.242078113555908, 0
testing, 44, 1.35263192653656, -5.213103151321411, 0
training, 45, 1.3429798773356847, -5.22300135748727, 0
validating, 45, 1.2703004837036134, -5.229266929626465, 0
testing, 45, 1.3377148389816285, -5.210566186904908, 0
training, 46, 1.3156996011734008, -5.22067437853132, 0
validating, 46, 1.265662670135498, -5.2444360733032225, 0
testing, 46, 1.334445548057556, -5.218827915191651, 0
training, 47, 1.3234743288585118, -5.219353307996477, 0
validating, 47, 1.2696526527404786, -5.2349225044250485, 0
testing, 47, 1.3412111520767211, -5.218103885650635, 0
training, 48, 1.3268930673599244, -5.222799164908273, 0
validating, 48, 1.2712753772735597, -5.237704181671143, 0
testing, 48, 1.338829016685486, -5.215791797637939, 0
training, 49, 1.3312776463372367, -5.2196124621800015, 0
validating, 49, 1.2943286418914794, -5.272947692871094, 0
testing, 49, 1.3630535840988158, -5.242288303375244, 0
training, 50, 1.3209961652755737, -5.225842571258545, 0
validating, 50, 1.2828388690948487, -5.232010078430176, 0
testing, 50, 1.3554117202758789, -5.212987232208252, 0
training, 51, 1.3270932027271816, -5.223012093135289, 0
validating, 51, 1.2669121265411376, -5.251424026489258, 0
testing, 51, 1.34247567653656, -5.227128982543945, 0
training, 52, 1.3169291734695434, -5.222050598689488, 0
validating, 52, 1.2660861015319824, -5.2414374351501465, 0
testing, 52, 1.3429644346237182, -5.220030689239502, 0
training, 53, 1.312395759991237, -5.224869850703648, 0
validating, 53, 1.2571038722991943, -5.242138385772705, 0
testing, 53, 1.3374120473861695, -5.221282291412353, 0
training, 54, 1.326365862573896, -5.220418902805873, 0
validating, 54, 1.2549333572387695, -5.230115699768066, 0
testing, 54, 1.3410799503326416, -5.219017601013183, 0
training, 55, 1.3103186777659825, -5.212337929861886, 0
validating, 55, 1.2812175273895263, -5.24079532623291, 0
testing, 55, 1.355607271194458, -5.221857070922852, 0
training, 56, 1.3209734405790057, -5.220934350149972, 0
validating, 56, 1.2860501289367676, -5.232620334625244, 0
testing, 56, 1.3601775407791137, -5.213658142089844, 0
training, 57, 1.3212322541645596, -5.215128830501011, 0
validating, 57, 1.2714009761810303, -5.236662864685059, 0
testing, 57, 1.3452094554901124, -5.218054676055909, 0
training, 58, 1.3093698603766306, -5.208819743565151, 0
validating, 58, 1.2678796291351317, -5.242176914215088, 0
testing, 58, 1.3428238153457641, -5.222604465484619, 0
training, 59, 1.3168212243488857, -5.213597420283726, 0
validating, 59, 1.2984482765197753, -5.238017559051514, 0
testing, 59, 1.375654673576355, -5.21831316947937, 0
training, 60, 1.3150944198880876, -5.224866771697998, 0
validating, 60, 1.2703171730041505, -5.236731243133545, 0
testing, 60, 1.3451619625091553, -5.217996311187744, 0
training, 61, 1.3147649117878506, -5.20953209740775, 0
validating, 61, 1.2681676387786864, -5.231189727783203, 0
testing, 61, 1.3480825901031495, -5.216388082504272, 0
training, 62, 1.3116767508643015, -5.2104181289672855, 0
validating, 62, 1.2636590003967285, -5.241565608978272, 0
testing, 62, 1.3397227764129638, -5.222185564041138, 0
training, 63, 1.2997539009366716, -5.212126568385533, 0
validating, 63, 1.2612781524658203, -5.230562973022461, 0
testing, 63, 1.3408579349517822, -5.215484094619751, 0
training, 64, 1.29837943145207, -5.210903249468122, 0
validating, 64, 1.2567805290222167, -5.240679836273193, 0
testing, 64, 1.3369054794311523, -5.222827196121216, 0
training, 65, 1.2991840737206595, -5.211915819985526, 0
validating, 65, 1.255235242843628, -5.227902030944824, 0
testing, 65, 1.337208080291748, -5.21478009223938, 0
training, 66, 1.3039626496178762, -5.208950969151088, 0
validating, 66, 1.262089776992798, -5.2319028854370115, 0
testing, 66, 1.3433880805969238, -5.216777896881103, 0
training, 67, 1.2966060536248343, -5.2178463390895296, 0
validating, 67, 1.2613210201263427, -5.234011650085449, 0
testing, 67, 1.3389029264450074, -5.218342113494873, 0
training, 68, 1.3084903819220406, -5.208345345088413, 0
validating, 68, 1.2563596725463868, -5.242999458312989, 0
testing, 68, 1.3386940479278564, -5.225806713104248, 0
training, 69, 1.2985917602266583, -5.207772472926549, 0
validating, 69, 1.265711784362793, -5.23655948638916, 0
testing, 69, 1.3423964500427246, -5.21822304725647, 0
training, 70, 1.3115969623838153, -5.21484763281686, 0
validating, 70, 1.2646825313568115, -5.234095573425293, 0
testing, 70, 1.3405147314071655, -5.216589879989624, 0
training, 71, 1.3026683705193656, -5.207201944078718, 0
validating, 71, 1.2750565528869628, -5.234028911590576, 0
