Random seed, 24
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -5.108969552176339e-09, -3.431812265941075, 0
validating, -1, 0.0, -3.4874147891998293, 0
testing, -1, -1.1920928955078126e-08, -3.5024672985076903, 0
training, 0, 0.26857658965247017, -4.086384064810616, 0
validating, 0, 0.2485114574432373, -4.072816467285156, 0
testing, 0, 0.30982710123062135, -4.151292777061462, 0
training, 1, 0.26721136059079853, -4.0850835732051305, 0
validating, 1, 0.24094772338867188, -4.070407390594482, 0
testing, 1, 0.30707746744155884, -4.152116799354554, 0
training, 2, 0.2610457369259426, -4.085198218481882, 0
validating, 2, 0.2368901014328003, -4.070987558364868, 0
testing, 2, 0.29161434173583983, -4.1372275114059445, 0
training, 3, 0.2518616999898638, -4.071496023450579, 0
validating, 3, 0.23420531749725343, -4.067524528503418, 0
testing, 3, 0.28924391269683836, -4.137507009506225, 0
training, 4, 0.24794876745768957, -4.067075204849243, 0
validating, 4, 0.23361711502075194, -4.074545860290527, 0
testing, 4, 0.283384370803833, -4.134851050376892, 0
training, 5, 0.23785921335220336, -4.061844968795777, 0
validating, 5, 0.2300044298171997, -4.0684192180633545, 0
testing, 5, 0.26154700517654417, -4.111767244338989, 0
training, 6, 0.23304636308125087, -4.053589480263846, 0
validating, 6, 0.22405569553375243, -4.066719961166382, 0
testing, 6, 0.2626755475997925, -4.1153610944747925, 0
training, 7, 0.22218187366213119, -4.041662747519357, 0
validating, 7, 0.2217658281326294, -4.0627171993255615, 0
testing, 7, 0.2632465362548828, -4.115529632568359, 0
training, 8, 0.214869487285614, -4.040144763674054, 0
validating, 8, 0.21639738082885743, -4.05578498840332, 0
testing, 8, 0.24663231372833253, -4.100112581253052, 0
training, 9, 0.2211238844054086, -4.043818439756121, 0
validating, 9, 0.21208436489105226, -4.04535551071167, 0
testing, 9, 0.25668753385543824, -4.11236572265625, 0
training, 10, 0.21442946195602416, -4.040240042550224, 0
validating, 10, 0.21481480598449706, -4.048083400726318, 0
testing, 10, 0.25814476013183596, -4.1115213394165036, 0
training, 11, 0.22424230405262538, -4.049262142181396, 0
validating, 11, 0.22134947776794434, -4.056258010864258, 0
testing, 11, 0.25168212652206423, -4.104169392585755, 0
training, 12, 0.2129475849015372, -4.0393283094678605, 0
validating, 12, 0.20931172370910645, -4.048553228378296, 0
testing, 12, 0.24032344818115234, -4.0959635257720945, 0
training, 13, 0.2036972062928336, -4.027164895193917, 0
validating, 13, 0.21710631847381592, -4.057125091552734, 0
testing, 13, 0.24673784971237184, -4.101248502731323, 0
training, 14, 0.2044989057949611, -4.0226971081324985, 0
validating, 14, 0.21061310768127442, -4.052371406555176, 0
testing, 14, 0.22852070331573487, -4.085154676437378, 0
training, 15, 0.21397019965308053, -4.037485606329781, 0
validating, 15, 0.22891016006469728, -4.0634010314941404, 0
testing, 15, 0.2639298319816589, -4.120192503929138, 0
training, 16, 0.21124822923115322, -4.03076308114188, 0
validating, 16, 0.21298434734344482, -4.044011497497559, 0
testing, 16, 0.24872888326644899, -4.1015533924102785, 0
training, 17, 0.20833392313548496, -4.030501542772566, 0
validating, 17, 0.21193127632141112, -4.048856353759765, 0
testing, 17, 0.23467472791671753, -4.0925980567932125, 0
training, 18, 0.2173695172582354, -4.041760315213884, 0
validating, 18, 0.2263868570327759, -4.059126901626587, 0
testing, 18, 0.2494791865348816, -4.10289945602417, 0
training, 19, 0.21768329654421126, -4.034651531491961, 0
validating, 19, 0.21837160587310792, -4.046094274520874, 0
testing, 19, 0.2665195107460022, -4.1184710502624515, 0
training, 20, 0.2055175083024161, -4.025772326333183, 0
validating, 20, 0.2219913959503174, -4.056150722503662, 0
testing, 20, 0.24766979217529297, -4.10285632610321, 0
training, 21, 0.20143575498035976, -4.021544599533081, 0
validating, 21, 0.21281306743621825, -4.048903942108154, 0
testing, 21, 0.23450196981430055, -4.086943817138672, 0
training, 22, 0.20869452783039638, -4.027805416924613, 0
validating, 22, 0.22789473533630372, -4.066889762878418, 0
testing, 22, 0.25145472288131715, -4.103717374801636, 0
training, 23, 0.20900967291423253, -4.022134419849941, 0
validating, 23, 0.20806422233581542, -4.047491264343262, 0
testing, 23, 0.2282947778701782, -4.081441617012024, 0
training, 24, 0.2114029458590916, -4.037728234699794, 0
validating, 24, 0.20940556526184081, -4.047580575942993, 0
testing, 24, 0.23088089227676392, -4.083496737480163, 0
training, 25, 0.20350787128720965, -4.020604876109532, 0
validating, 25, 0.21455936431884765, -4.051087379455566, 0
testing, 25, 0.23695582151412964, -4.088832974433899, 0
training, 26, 0.21073838812964305, -4.030191217150007, 0
validating, 26, 0.21582505702972413, -4.049475479125976, 0
testing, 26, 0.24479923248291016, -4.098349690437317, 0
training, 27, 0.20407290288380214, -4.026618249075753, 0
validating, 27, 0.22329180240631102, -4.063358974456787, 0
testing, 27, 0.2571844935417175, -4.116544079780579, 0
training, 28, 0.20545257329940797, -4.016822474343436, 0
validating, 28, 0.21147372722625732, -4.051167583465576, 0
testing, 28, 0.23662736415863037, -4.090832471847534, 0
training, 29, 0.19820835760661534, -4.011490896769932, 0
validating, 29, 0.21774747371673583, -4.057895469665527, 0
testing, 29, 0.23430634737014772, -4.0875272989273075, 0
training, 30, 0.20416171380451748, -4.029696273803711, 0
validating, 30, 0.20960099697113038, -4.050522899627685, 0
testing, 30, 0.2248400092124939, -4.077694964408875, 0
training, 31, 0.19599750893456594, -4.010160459790911, 0
validating, 31, 0.21042122840881347, -4.0502887725830075, 0
testing, 31, 0.22503024339675903, -4.077090215682984, 0
training, 32, 0.19617452791758946, -4.008289364406041, 0
validating, 32, 0.21561801433563232, -4.059413719177246, 0
testing, 32, 0.2251052141189575, -4.07854540348053, 0
training, 33, 0.19073693581989834, -4.003838975088937, 0
validating, 33, 0.21140837669372559, -4.05564775466919, 0
testing, 33, 0.2174748659133911, -4.071487450599671, 0
training, 34, 0.18877267667225428, -4.0001280239650185, 0
validating, 34, 0.21905894279479982, -4.065768241882324, 0
testing, 34, 0.22866828441619874, -4.086577463150024, 0
training, 35, 0.18852664572852, -4.004674237115043, 0
validating, 35, 0.2079080581665039, -4.054660034179688, 0
testing, 35, 0.21193466186523438, -4.066172575950622, 0
training, 36, 0.19601784263338362, -4.006470761980329, 0
validating, 36, 0.2150643825531006, -4.060720729827881, 0
testing, 36, 0.22683298587799072, -4.0836187362670895, 0
training, 37, 0.18920145545686995, -4.011842407499041, 0
validating, 37, 0.20806508064270018, -4.0543781280517575, 0
testing, 37, 0.21133991479873657, -4.067459893226624, 0
training, 38, 0.18709553820746286, -4.003262860434396, 0
validating, 38, 0.21300818920135497, -4.059345006942749, 0
testing, 38, 0.215448796749115, -4.069831228256225, 0
training, 39, 0.18928700004305157, -3.9975775241851808, 0
validating, 39, 0.22013211250305176, -4.066567754745483, 0
testing, 39, 0.23050055503845215, -4.086065936088562, 0
training, 40, 0.19256054844175066, -4.001900713784354, 0
validating, 40, 0.21615045070648192, -4.061351919174195, 0
testing, 40, 0.2248239755630493, -4.078728580474854, 0
training, 41, 0.19000156777245658, -4.0039245196751185, 0
validating, 41, 0.2118739128112793, -4.0566150665283205, 0
testing, 41, 0.21604138612747192, -4.06879575252533, 0
training, 42, 0.18822373492377145, -4.002042313984462, 0
validating, 42, 0.2103961944580078, -4.0567967891693115, 0
testing, 42, 0.21589183807373047, -4.067532992362976, 0
training, 43, 0.18883057832717895, -4.003051131112235, 0
validating, 43, 0.21441848278045655, -4.061321163177491, 0
testing, 43, 0.220390784740448, -4.071907114982605, 0
training, 44, 0.19287409952708653, -4.0007623059409, 0
validating, 44, 0.22147731781005858, -4.070449352264404, 0
testing, 44, 0.22731642723083495, -4.079962182044983, 0
training, 45, 0.1915749362536839, -4.001656648090908, 0
validating, 45, 0.21695277690887452, -4.065474939346314, 0
testing, 45, 0.21765898466110228, -4.067777419090271, 0
training, 46, 0.18995007957730975, -4.004139287131173, 0
validating, 46, 0.21270766258239746, -4.060783958435058, 0
testing, 46, 0.21494683027267455, -4.065521955490112, 0
training, 47, 0.1886327828679766, -4.000680766786847, 0
validating, 47, 0.2187206745147705, -4.065791988372803, 0
testing, 47, 0.22632672786712646, -4.07848904132843, 0
training, 48, 0.19406412158693587, -4.002794715336391, 0
validating, 48, 0.21535491943359375, -4.061723279953003, 0
testing, 48, 0.22015469074249266, -4.070692420005798, 0
training, 49, 0.1882224099976676, -3.997587408338274, 0
validating, 49, 0.21285531520843506, -4.0598379611969, 0
testing, 49, 0.21551065444946288, -4.065465712547303, 0
training, 50, 0.18930071932928902, -3.999883188520159, 0
validating, 50, 0.2160656690597534, -4.063032341003418, 0
testing, 50, 0.22094916105270385, -4.071476840972901, 0
training, 51, 0.18998013734817504, -3.9976091044289723, 0
validating, 51, 0.21768455505371093, -4.065866613388062, 0
testing, 51, 0.22403966188430785, -4.075752830505371, 0
training, 52, 0.19002682311194283, -3.9979100159236363, 0
validating, 52, 0.21488282680511475, -4.062861394882202, 0
testing, 52, 0.2208101987838745, -4.072102522850036, 0
training, 53, 0.18893993071147375, -3.998509352547782, 0
validating, 53, 0.21332597732543945, -4.059820222854614, 0
testing, 53, 0.21727806329727173, -4.066822171211243, 0
training, 54, 0.18898720230375018, -3.997711624417986, 0
validating, 54, 0.21317586898803711, -4.058386278152466, 0
testing, 54, 0.21970717906951903, -4.069668555259705, 0
training, 55, 0.1894438181604658, -4.0005310467311315, 0
validating, 55, 0.21236045360565187, -4.057731819152832, 0
testing, 55, 0.21825600862503053, -4.06805522441864, 0
training, 56, 0.1896445597921099, -3.9997861317225865, 0
validating, 56, 0.21464779376983642, -4.060393238067627, 0
testing, 56, 0.22129836082458496, -4.071409034729004, 0
training, 57, 0.18952254056930543, -3.9985194069998604, 0
validating, 57, 0.21453697681427003, -4.060835170745849, 0
testing, 57, 0.2214910387992859, -4.072222661972046, 0
training, 58, 0.18967771019254412, -3.997290086746216, 0
validating, 58, 0.21886591911315917, -4.067660331726074, 0
testing, 58, 0.22628865242004395, -4.078461241722107, 0
training, 59, 0.19097779989242553, -3.997915622166225, 0
validating, 59, 0.2168346881866455, -4.0642359256744385, 0
testing, 59, 0.2227985978126526, -4.073540258407593, 0
training, 60, 0.1896534868649074, -3.9970501627240864, 0
validating, 60, 0.21481587886810302, -4.061634683609009, 0
testing, 60, 0.21818809509277343, -4.0683149814605715, 0
training, 61, 0.18841623408453806, -3.9980758530753, 0
validating, 61, 0.21372654438018798, -4.060606002807617, 0
testing, 61, 0.21869909763336182, -4.069431257247925, 0
training, 62, 0.18815656559807914, -3.9974912234715054, 0
validating, 62, 0.21388075351715088, -4.0603392124176025, 0
testing, 62, 0.2191316843032837, -4.06959102153778, 0
training, 63, 0.18880680458886281, -3.998072978428432, 0
validating, 63, 0.21406025886535646, -4.060368537902832, 0
testing, 63, 0.21962119340896608, -4.070091247558594, 0
training, 64, 0.18895845583506993, -3.998919977460589, 0
validating, 64, 0.2133626699447632, -4.059385299682617, 0
testing, 64, 0.2189379334449768, -4.06936776638031, 0
training, 65, 0.18864583458219256, -3.998527547291347, 0
validating, 65, 0.21299633979797364, -4.059433555603027, 0
testing, 65, 0.22040326595306398, -4.07159583568573, 0
training, 66, 0.1889172809464591, -3.9982497419629777, 0
validating, 66, 0.2127366065979004, -4.059884405136108, 0
testing, 66, 0.22100006341934203, -4.072506284713745, 0
training, 67, 0.18910618339266097, -3.998299421582903, 0
validating, 67, 0.21252896785736083, -4.059223270416259, 0
testing, 67, 0.22087887525558472, -4.0720967054367065, 0
training, 68, 0.1886050377573286, -3.9985662528446744, 0
validating, 68, 0.21045095920562745, -4.057070112228393, 0
testing, 68, 0.21938024759292601, -4.070516419410706, 0
training, 69, 0.1879937665803092, -3.9988205432891846, 0
validating, 69, 0.21016530990600585, -4.05671238899231, 0
testing, 69, 0.2182082176208496, -4.068920707702636, 0
training, 70, 0.18847309350967406, -3.9994795049939835, 0
validating, 70, 0.2111764907836914, -4.057427883148193, 0
testing, 70, 0.21884987354278565, -4.069177103042603, 0
training, 71, 0.18930623701640537, -3.999892486844744, 0
validating, 71, 0.2118159532546997, -4.057576656341553, 0
testing, 71, 0.21932635307312012, -4.06935031414032, 0
training, 72, 0.18926645176751272, -3.999288729258946, 0
validating, 72, 0.21208658218383789, -4.058030652999878, 0
testing, 72, 0.2201185941696167, -4.07038094997406, 0
training, 73, 0.18896981477737426, -3.998569529397147, 0
validating, 73, 0.21157660484313964, -4.058069229125977, 0
testing, 73, 0.22021254301071166, -4.071077227592468, 0
training, 74, 0.18903422525950841, -3.998396818978446, 0
validating, 74, 0.2114431381225586, -4.05840802192688, 0
testing, 74, 0.22084927558898926, -4.072310495376587, 0
training, 75, 0.18868330717086793, -3.997832795551845, 0
validating, 75, 0.21123018264770507, -4.058112955093383, 0
testing, 75, 0.22081326246261596, -4.072330093383789, 0
training, 76, 0.18819205250058854, -3.9977688585008893, 0
validating, 76, 0.21023173332214357, -4.056824398040772, 0
testing, 76, 0.21950455904006957, -4.070942544937134, 0
training, 77, 0.18810049295425416, -3.9977291856493267, 0
validating, 77, 0.21104223728179933, -4.0579053401947025, 0
testing, 77, 0.220556902885437, -4.072209405899048, 0
training, 78, 0.1882963912827628, -3.997675309862409, 0
validating, 78, 0.2111375331878662, -4.057583236694336, 0
testing, 78, 0.22067885398864745, -4.072265243530273, 0
training, 79, 0.18850160837173463, -3.9976578984941753, 0
validating, 79, 0.21102888584136964, -4.0573633193969725, 0
testing, 79, 0.22065443992614747, -4.0722068548202515, 0
training, 80, 0.18846247366496494, -3.9979604584830146, 0
validating, 80, 0.21091907024383544, -4.057471990585327, 0
testing, 80, 0.2207784652709961, -4.07236270904541, 0
training, 81, 0.18850961923599244, -3.997849907193865, 0
validating, 81, 0.21023962497711182, -4.056850910186768, 0
testing, 81, 0.2204701066017151, -4.072016048431396, 0
training, 82, 0.18806184189660208, -3.998141077586583, 0
validating, 82, 0.2100661277770996, -4.056615591049194, 0
testing, 82, 0.22002731561660765, -4.071529698371887, 0
training, 83, 0.18804532970700946, -3.997836262839181, 0
validating, 83, 0.21015498638153077, -4.05652961730957, 0
testing, 83, 0.22024015188217164, -4.0718852281570435, 0
training, 84, 0.18813709020614625, -3.997591870171683, 0
validating, 84, 0.21023249626159668, -4.056789588928223, 0
testing, 84, 0.22020459175109863, -4.071885132789612, 0
training, 85, 0.18801192045211793, -3.997642925807408, 0
validating, 85, 0.20981097221374512, -4.056100797653198, 0
testing, 85, 0.21946022510528565, -4.070834732055664, 0
training, 86, 0.18778097799846105, -3.997542667388916, 0
validating, 86, 0.20976691246032714, -4.056009912490845, 0
testing, 86, 0.21927151679992676, -4.0704749584197994, 0
training, 87, 0.18773259605680193, -3.997487824303763, 0
validating, 87, 0.20986874103546144, -4.056177043914795, 0
testing, 87, 0.21934527158737183, -4.070608067512512, 0
training, 88, 0.18778005497796194, -3.9972838742392405, 0
validating, 88, 0.21014528274536132, -4.056387615203858, 0
testing, 88, 0.2196274757385254, -4.0710162162780765, 0
training, 89, 0.1876945240156991, -3.9971424647739955, 0
validating, 89, 0.20995054244995118, -4.056221961975098, 0
testing, 89, 0.2193073272705078, -4.070675039291382, 0
training, 90, 0.18758193595068795, -3.9970181124550956, 0
validating, 90, 0.21009914875030516, -4.056728649139404, 0
testing, 90, 0.21929069757461547, -4.070691084861755, 0
training, 91, 0.18776485409055438, -3.9971106937953405, 0
validating, 91, 0.21044232845306396, -4.056951427459717, 0
testing, 91, 0.21954187154769897, -4.070841145515442, 0
training, 92, 0.18782906702586583, -3.997118936266218, 0
validating, 92, 0.2104748010635376, -4.057218265533447, 0
testing, 92, 0.22004791498184204, -4.0716184854507445, 0
training, 93, 0.18789126021521432, -3.9969641413007464, 0
validating, 93, 0.21050763130187988, -4.057236242294311, 0
testing, 93, 0.2201729655265808, -4.071859741210938, 0
training, 94, 0.18789105926241192, -3.9968853609902517, 0
validating, 94, 0.21034455299377441, -4.057054948806763, 0
testing, 94, 0.21997575759887694, -4.071597790718078, 0
training, 95, 0.18785399198532104, -3.997030135563442, 0
validating, 95, 0.21032674312591554, -4.056994295120239, 0
testing, 95, 0.21998971700668335, -4.071498823165894, 0
training, 96, 0.18796617814472744, -3.9970794337136404, 0
validating, 96, 0.210368013381958, -4.0569085597991945, 0
testing, 96, 0.21993955373764038, -4.071368718147278, 0
training, 97, 0.18791783366884504, -3.9971125194004604, 0
validating, 97, 0.21025593280792237, -4.056678009033203, 0
testing, 97, 0.21990361213684081, -4.0713279247283936, 0
training, 98, 0.18794206380844117, -3.997084161213466, 0
validating, 98, 0.21037569046020507, -4.056776714324951, 0
testing, 98, 0.2200023651123047, -4.0713653564453125, 0
training, 99, 0.18803349733352662, -3.997077240262713, 0
validating, 99, 0.21055998802185058, -4.056965255737305, 0
testing, 99, 0.22021107673645018, -4.071702241897583, 0
training, 100, 0.18806205647332327, -3.997005844116211, 0
validating, 100, 0.21059389114379884, -4.0570801258087155, 0
testing, 100, 0.22015212774276732, -4.07156012058258, 0
Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -1.7029898507254464e-09, -2.3116667440959384, 0
validating, -1, -2.384185791015625e-08, -2.5120052337646483, 0
testing, -1, 2.384185791015625e-08, -2.195973312854767, 0
training, 0, 0.31960236855915614, -2.865983077457973, 0
validating, 0, 0.24260153770446777, -2.6927818775177004, 0
testing, 0, 0.34645183086395265, -2.8954137563705444, 0
training, 1, 0.3273069500923157, -2.852415725163051, 0
validating, 1, 0.2474123239517212, -2.678913927078247, 0
testing, 1, 0.3616974949836731, -2.880893421173096, 0
training, 2, 0.334993919304439, -2.840799297605242, 0
validating, 2, 0.24825661182403563, -2.6745717525482178, 0
testing, 2, 0.3684324502944946, -2.8774968862533568, 0
training, 3, 0.37153884853635516, -2.8302669252668107, 0
validating, 3, 0.2827232122421265, -2.6702035427093507, 0
testing, 3, 0.4565138339996338, -2.897140550613403, 0
training, 4, 0.38678864921842304, -2.828849404198783, 0
validating, 4, 0.24591879844665526, -2.6730695247650145, 0
testing, 4, 0.3616352915763855, -2.8746543645858766, 0
training, 5, 0.34043416125433784, -2.8258911337171284, 0
validating, 5, 0.2554177761077881, -2.662473726272583, 0
testing, 5, 0.4204746961593628, -2.877580094337463, 0
training, 6, 0.35316281488963536, -2.8211168221064975, 0
validating, 6, 0.24117391109466552, -2.6699453353881837, 0
testing, 6, 0.3577831625938416, -2.8608601331710815, 0
training, 7, 0.3650976538658142, -2.828652708871024, 0
validating, 7, 0.2669846534729004, -2.663097381591797, 0
testing, 7, 0.44239656925201415, -2.8859347343444823, 0
training, 8, 0.3803111978939601, -2.8271839141845705, 0
validating, 8, 0.2448561191558838, -2.6585886001586916, 0
testing, 8, 0.39326239824295045, -2.842400598526001, 0
training, 9, 0.3297265206064497, -2.8029175281524656, 0
validating, 9, 0.2382352590560913, -2.6553013801574705, 0
testing, 9, 0.3700847864151001, -2.8212040662765503, 0
training, 10, 0.35316006966999597, -2.8039474759783065, 0
validating, 10, 0.2562040090560913, -2.6567402839660645, 0
testing, 10, 0.39624234437942507, -2.821790599822998, 0
training, 11, 0.3136207188878741, -2.7969823973519463, 0
validating, 11, 0.22449195384979248, -2.656225061416626, 0
testing, 11, 0.2961070239543915, -2.7977890491485597, 0
training, 12, 0.2966920154435294, -2.78349313054766, 0
validating, 12, 0.23590824604034424, -2.652394962310791, 0
testing, 12, 0.3190107703208923, -2.7772951126098633, 0
training, 13, 0.25420124871390204, -2.763607324872698, 0
validating, 13, 0.22855401039123535, -2.658082866668701, 0
testing, 13, 0.2854296565055847, -2.7663705348968506, 0
training, 14, 0.2678874356406076, -2.7715015275137764, 0
validating, 14, 0.23256919384002686, -2.662365674972534, 0
testing, 14, 0.3008540868759155, -2.750949263572693, 0
training, 15, 0.2968672377722604, -2.780309922354562, 0
validating, 15, 0.2534618377685547, -2.6621517658233644, 0
testing, 15, 0.31163954734802246, -2.7777138471603395, 0
training, 16, 0.2810516459601266, -2.7708710193634034, 0
validating, 16, 0.24906065464019775, -2.6610618591308595, 0
testing, 16, 0.2959699273109436, -2.7701416015625, 0
training, 17, 0.3102857368332999, -2.7921753406524656, 0
validating, 17, 0.33122878074645995, -2.8094090938568117, 0
testing, 17, 0.467470645904541, -2.9845211267471314, 0
training, 18, 0.31853911195482526, -2.8018228803362164, 0
validating, 18, 0.24431726932525635, -2.6602241516113283, 0
testing, 18, 0.2910009384155273, -2.8033656597137453, 0
training, 19, 0.2758916360991342, -2.7648978982652936, 0
validating, 19, 0.24969880580902098, -2.6635545253753663, 0
testing, 19, 0.27783751487731934, -2.7760279178619385, 0
training, 20, 0.2543771777834211, -2.762930767876761, 0
validating, 20, 0.24445617198944092, -2.7026838302612304, 0
testing, 20, 0.27988693714141843, -2.7618520736694334, 0
training, 21, 0.2490078738757542, -2.7638839312962125, 0
validating, 21, 0.25893867015838623, -2.7382959842681887, 0
testing, 21, 0.3110498428344727, -2.8438356757164, 0
training, 22, 0.2912042481558664, -2.8380850860050746, 0
validating, 22, 0.2328782558441162, -2.6705894947052, 0
testing, 22, 0.2622030973434448, -2.746787691116333, 0
training, 23, 0.27431153059005736, -2.7923378126961844, 0
validating, 23, 0.25364670753479, -2.673056697845459, 0
testing, 23, 0.2787944793701172, -2.7709046363830567, 0
training, 24, 0.24931616953441074, -2.7433824879782542, 0
validating, 24, 0.246765661239624, -2.6812478065490724, 0
testing, 24, 0.2796798586845398, -2.755207562446594, 0
training, 25, 0.2791244864463806, -2.7641154425484795, 0
validating, 25, 0.27057371139526365, -2.719074010848999, 0
testing, 25, 0.3335686206817627, -2.7989825010299683, 0
training, 26, 0.2834788118089948, -2.7659857818058557, 0
validating, 26, 0.2624214172363281, -2.713508892059326, 0
testing, 26, 0.3046032190322876, -2.7775632619857786, 0
training, 27, 0.267722031048366, -2.7609667709895542, 0
validating, 27, 0.26525325775146485, -2.7157586097717283, 0
testing, 27, 0.2856702208518982, -2.7813874006271364, 0
training, 28, 0.2432474766458784, -2.741301693235125, 0
validating, 28, 0.2633784055709839, -2.7123780250549316, 0
