Random seed, 38
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.8119594029017855e-09, -4.201531423841204, 0
validating, -1, -2.86102294921875e-07, -4.210527420043945, 0
testing, -1, 1.430511474609375e-07, -4.219566774368286, 0
training, 0, 2.773935283933367, -5.184604494912284, 0
validating, 0, 2.7697834014892577, -5.112021446228027, 0
testing, 0, 2.8420624256134035, -5.228328037261963, 0
training, 1, 2.373847300665719, -5.08421585900443, 0
validating, 1, 2.3613255500793455, -4.982596492767334, 0
testing, 1, 2.381096935272217, -5.004215240478516, 0
training, 2, 2.331767770222255, -5.103266293661935, 0
validating, 2, 2.3524693489074706, -5.026631546020508, 0
testing, 2, 2.3762197494506836, -5.065126848220825, 0
training, 3, 2.3060581820351738, -5.070685740879604, 0
validating, 3, 2.328649139404297, -4.989927291870117, 0
testing, 3, 2.3850696086883545, -5.0689249515533445, 0
training, 4, 2.295139455795288, -5.0896595682416645, 0
validating, 4, 2.3571473121643067, -4.926380443572998, 0
testing, 4, 2.3822078704833984, -5.021852111816406, 0
training, 5, 2.2968337944575716, -5.054524898529053, 0
validating, 5, 2.3436327934265138, -4.968973064422608, 0
testing, 5, 2.379965400695801, -5.071233606338501, 0
training, 6, 2.2905955110277447, -5.0883000918797086, 0
validating, 6, 2.339225482940674, -4.9695052146911625, 0
testing, 6, 2.36824369430542, -5.058799695968628, 0
training, 7, 2.283167573383876, -5.067417185647147, 0
validating, 7, 2.304550552368164, -4.986893939971924, 0
testing, 7, 2.377726602554321, -5.1019871711730955, 0
training, 8, 2.289848061970302, -5.080822304316929, 0
validating, 8, 2.316556453704834, -5.024782752990722, 0
testing, 8, 2.3911290168762207, -5.113109827041626, 0
training, 9, 2.284841067450387, -5.064450740814209, 0
validating, 9, 2.3044507026672365, -4.988945960998535, 0
testing, 9, 2.3773252964019775, -5.100180196762085, 0
training, 10, 2.2766826289040702, -5.074880559103829, 0
validating, 10, 2.30448637008667, -5.020714569091797, 0
testing, 10, 2.3788171291351317, -5.12950758934021, 0
training, 11, 2.270027153832572, -5.074771417890276, 0
validating, 11, 2.3380308151245117, -4.937287425994873, 0
testing, 11, 2.4080577850341798, -5.0360979557037355, 0
training, 12, 2.28348343031747, -5.070888124193464, 0
validating, 12, 2.3068307876586913, -4.967488574981689, 0
testing, 12, 2.3695908069610594, -5.070316553115845, 0
training, 13, 2.2678425584520614, -5.039563737596784, 0
validating, 13, 2.3173357963562013, -4.97817440032959, 0
testing, 13, 2.3707931995391847, -5.043072700500488, 0
training, 14, 2.2593329225267684, -5.035864775521414, 0
validating, 14, 2.3273548126220702, -5.060154914855957, 0
testing, 14, 2.391451120376587, -5.172215127944947, 0
training, 15, 2.263009241649083, -5.086779049464634, 0
validating, 15, 2.3250967025756837, -5.036726760864258, 0
testing, 15, 2.3714447021484375, -5.088255167007446, 0
training, 16, 2.253643328802926, -5.037929167066301, 0
validating, 16, 2.3191865921020507, -5.034071063995361, 0
testing, 16, 2.37110595703125, -5.098561477661133, 0
training, 17, 2.2545301369258337, -5.068203231266566, 0
validating, 17, 2.3019972801208497, -4.982481288909912, 0
testing, 17, 2.388658618927002, -5.084855461120606, 0
training, 18, 2.2547288962772916, -5.040398325238909, 0
validating, 18, 2.329484558105469, -5.068541526794434, 0
testing, 18, 2.3930220127105715, -5.182653951644897, 0
training, 19, 2.255648333685739, -5.062944180624825, 0
validating, 19, 2.3292514801025392, -4.96546630859375, 0
