Random seed, 13
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -1.7711094447544643e-07, -4.672897366115025, 0
validating, -1, 0.0, -4.64813814163208, 0
testing, -1, -4.76837158203125e-08, -4.709540843963623, 0
training, 0, 3.5185392788478307, -5.5272304126194545, 0
validating, 0, 3.383180618286133, -5.347096538543701, 0
testing, 0, 3.3155632495880125, -5.574226140975952, 0
training, 1, 2.883891991206578, -5.58464538029262, 0
validating, 1, 2.6395889282226563, -5.373331451416016, 0
testing, 1, 2.6750350475311278, -5.638836193084717, 0
training, 2, 2.790296827043806, -5.532027898515974, 0
validating, 2, 2.609955406188965, -5.390456008911133, 0
testing, 2, 2.6406775951385497, -5.674824810028076, 0
training, 3, 2.7809960501534596, -5.4717818532671245, 0
validating, 3, 2.6432216644287108, -5.270935726165772, 0
testing, 3, 2.650866079330444, -5.499983930587769, 0
training, 4, 2.7611391748700824, -5.479036140441894, 0
validating, 4, 2.623295021057129, -5.295686340332031, 0
testing, 4, 2.6324133396148683, -5.54301085472107, 0
training, 5, 2.7608209065028597, -5.464781366075788, 0
validating, 5, 2.696009635925293, -5.24832181930542, 0
testing, 5, 2.6741808891296386, -5.44699387550354, 0
training, 6, 2.769572557721819, -5.42218097959246, 0
validating, 6, 2.6702152252197267, -5.253343677520752, 0
testing, 6, 2.6552630424499513, -5.465382194519043, 0
training, 7, 2.7639473370143346, -5.430207089015416, 0
validating, 7, 2.613869476318359, -5.312043571472168, 0
testing, 7, 2.621368646621704, -5.567932891845703, 0
training, 8, 2.7670745985848564, -5.418154675619943, 0
validating, 8, 2.6600112915039062, -5.272635650634766, 0
testing, 8, 2.638274574279785, -5.496424961090088, 0
training, 9, 2.761439119066511, -5.410622351510185, 0
validating, 9, 2.6791744232177734, -5.262538051605224, 0
testing, 9, 2.6483913898468017, -5.477091693878174, 0
training, 10, 2.7920731272016255, -5.397835063934326, 0
validating, 10, 2.66687068939209, -5.256785106658936, 0
testing, 10, 2.659879684448242, -5.473048305511474, 0
training, 11, 2.79137943812779, -5.412034661429269, 0
validating, 11, 2.662695121765137, -5.2784521102905275, 0
testing, 11, 2.632342004776001, -5.492906522750855, 0
training, 12, 2.7455242429460798, -5.4109816687447685, 0
validating, 12, 2.5879308700561525, -5.361405944824218, 0
testing, 12, 2.5869069576263426, -5.6484240055084225, 0
training, 13, 2.7755511147635326, -5.376006031036377, 0
validating, 13, 2.6573320388793946, -5.301485919952393, 0
testing, 13, 2.6156339168548586, -5.527981424331665, 0
training, 14, 2.739794772011893, -5.397413580758231, 0
validating, 14, 2.73333854675293, -5.257987022399902, 0
testing, 14, 2.653815221786499, -5.4308727264404295, 0
training, 15, 2.7365199361528667, -5.383813967023577, 0
validating, 15, 2.680246925354004, -5.261967754364013, 0
testing, 15, 2.623527240753174, -5.465664863586426, 0
training, 16, 2.763650321960449, -5.37473190852574, 0
validating, 16, 2.750947189331055, -5.2473736763000485, 0
testing, 16, 2.6600820541381838, -5.412729978561401, 0
training, 17, 2.757488087245396, -5.341097450256347, 0
validating, 17, 2.589011383056641, -5.34797420501709, 0
testing, 17, 2.5712740898132322, -5.6254932403564455, 0
training, 18, 2.71370142527989, -5.409198910849435, 0
validating, 18, 2.629636764526367, -5.291015148162842, 0
testing, 18, 2.5900506019592284, -5.521653556823731, 0
training, 19, 2.7586097581045967, -5.354557282584054, 0
validating, 19, 2.5834741592407227, -5.319922733306885, 0
testing, 19, 2.53422589302063, -5.580209636688233, 0
training, 20, 2.7236713136945454, -5.3716920988900325, 0
validating, 20, 2.6217151641845704, -5.269756698608399, 0
testing, 20, 2.5606876373291017, -5.4827892780303955, 0
training, 21, 2.7843780517578125, -5.3311096736363, 0
validating, 21, 2.629939651489258, -5.273980617523193, 0
testing, 21, 2.5741793155670165, -5.499307632446289, 0
training, 22, 2.7123248781476703, -5.378907217298235, 0
validating, 22, 2.7242008209228517, -5.25470199584961, 0
testing, 22, 2.628565263748169, -5.442156887054443, 0
training, 23, 2.722978673662458, -5.345322241101946, 0
validating, 23, 2.721518707275391, -5.246154403686523, 0
testing, 23, 2.635960054397583, -5.425201272964477, 0
training, 24, 2.712468351636614, -5.334032426561628, 0
validating, 24, 2.6817203521728517, -5.24303560256958, 0
testing, 24, 2.5858356952667236, -5.423377943038941, 0
training, 25, 2.7593779018947058, -5.321025507790702, 0
validating, 25, 2.7074623107910156, -5.241464996337891, 0
testing, 25, 2.627232551574707, -5.421141290664673, 0
training, 26, 2.7223196165902275, -5.330741146632604, 0
validating, 26, 2.691946792602539, -5.236712646484375, 0
testing, 26, 2.611716318130493, -5.40817232131958, 0
training, 27, 2.7531639099121095, -5.316669382367816, 0
validating, 27, 2.6991340637207033, -5.231627750396728, 0
testing, 27, 2.6110487461090086, -5.396371984481812, 0
training, 28, 2.793610872541155, -5.324870777130127, 0
validating, 28, 2.7516477584838865, -5.237893390655517, 0
testing, 28, 2.6749855041503907, -5.4047778129577635, 0
training, 29, 2.7320392608642576, -5.327761132376534, 0
validating, 29, 2.650366020202637, -5.254865455627441, 0
testing, 29, 2.571144771575928, -5.456106948852539, 0
training, 30, 2.740261227743966, -5.317149720873151, 0
validating, 30, 2.763152503967285, -5.236945343017578, 0
testing, 30, 2.6493070125579834, -5.387258291244507, 0
training, 31, 2.7534753118242534, -5.3191354479108535, 0
validating, 31, 2.645638847351074, -5.247022914886474, 0
testing, 31, 2.5851541996002196, -5.453007650375366, 0
training, 32, 2.7597974913460868, -5.297914314270019, 0
