Random seed, 47
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254463e-08, -2.7743125643048967, 0
validating, -1, 2.384185791015625e-08, -2.6888508796691895, 0
testing, -1, 4.76837158203125e-08, -2.747843074798584, 0
training, 0, 0.4544791102409363, -3.110236842291696, 0
validating, 0, 0.34726996421813966, -2.981994104385376, 0
testing, 0, 0.394610071182251, -3.013211226463318, 0
training, 1, 0.4162707243646894, -3.0663464409964427, 0
validating, 1, 0.3527733087539673, -2.9612974643707277, 0
testing, 1, 0.3351500391960144, -2.971643662452698, 0
training, 2, 0.3718474609511239, -3.040848616191319, 0
validating, 2, 0.40807380676269533, -2.955875205993652, 0
testing, 2, 0.3159495949745178, -2.9575746059417725, 0
training, 3, 0.35582628079823087, -3.004765204020909, 0
validating, 3, 0.41418683528900146, -2.94018874168396, 0
testing, 3, 0.3001073956489563, -2.9031606674194337, 0
training, 4, 0.33345538803509306, -2.937914419174194, 0
validating, 4, 0.3944162130355835, -2.8890683174133303, 0
testing, 4, 0.27448219060897827, -2.8636279344558715, 0
training, 5, 0.3114195116928646, -2.8793430260249546, 0
validating, 5, 0.38208959102630613, -2.8695942401885985, 0
testing, 5, 0.26210575103759765, -2.846649932861328, 0
training, 6, 0.3023934338774, -2.8593334879193986, 0
validating, 6, 0.3832143545150757, -2.8659960269927978, 0
testing, 6, 0.264255154132843, -2.8505504369735717, 0
training, 7, 0.29979038834571836, -2.852891165869577, 0
validating, 7, 0.3709937334060669, -2.8645255088806154, 0
testing, 7, 0.2574073553085327, -2.8391705751419067, 0
training, 8, 0.2927843715463366, -2.8464507920401436, 0
validating, 8, 0.3535327911376953, -2.8546070098876952, 0
testing, 8, 0.25537397861480715, -2.8226626396179197, 0
training, 9, 0.28728961178234647, -2.83872195652553, 0
validating, 9, 0.36029763221740724, -2.8600581169128416, 0
testing, 9, 0.25508577823638917, -2.838491439819336, 0
training, 10, 0.28309263416699, -2.831630393436977, 0
validating, 10, 0.34232664108276367, -2.849826955795288, 0
testing, 10, 0.24565359354019164, -2.8178219556808473, 0
training, 11, 0.27736119287354605, -2.828612606866019, 0
validating, 11, 0.3516314268112183, -2.8521729469299317, 0
testing, 11, 0.24457461833953859, -2.817073702812195, 0
training, 12, 0.2744582337992532, -2.821987499509539, 0
validating, 12, 0.31957411766052246, -2.7679912090301513, 0
testing, 12, 0.2385341763496399, -2.806920075416565, 0
training, 13, 0.2695586161954062, -2.8220045225960866, 0
validating, 13, 0.2934350728988647, -2.753882074356079, 0
testing, 13, 0.22899664640426637, -2.798903965950012, 0
training, 14, 0.25655273624828884, -2.8153081008366176, 0
validating, 14, 0.32542779445648196, -2.797635793685913, 0
testing, 14, 0.22595055103302003, -2.8065700769424438, 0
training, 15, 0.2556279991354261, -2.814863443374634, 0
validating, 15, 0.3087128162384033, -2.7667510509490967, 0
testing, 15, 0.21443748474121094, -2.803794836997986, 0
training, 16, 0.2502767128603799, -2.816605847222464, 0
validating, 16, 0.27084410190582275, -2.7174760341644286, 0
testing, 16, 0.20393586158752441, -2.7934898376464843, 0
training, 17, 0.24165297831807817, -2.8062016487121584, 0
validating, 17, 0.30514485836029054, -2.8256367683410644, 0
testing, 17, 0.20628167390823365, -2.808666729927063, 0
training, 18, 0.23140965955598014, -2.8080096653529574, 0
validating, 18, 0.24295592308044434, -2.7143210411071776, 0
testing, 18, 0.194305682182312, -2.7773348569869993, 0
training, 19, 0.21261713079043798, -2.799316154207502, 0
validating, 19, 0.2663028478622437, -2.7171218395233154, 0
testing, 19, 0.19419270753860474, -2.7831728219985963, 0
training, 20, 0.21168714846883502, -2.7973625659942627, 0
validating, 20, 0.2735527753829956, -2.7152400970458985, 0
testing, 20, 0.19056066274642944, -2.7826217651367187, 0
training, 21, 0.20188014933041165, -2.8026020526885986, 0
