Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -3.4059797014508927e-08, -3.318442964553833, 0
validating, -1, 2.384185791015625e-08, -3.3885637283325196, 0
testing, -1, -1.1920928955078126e-08, -3.3014079093933106, 0
training, 0, 0.8878896747316632, -4.020297602244786, 0
validating, 0, 0.8815802574157715, -3.9994998455047606, 0
testing, 0, 0.9110337734222412, -4.0118766069412235, 0
training, 1, 0.888189571244376, -4.020149217333112, 0
validating, 1, 0.883161211013794, -3.9997679233551025, 0
testing, 1, 0.9109434366226197, -4.011697006225586, 0
training, 2, 0.8879328216825213, -4.019440977913993, 0
validating, 2, 0.8828583717346191, -3.999780225753784, 0
testing, 2, 0.9112131118774414, -4.0121633291244505, 0
training, 3, 0.887726092338562, -4.0187398569924495, 0
validating, 3, 0.88337082862854, -4.000252723693848, 0
testing, 3, 0.9112318992614746, -4.012272596359253, 0
training, 4, 0.8871897527149746, -4.017868723188128, 0
validating, 4, 0.8847806453704834, -4.000804233551025, 0
testing, 4, 0.9120726823806763, -4.013158631324768, 0
training, 5, 0.8866022791181292, -4.016414342607771, 0
validating, 5, 0.8862170219421387, -4.001956987380981, 0
testing, 5, 0.9125808715820313, -4.013522148132324, 0
training, 6, 0.8852847269603185, -4.015150022506714, 0
validating, 6, 0.8871582984924317, -4.001729965209961, 0
testing, 6, 0.9128361940383911, -4.013814234733582, 0
training, 7, 0.8848620380674089, -4.011771842411586, 0
validating, 7, 0.889565372467041, -4.003724431991577, 0
testing, 7, 0.9139863014221191, -4.01475293636322, 0
training, 8, 0.8830324104854039, -4.007490648542132, 0
validating, 8, 0.8972167491912841, -4.013995742797851, 0
testing, 8, 0.9182584762573243, -4.018534898757935, 0
training, 9, 0.8787186861038208, -3.998272010258266, 0
validating, 9, 0.9003900527954102, -4.017686891555786, 0
testing, 9, 0.9200638771057129, -4.019983386993408, 0
training, 10, 0.8758186135973249, -3.995724528176444, 0
validating, 10, 0.90755615234375, -4.021595287322998, 0
testing, 10, 0.9222167491912842, -4.027291655540466, 0
training, 11, 0.8735811471939087, -3.9929435321262905, 0
validating, 11, 0.9141579151153565, -4.0240083694458, 0
testing, 11, 0.9277983427047729, -4.022701096534729, 0
training, 12, 0.8750385761260986, -3.990329108919416, 0
validating, 12, 0.9256452083587646, -4.0359314441680905, 0
testing, 12, 0.9315915822982788, -4.02893807888031, 0
training, 13, 0.8689541203635079, -3.9878029687064034, 0
validating, 13, 0.9319324970245362, -4.043123626708985, 0
testing, 13, 0.9345325231552124, -4.034233355522156, 0
training, 14, 0.868043919972011, -3.98718774659293, 0
validating, 14, 0.9377278327941895, -4.04721884727478, 0
testing, 14, 0.9351212024688721, -4.037813878059387, 0
training, 15, 0.8695291927882604, -3.9789585522242956, 0
validating, 15, 0.9435189723968506, -4.051811933517456, 0
testing, 15, 0.9367231845855712, -4.0413878679275514, 0
training, 16, 0.8659271989549909, -3.9773678575243268, 0
validating, 16, 0.9469505310058594, -4.05411434173584, 0
testing, 16, 0.9378741025924683, -4.043928575515747, 0
training, 17, 0.8658682107925415, -3.976422807148525, 0
validating, 17, 0.9589556217193603, -4.061393785476684, 0
testing, 17, 0.9426519632339477, -4.051163458824158, 0
training, 18, 0.8658398423876081, -3.976414918899536, 0
validating, 18, 0.9679897785186767, -4.069092845916748, 0
testing, 18, 0.9488062143325806, -4.057924771308899, 0
training, 19, 0.864145336832319, -3.9735290459224157, 0
validating, 19, 0.9767959594726563, -4.07455530166626, 0
testing, 19, 0.9531701326370239, -4.063416528701782, 0
training, 20, 0.86259719984872, -3.9714860371180944, 0
validating, 20, 0.9825581550598145, -4.083348369598388, 0
testing, 20, 0.9575653791427612, -4.065046739578247, 0
training, 21, 0.8638498851231167, -3.9687135628291537, 0
validating, 21, 0.9938014030456543, -4.088178730010986, 0
testing, 21, 0.9614979743957519, -4.072978687286377, 0
training, 22, 0.8609156710760933, -3.9654255185808456, 0
validating, 22, 0.9995797634124756, -4.094885206222534, 0
testing, 22, 0.9630349636077881, -4.068756341934204, 0
training, 23, 0.8609443392072406, -3.9654875959668843, 0
validating, 23, 1.0083815097808837, -4.10121431350708, 0
testing, 23, 0.9670506238937377, -4.073531675338745, 0
training, 24, 0.8609585114887782, -3.965293802533831, 0
