Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254463e-08, -3.5660732133047923, 0
validating, -1, 0.0, -3.5966524124145507, 0
testing, -1, -1.4901161193847656e-08, -3.580267381668091, 0
training, 0, 0.3144831657409668, -4.918700313568115, 0
validating, 0, 0.33485341668128965, -5.000057125091553, 0
testing, 0, 0.39853952527046205, -4.956654691696167, 0
training, 1, 0.31439954383032664, -4.86069267817906, 0
validating, 1, 0.3347932040691376, -4.875710201263428, 0
testing, 1, 0.39840054512023926, -4.828706216812134, 0
training, 2, 0.31437165055956157, -4.721681526729038, 0
validating, 2, 0.33478931784629823, -4.738121414184571, 0
testing, 2, 0.3983953058719635, -4.6881858825683596, 0
training, 3, 0.3143197349139622, -4.589949539729527, 0
validating, 3, 0.3344607770442963, -4.593752670288086, 0
testing, 3, 0.39797621965408325, -4.542266082763672, 0
training, 4, 0.31368037802832466, -4.427606746128627, 0
validating, 4, 0.3341695725917816, -4.409340667724609, 0
testing, 4, 0.3975229799747467, -4.360282230377197, 0
training, 5, 0.31332762922559465, -4.286746297563825, 0
validating, 5, 0.33396514058113097, -4.30833215713501, 0
testing, 5, 0.3972373604774475, -4.257738399505615, 0
training, 6, 0.31310782602855136, -4.207433666501727, 0
validating, 6, 0.33386937975883485, -4.2367877006530765, 0
testing, 6, 0.39704720973968505, -4.183286857604981, 0
training, 7, 0.31230750594820295, -4.137827375956944, 0
validating, 7, 0.33282552361488343, -4.169207954406739, 0
testing, 7, 0.3954937160015106, -4.113425230979919, 0
training, 8, 0.31163744415555683, -4.069076497214181, 0
validating, 8, 0.33260185122489927, -4.09927921295166, 0
testing, 8, 0.3951352179050446, -4.04117522239685, 0
training, 9, 0.3080850584166391, -3.9975350379943846, 0
validating, 9, 0.32926458716392515, -4.043030691146851, 0
testing, 9, 0.3897234082221985, -3.982175922393799, 0
training, 10, 0.30663275037493026, -3.9295404025486538, 0
validating, 10, 0.3291324436664581, -3.972553253173828, 0
testing, 10, 0.3895124435424805, -3.9100313901901247, 0
training, 11, 0.3065659999847412, -3.869791099003383, 0
validating, 11, 0.3291283667087555, -3.920657444000244, 0
testing, 11, 0.3895069777965546, -3.860488700866699, 0
training, 12, 0.3066482305526733, -3.8220748356410437, 0
validating, 12, 0.3284831464290619, -3.880590581893921, 0
testing, 12, 0.38845484256744384, -3.8259056329727175, 0
training, 13, 0.30371296065194264, -3.784520721435547, 0
validating, 13, 0.3264796078205109, -3.845151424407959, 0
testing, 13, 0.3851371884346008, -3.792854118347168, 0
training, 14, 0.3029412133353097, -3.7464275768824984, 0
validating, 14, 0.32648995518684387, -3.7967825412750242, 0
testing, 14, 0.38514689207077024, -3.753230667114258, 0
training, 15, 0.3029799427304949, -3.717852020263672, 0
validating, 15, 0.32648590207099915, -3.76896071434021, 0
testing, 15, 0.3851384699344635, -3.7258335828781126, 0
training, 16, 0.30297381707600185, -3.683526706695557, 0
validating, 16, 0.3264818489551544, -3.735395002365112, 0
testing, 16, 0.38513222336769104, -3.6988335847854614, 0
training, 17, 0.30296232530048917, -3.656540993281773, 0
validating, 17, 0.32644936442375183, -3.7101459980010985, 0
testing, 17, 0.38507845997810364, -3.6757790565490724, 0
training, 18, 0.302915438583919, -3.636147928237915, 0
validating, 18, 0.32643772959709166, -3.692835235595703, 0
testing, 18, 0.3850580155849457, -3.663981485366821, 0
training, 19, 0.30290513379233225, -3.633099705832345, 0
validating, 19, 0.32642983794212344, -3.694569730758667, 0
testing, 19, 0.3850448250770569, -3.667699670791626, 0
