Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -5.4495675223214284e-08, -4.211958810261318, 0
validating, -1, 4.76837158203125e-08, -4.143210220336914, 0
testing, -1, 2.384185791015625e-08, -4.197334790229798, 0
training, 0, 1.3478414467402866, -4.5161462375095915, 0
validating, 0, 1.3788300037384034, -4.430809116363525, 0
testing, 0, 1.3839433908462524, -4.58699779510498, 0
training, 1, 1.343834618159703, -4.513062313624791, 0
validating, 1, 1.3685559272766112, -4.422868442535401, 0
testing, 1, 1.3737884044647217, -4.578372144699097, 0
training, 2, 1.3196409634181432, -4.493209389277867, 0
validating, 2, 1.3225963592529297, -4.386536598205566, 0
testing, 2, 1.327085280418396, -4.535973978042603, 0
training, 3, 1.2421291760035924, -4.4258479935782296, 0
validating, 3, 1.2104905128479004, -4.2910760879516605, 0
testing, 3, 1.2137455701828004, -4.415247201919556, 0
training, 4, 1.0944321087428501, -4.283820506504604, 0
validating, 4, 1.0368534564971923, -4.174974250793457, 0
testing, 4, 1.0415534019470214, -4.241167879104614, 0
training, 5, 0.9158940723964146, -4.204864910670689, 0
validating, 5, 0.8734489440917969, -4.167832851409912, 0
testing, 5, 0.8836264133453369, -4.2359689474105835, 0
training, 6, 0.7728722436087472, -4.201902416774205, 0
validating, 6, 0.7659997463226318, -4.164322566986084, 0
testing, 6, 0.772957706451416, -4.2325873374938965, 0
training, 7, 0.6887398174830845, -4.1984062671661375, 0
validating, 7, 0.7195819854736328, -4.164865207672119, 0
testing, 7, 0.7134150981903076, -4.27920286655426, 0
training, 8, 0.6530141489846366, -4.1938661847795755, 0
validating, 8, 0.6979952335357666, -4.167272472381592, 0
testing, 8, 0.6796419382095337, -4.2744606018066404, 0
training, 9, 0.631165429524013, -4.19299785069057, 0
validating, 9, 0.6874460220336914, -4.170373821258545, 0
testing, 9, 0.6603377342224122, -4.216551470756531, 0
training, 10, 0.6185723509107317, -4.192337090628488, 0
validating, 10, 0.6802676677703857, -4.168226909637451, 0
testing, 10, 0.6523090600967407, -4.215086174011231, 0
training, 11, 0.6128542968205043, -4.192396994999477, 0
validating, 11, 0.6755929470062256, -4.166959190368653, 0
testing, 11, 0.6477060556411743, -4.214515852928161, 0
training, 12, 0.6101910386766706, -4.207670191356114, 0
