Random seed, 8
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -8.514949253627232e-09, -2.199674354280744, 0
validating, -1, 0.0, -2.143652009963989, 0
testing, -1, 1.0728836059570313e-07, -2.221373438835144, 0
training, 0, 0.9999037623405457, -2.630428041730608, 0
validating, 0, 1.0076896905899049, -2.568276357650757, 0
testing, 0, 1.2749173879623412, -2.7179214000701903, 0
training, 1, 0.6605956673622131, -2.3962169987814765, 0
validating, 1, 0.5511478662490845, -2.2411804676055906, 0
testing, 1, 0.6502440094947814, -2.3165618181228638, 0
training, 2, 0.5262548054967607, -2.277825171606881, 0
validating, 2, 0.5494690895080566, -2.257760763168335, 0
testing, 2, 0.6173012137413025, -2.3336132764816284, 0
training, 3, 0.5156970126288277, -2.2743027755192347, 0
validating, 3, 0.5383814811706543, -2.231003761291504, 0
testing, 3, 0.6091326832771301, -2.312431073188782, 0
training, 4, 0.5119377425738744, -2.2827420370919365, 0
validating, 4, 0.5328755378723145, -2.232857418060303, 0
testing, 4, 0.6013905882835389, -2.3158698797225954, 0
training, 5, 0.5095316750662667, -2.264838055201939, 0
validating, 5, 0.5244302749633789, -2.2419079780578612, 0
testing, 5, 0.5910197496414185, -2.3228380918502807, 0
training, 6, 0.4980023877961295, -2.278445816040039, 0
validating, 6, 0.5084981679916382, -2.2048970222473145, 0
testing, 6, 0.5964385747909546, -2.2949772119522094, 0
training, 7, 0.4871601922171456, -2.267891277585711, 0
validating, 7, 0.4985285043716431, -2.2233469009399416, 0
testing, 7, 0.5760635614395142, -2.311795973777771, 0
training, 8, 0.4911562834467207, -2.2742565972464424, 0
validating, 8, 0.49213707447052, -2.2450706005096435, 0
testing, 8, 0.5621391892433166, -2.3283879280090334, 0
training, 9, 0.48282622609819686, -2.275142090661185, 0
validating, 9, 0.471861457824707, -2.207893800735474, 0
testing, 9, 0.5526664018630981, -2.2972097158432008, 0
training, 10, 0.457358421598162, -2.260487256731306, 0
validating, 10, 0.47223381996154784, -2.230729913711548, 0
testing, 10, 0.5346305131912231, -2.3133101224899293, 0
training, 11, 0.4580588255609785, -2.2737828731536864, 0
validating, 11, 0.4529791116714478, -2.2051814556121827, 0
testing, 11, 0.533642303943634, -2.2969748735427857, 0
training, 12, 0.4499141931533813, -2.268525171279907, 0
validating, 12, 0.4449894428253174, -2.1936944484710694, 0
testing, 12, 0.5297188878059387, -2.2846870899200438, 0
training, 13, 0.43810827221189225, -2.2663528987339565, 0
validating, 13, 0.4300424337387085, -2.1953455924987795, 0
testing, 13, 0.5264904379844666, -2.2830352783203125, 0
training, 14, 0.42497931718826293, -2.2584112303597585, 0
validating, 14, 0.42376649379730225, -2.198160266876221, 0
testing, 14, 0.5073785543441772, -2.285137104988098, 0
training, 15, 0.4164838399205889, -2.2587872573307584, 0
validating, 15, 0.41568567752838137, -2.183623218536377, 0
testing, 15, 0.5125674843788147, -2.2734432220458984, 0
training, 16, 0.4066302146230425, -2.248373774119786, 0
validating, 16, 0.4188356876373291, -2.181219959259033, 0
testing, 16, 0.5130125045776367, -2.2712658643722534, 0
training, 17, 0.4037219558443342, -2.244080972671509, 0
validating, 17, 0.4172034978866577, -2.203043794631958, 0
testing, 17, 0.4859482169151306, -2.287935256958008, 0
training, 18, 0.3986623440470014, -2.245026901790074, 0
validating, 18, 0.4173625707626343, -2.202351379394531, 0
testing, 18, 0.4939810514450073, -2.290434741973877, 0
training, 19, 0.3917276280266898, -2.2447903973715646, 0
validating, 19, 0.42066664695739747, -2.1697316646575926, 0
testing, 19, 0.49171980619430544, -2.260173034667969, 0
training, 20, 0.3930493661335536, -2.239050797053746, 0
validating, 20, 0.3938556909561157, -2.174238348007202, 0
testing, 20, 0.4985478639602661, -2.263978433609009, 0
training, 21, 0.3867738485336304, -2.235075371606009, 0
validating, 21, 0.40126538276672363, -2.169114589691162, 0
testing, 21, 0.4777096152305603, -2.2631377458572386, 0
training, 22, 0.3872351152556283, -2.2389978204454692, 0
validating, 22, 0.3975461483001709, -2.1686000347137453, 0
testing, 22, 0.48051350116729735, -2.2601784229278565, 0
training, 23, 0.38049306528908866, -2.2322662966591973, 0
validating, 23, 0.4216405630111694, -2.151349401473999, 0
testing, 23, 0.4936196327209473, -2.2514098644256593, 0
training, 24, 0.37249192680631366, -2.2262892859322685, 0
validating, 24, 0.40350682735443116, -2.1784308910369874, 0
testing, 24, 0.4747845530509949, -2.2715962648391725, 0
training, 25, 0.37630099058151245, -2.23458799634661, 0
validating, 25, 0.390015172958374, -2.161129665374756, 0
testing, 25, 0.4705647587776184, -2.2575376272201537, 0
training, 26, 0.37529516220092773, -2.2325438022613526, 0
validating, 26, 0.39897382259368896, -2.1752216815948486, 0
testing, 26, 0.45684128999710083, -2.262112832069397, 0
training, 27, 0.3697945220129831, -2.232089900970459, 0
validating, 27, 0.4114386558532715, -2.1520225524902346, 0
testing, 27, 0.4830130338668823, -2.2546778678894044, 0
training, 28, 0.37057010275977, -2.2310542924063546, 0
validating, 28, 0.3888608694076538, -2.15459885597229, 0
testing, 28, 0.4641372799873352, -2.251319670677185, 0
training, 29, 0.3688863618033273, -2.2318537984575544, 0
validating, 29, 0.4161093235015869, -2.1522067546844483, 0
testing, 29, 0.4694657325744629, -2.252099895477295, 0
training, 30, 0.3710704105240958, -2.2309924738747733, 0
validating, 30, 0.39589977264404297, -2.1536751270294188, 0
testing, 30, 0.46922179460525515, -2.2537921190261843, 0
training, 31, 0.3641643353870937, -2.2320239135197233, 0
validating, 31, 0.38869001865386965, -2.1485117435455323, 0
testing, 31, 0.5368206381797791, -2.2472666025161745, 0
training, 32, 0.36150270019258773, -2.228612770353045, 0
validating, 32, 0.3874603271484375, -2.152337837219238, 0
testing, 32, 0.4919844150543213, -2.251511883735657, 0
training, 33, 0.3617888229233878, -2.231291205542428, 0
validating, 33, 0.38964080810546875, -2.147545337677002, 0
