Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -3.4059797014508927e-08, -3.3184429441179546, 0
validating, -1, 2.384185791015625e-08, -3.3885637760162353, 0
testing, -1, -1.1920928955078126e-08, -3.3014079093933106, 0
training, 0, 0.9447644676480974, -4.625138650621687, 0
validating, 0, 0.9438553333282471, -4.589402389526367, 0
testing, 0, 0.9685485363006592, -4.551793718338013, 0
training, 1, 0.870526031085423, -4.115562500272478, 0
validating, 1, 0.8880457878112793, -3.9443326950073243, 0
testing, 1, 0.91567542552948, -3.9353198051452636, 0
training, 2, 1.0369540521076748, -3.8921449048178536, 0
validating, 2, 1.3366293907165527, -3.8706153869628905, 0
testing, 2, 1.296048378944397, -3.87652268409729, 0
training, 3, 1.4732685429709298, -3.814981487819127, 0
validating, 3, 1.83786883354187, -3.9448623657226562, 0
testing, 3, 1.7439492225646973, -3.9346424341201782, 0
training, 4, 1.717427066394261, -3.8201212065560477, 0
validating, 4, 2.0037481784820557, -3.832267093658447, 0
testing, 4, 1.895198130607605, -3.869578719139099, 0
training, 5, 1.8094952413014003, -3.8089247839791436, 0
validating, 5, 1.8313562393188476, -3.804222822189331, 0
testing, 5, 1.7548629283905028, -3.827157807350159, 0
training, 6, 1.7858751876013619, -3.7692981038774764, 0
validating, 6, 2.0909352779388426, -3.829098033905029, 0
testing, 6, 1.982717800140381, -3.8706146240234376, 0
training, 7, 1.5874369587217059, -3.755484049660819, 0
validating, 7, 1.7501772880554198, -3.8054158687591553, 0
testing, 7, 1.6944288969039918, -3.837522339820862, 0
training, 8, 1.758217191696167, -3.7719925607953755, 0
validating, 8, 1.8729796409606934, -3.8062540531158446, 0
testing, 8, 1.7962573289871215, -3.845864939689636, 0
training, 9, 1.5699998140335083, -3.7691080161503385, 0
validating, 9, 1.689466619491577, -3.7928694248199464, 0
testing, 9, 1.6346720218658448, -3.838949418067932, 0
training, 10, 1.506489668573652, -3.7736214433397564, 0
validating, 10, 1.7589359283447266, -3.8337975025177, 0
testing, 10, 1.6940751314163207, -3.8611369371414184, 0
training, 11, 1.744826442854745, -3.7826812199183872, 0
validating, 11, 1.9711065292358398, -3.8072457313537598, 0
testing, 11, 1.9030720233917235, -3.86622314453125, 0
training, 12, 1.6538638251168387, -3.763510254451207, 0
validating, 12, 1.706222152709961, -3.7805386543273927, 0
testing, 12, 1.6611529350280763, -3.846859931945801, 0
training, 13, 1.3430482353482927, -3.753462355477469, 0
validating, 13, 1.4102758407592773, -3.7912329196929933, 0
testing, 13, 1.4041951894760132, -3.848780298233032, 0
training, 14, 1.2959575142179216, -3.742148017883301, 0
validating, 14, 1.354065227508545, -3.777643585205078, 0
testing, 14, 1.3505944728851318, -3.8451258659362795, 0
training, 15, 1.409669062069484, -3.7398723806653704, 0
validating, 15, 1.5957546710968018, -3.781548595428467, 0
testing, 15, 1.5867148160934448, -3.8422810792922975, 0
training, 16, 1.545656589099339, -3.744189085279192, 0
validating, 16, 1.715921974182129, -3.772137451171875, 0
testing, 16, 1.6889929056167603, -3.83963463306427, 0
training, 17, 1.528935490335737, -3.7302635260990686, 0
validating, 17, 1.6058090686798097, -3.7909843921661377, 0
testing, 17, 1.5865796566009522, -3.856816816329956, 0
training, 18, 1.4458087955202374, -3.7581559930528914, 0
validating, 18, 1.5749569416046143, -3.7936306953430177, 0
testing, 18, 1.574511504173279, -3.8426024198532103, 0
training, 19, 1.3271766015461512, -3.7607170173100064, 0
validating, 19, 1.5866887092590332, -3.8248684883117674, 0
testing, 19, 1.5526326656341554, -3.8699747562408446, 0
training, 20, 1.5186360801969256, -3.7568042278289795, 0
validating, 20, 1.7745426654815675, -3.8123745918273926, 0
testing, 20, 1.7491889238357543, -3.8671126842498778, 0
training, 21, 1.7855061497007096, -3.7635702746255055, 0
validating, 21, 2.011344385147095, -3.7859235763549806, 0
testing, 21, 1.954823899269104, -3.836812686920166, 0
training, 22, 1.4761995485850743, -3.7417913777487617, 0
validating, 22, 1.5169978141784668, -3.7956650257110596, 0
testing, 22, 1.5070151329040526, -3.8660139799118043, 0
training, 23, 1.4817059142248972, -3.7610815729413716, 0
validating, 23, 1.648901891708374, -3.796819877624512, 0
testing, 23, 1.6283685684204101, -3.8630148649215696, 0
training, 24, 1.609678704398019, -3.7432299954550605, 0
validating, 24, 1.8785786151885986, -3.807672643661499, 0
testing, 24, 1.833097720146179, -3.8664847135543825, 0
training, 25, 1.6432573897497995, -3.734721987588065, 0
validating, 25, 1.67527494430542, -3.773571586608887, 0
testing, 25, 1.6676312923431396, -3.8377229452133177, 0
training, 26, 1.622160506248474, -3.7288895538875035, 0
validating, 26, 1.871980619430542, -3.7799654483795164, 0
testing, 26, 1.830897617340088, -3.8480860233306884, 0
training, 27, 1.6934778315680368, -3.7287299837384906, 0
validating, 27, 1.9431198596954347, -3.7677870750427247, 0
testing, 27, 1.8910215854644776, -3.843934655189514, 0
training, 28, 1.8077780485153199, -3.729437896183559, 0
validating, 28, 2.066599702835083, -3.7691524982452393, 0
testing, 28, 1.9970977067947389, -3.833275556564331, 0
training, 29, 1.9081501586096627, -3.7275130408150807, 0
validating, 29, 2.1476800441741943, -3.7801300048828126, 0
testing, 29, 2.065257453918457, -3.839469623565674, 0
training, 30, 1.890053071294512, -3.731202609198434, 0
validating, 30, 2.0286864280700683, -3.772124481201172, 0
testing, 30, 1.9666488409042358, -3.8364704847335815, 0
training, 31, 1.7540008034024919, -3.7285054002489364, 0
validating, 31, 1.9145843029022216, -3.7724801540374755, 0
testing, 31, 1.884883999824524, -3.8471630334854128, 0
training, 32, 1.7164168664387294, -3.740595313480922, 0
validating, 32, 1.8921520233154296, -3.75809850692749, 0
testing, 32, 1.8645516633987427, -3.832436752319336, 0
training, 33, 1.6253371136529104, -3.737677036012922, 0
validating, 33, 1.6593231201171874, -3.781123733520508, 0
testing, 33, 1.6332209587097168, -3.8325361728668215, 0
training, 34, 1.5436787639345442, -3.736299167360578, 0
validating, 34, 1.7953327655792237, -3.778146505355835, 0
testing, 34, 1.7622526168823243, -3.850388598442078, 0
training, 35, 1.6876766681671143, -3.726389517102923, 0
validating, 35, 2.0602027416229247, -3.7691399097442626, 0
testing, 35, 1.9891673564910888, -3.8355193614959715, 0
training, 36, 1.7696321657725742, -3.7332547800881524, 0
validating, 36, 1.7939122676849366, -3.7694069862365724, 0
testing, 36, 1.7633909702301025, -3.8354117631912232, 0
training, 37, 1.5995124442236763, -3.722640105656215, 0
validating, 37, 1.763014268875122, -3.7849943161010744, 0
testing, 37, 1.7384924650192262, -3.8533594846725463, 0
training, 38, 1.6199937309537615, -3.725497129985264, 0
validating, 38, 1.922070074081421, -3.7655616283416746, 0
testing, 38, 1.8721266508102417, -3.832138276100159, 0
training, 39, 1.8678604568753923, -3.7209617614746096, 0
validating, 39, 2.1577296257019043, -3.762400674819946, 0
testing, 39, 2.076451134681702, -3.833960747718811, 0
training, 40, 1.9348873853683473, -3.7257678372519356, 0
validating, 40, 2.1683427333831786, -3.7690845489501954, 0
testing, 40, 2.0863547563552856, -3.834053564071655, 0
training, 41, 1.8425391367503574, -3.7254592759268625, 0
validating, 41, 2.053427505493164, -3.774061679840088, 0
testing, 41, 1.9904565811157227, -3.841714859008789, 0
training, 42, 1.8509282282420567, -3.727144411631993, 0
validating, 42, 2.0855756282806395, -3.7739704608917237, 0
testing, 42, 2.019599723815918, -3.835539698600769, 0
training, 43, 1.8693614448819842, -3.7315526621682302, 0
validating, 43, 2.102765941619873, -3.788816738128662, 0
testing, 43, 2.0351682186126707, -3.8474026679992677, 0
training, 44, 1.956791377067566, -3.7158145563943044, 0
validating, 44, 2.2290190696716308, -3.7661627769470214, 0
testing, 44, 2.152987837791443, -3.8363855600357057, 0
training, 45, 1.9052327530724662, -3.7122820786067416, 0
validating, 45, 2.0390694618225096, -3.764208936691284, 0
testing, 45, 1.9952168941497803, -3.8374862670898438, 0
training, 46, 1.8616057021277292, -3.7130456175122943, 0
validating, 46, 2.0994762420654296, -3.766833257675171, 0
testing, 46, 2.046538782119751, -3.837437701225281, 0
training, 47, 1.889393080983843, -3.7083759375980923, 0
validating, 47, 2.1489500045776366, -3.7611581802368166, 0
testing, 47, 2.0902277708053587, -3.8307292222976685, 0
training, 48, 1.9875242131096975, -3.706258678436279, 0
validating, 48, 2.2526601791381835, -3.764772891998291, 0
testing, 48, 2.184013032913208, -3.8365076303482057, 0
training, 49, 2.0138303961072648, -3.7118479456220355, 0
validating, 49, 2.253464937210083, -3.7591830253601075, 0
testing, 49, 2.1847936868667603, -3.834916377067566, 0
training, 50, 1.9534772430147445, -3.713060556139265, 0
validating, 50, 2.1189339637756346, -3.756684112548828, 0
testing, 50, 2.0672000646591187, -3.830980634689331, 0
training, 51, 1.896967761857169, -3.7141524246760778, 0
validating, 51, 2.113531970977783, -3.763761520385742, 0
testing, 51, 2.0626237630844115, -3.837969756126404, 0
training, 52, 1.893798381941659, -3.712345974785941, 0
validating, 52, 2.1093770980834963, -3.7642847537994384, 0
testing, 52, 2.0590506553649903, -3.8318495988845824, 0
training, 53, 1.8924121618270875, -3.7078094823019847, 0
validating, 53, 2.109628963470459, -3.776558780670166, 0
testing, 53, 2.0592788457870483, -3.8395692348480224, 0
training, 54, 1.927500489779881, -3.713846445083618, 0
validating, 54, 2.303850555419922, -3.762255907058716, 0
testing, 54, 2.234626889228821, -3.834077572822571, 0
training, 55, 2.086157672745841, -3.712982872554234, 0
validating, 55, 2.308995771408081, -3.7715264797210692, 0
testing, 55, 2.2397003412246703, -3.8363224029541017, 0
training, 56, 2.0379348618643625, -3.711888647079468, 0
validating, 56, 2.2167720794677734, -3.7613404750823975, 0
testing, 56, 2.1546076774597167, -3.830298733711243, 0
training, 57, 1.9758476155144828, -3.7075656005314417, 0
validating, 57, 2.2039509296417235, -3.762114715576172, 0
testing, 57, 2.1429221391677857, -3.8341392040252686, 0
training, 58, 1.9733567135674612, -3.70897650037493, 0
validating, 58, 2.203463649749756, -3.7626302242279053, 0
testing, 58, 2.1425895214080812, -3.832701396942139, 0
training, 59, 1.969834065437317, -3.7093212195805143, 0
validating, 59, 2.196311616897583, -3.765069580078125, 0
testing, 59, 2.137100076675415, -3.828317070007324, 0
training, 60, 1.966690400668553, -3.7107316493988036, 0
validating, 60, 2.1950326919555665, -3.7627120494842528, 0
testing, 60, 2.1359361886978148, -3.8301180362701417, 0
training, 61, 1.958183537210737, -3.710105630329677, 0
validating, 61, 2.1663440227508546, -3.7667016983032227, 0
testing, 61, 2.1095786094665527, -3.8348793268203734, 0
training, 62, 1.9408493076051985, -3.7098073073795863, 0
validating, 62, 2.167138862609863, -3.7583518028259277, 0
testing, 62, 2.110630416870117, -3.829259824752808, 0
training, 63, 1.9426054988588606, -3.704142202649798, 0
validating, 63, 2.167885446548462, -3.759145975112915, 0
testing, 63, 2.111309766769409, -3.831907296180725, 0
training, 64, 1.9439339876174926, -3.703147486277989, 0
validating, 64, 2.1718420028686523, -3.758775234222412, 0
testing, 64, 2.114781069755554, -3.8313325881958007, 0
training, 65, 1.9480790717261178, -3.706065627506801, 0
validating, 65, 2.1842936515808105, -3.7573683738708494, 0
testing, 65, 2.1251394271850588, -3.828621196746826, 0
training, 66, 1.964703917503357, -3.7039316722324918, 0
validating, 66, 2.208205795288086, -3.7589700698852537, 0
testing, 66, 2.1459529638290404, -3.8303489685058594, 0
training, 67, 1.9771575961794172, -3.703199100494385, 0
validating, 67, 2.2040242195129394, -3.7604325294494627, 0
testing, 67, 2.1432118654251098, -3.831255483627319, 0
training, 68, 1.9728675535746982, -3.7031540870666504, 0
validating, 68, 2.208368110656738, -3.7577016353607178, 0
testing, 68, 2.147094559669495, -3.8298538446426393, 0
training, 69, 2.029422627176557, -3.705335971287319, 0
validating, 69, 2.367146444320679, -3.7592190742492675, 0
testing, 69, 2.283001446723938, -3.831565427780151, 0
training, 70, 2.12283524445125, -3.7056447233472554, 0
validating, 70, 2.3857445240020754, -3.763497257232666, 0
testing, 70, 2.2988985776901245, -3.832404685020447, 0
training, 71, 2.126042342185974, -3.7030865396772112, 0
validating, 71, 2.3840963363647463, -3.7565495014190673, 0
testing, 71, 2.2975281715393066, -3.8270867347717283, 0
training, 72, 2.129233363696507, -3.705195801598685, 0
validating, 72, 2.3806600093841555, -3.7628616809844972, 0
testing, 72, 2.2956571340560914, -3.829589676856995, 0
training, 73, 2.1203714745385307, -3.7040694986070903, 0
validating, 73, 2.3767035007476807, -3.758449935913086, 0
testing, 73, 2.292355251312256, -3.8300380945205688, 0
training, 74, 2.1192687545503888, -3.7008213111332484, 0
validating, 74, 2.377355766296387, -3.756906795501709, 0
testing, 74, 2.292959475517273, -3.828146767616272, 0
training, 75, 2.122448584011623, -3.700189849308559, 0
validating, 75, 2.3924251556396485, -3.757140302658081, 0
testing, 75, 2.3051722764968874, -3.8304351329803468, 0
training, 76, 2.1362360102789744, -3.7007870606013706, 0
validating, 76, 2.4007656574249268, -3.760466432571411, 0
testing, 76, 2.312093734741211, -3.830199956893921, 0
training, 77, 2.138980392047337, -3.701003006526402, 0
validating, 77, 2.4024481773376465, -3.7587560653686523, 0
testing, 77, 2.313678574562073, -3.8297160625457765, 0
training, 78, 2.1398636170795986, -3.70020478112357, 0
validating, 78, 2.4035356521606444, -3.7582414150238037, 0
testing, 78, 2.314646863937378, -3.8292017698287966, 0
training, 79, 2.136968105179923, -3.702297987256731, 0
validating, 79, 2.382838773727417, -3.757135009765625, 0
testing, 79, 2.2962261199951173, -3.829511022567749, 0
training, 80, 2.118416360446385, -3.7012525626591275, 0
validating, 80, 2.3748217105865477, -3.7607462406158447, 0
testing, 80, 2.2891615867614745, -3.829938268661499, 0
training, 81, 2.1117183106286186, -3.702675792149135, 0
validating, 81, 2.367592525482178, -3.758991813659668, 0
testing, 81, 2.28287034034729, -3.8281325101852417, 0
training, 82, 2.109901179586138, -3.7032901559557234, 0
validating, 82, 2.368108701705933, -3.758372402191162, 0
testing, 82, 2.2833481311798094, -3.8307148933410646, 0
training, 83, 2.1094644239970615, -3.6994638987949915, 0
validating, 83, 2.3651876926422117, -3.7576380729675294, 0
testing, 83, 2.2806824684143066, -3.827786993980408, 0
training, 84, 2.1064971685409546, -3.698544502258301, 0
validating, 84, 2.361469841003418, -3.758100175857544, 0
testing, 84, 2.2776149034500124, -3.828258919715881, 0
training, 85, 2.1044283287865775, -3.6983735629490444, 0
validating, 85, 2.361705493927002, -3.757576274871826, 0
testing, 85, 2.277812147140503, -3.828673815727234, 0
training, 86, 2.1043042285101756, -3.6984373910086497, 0
validating, 86, 2.3611030101776125, -3.7568984031677246, 0
testing, 86, 2.2772648334503174, -3.8290853977203367, 0
training, 87, 2.1045717750276838, -3.6985818794795446, 0
validating, 87, 2.3619277477264404, -3.7564563274383547, 0
testing, 87, 2.2780134677886963, -3.828661799430847, 0
training, 88, 2.1028147595269338, -3.698107181276594, 0
validating, 88, 2.365563917160034, -3.758089542388916, 0
testing, 88, 2.280956268310547, -3.8295106410980226, 0
training, 89, 2.1083874872752597, -3.699077190671648, 0
validating, 89, 2.3665629386901856, -3.7578142166137694, 0
testing, 89, 2.282380151748657, -3.829348659515381, 0
training, 90, 2.1086255380085537, -3.698324203491211, 0
validating, 90, 2.367070436477661, -3.757005500793457, 0
testing, 90, 2.282973074913025, -3.82903368473053, 0
training, 91, 2.109079568726676, -3.6984328746795656, 0
validating, 91, 2.367339563369751, -3.757053852081299, 0
