Random seed, 6
mode, epoch, average loss, defender utility
training, -1, 1.7029898507254463e-08, -3.566073206492833, 0
validating, -1, 0.0, -3.5966524124145507, 0
testing, -1, -1.4901161193847656e-08, -3.580267381668091, 0
training, 0, 0.3082227213042123, -3.7719842502049037, 0
validating, 0, 0.3288130581378937, -3.820782279968262, 0
testing, 0, 0.3899809896945953, -3.7950255155563353, 0
training, 1, 0.304847662789481, -3.7675453322274346, 0
validating, 1, 0.3228203594684601, -3.809191656112671, 0
testing, 1, 0.37789562344551086, -3.7847857236862184, 0
training, 2, 0.2976057631628854, -3.77066559110369, 0
validating, 2, 0.316854327917099, -3.8433086395263674, 0
testing, 2, 0.36594769060611726, -3.79233603477478, 0
training, 3, 0.28993580511638095, -3.748249864578247, 0
validating, 3, 0.3105736434459686, -3.8302755832672117, 0
testing, 3, 0.3573250859975815, -3.7790822267532347, 0
training, 4, 0.28203997271401543, -3.735301147188459, 0
validating, 4, 0.3034322917461395, -3.8165843963623045, 0
testing, 4, 0.34382512271404264, -3.7649370670318603, 0
training, 5, 0.2716181789125715, -3.718901218686785, 0
validating, 5, 0.2940510928630829, -3.7959741592407226, 0
testing, 5, 0.33070177733898165, -3.7464916944503783, 0
training, 6, 0.2605973379952567, -3.705429608481271, 0
validating, 6, 0.28782266974449155, -3.789740562438965, 0
testing, 6, 0.320764097571373, -3.7387278079986572, 0
training, 7, 0.2539203643798828, -3.6969280855996267, 0
validating, 7, 0.27931793332099913, -3.789105224609375, 0
testing, 7, 0.3056337028741837, -3.7373475313186644, 0
training, 8, 0.24511699335915701, -3.6912608487265453, 0
validating, 8, 0.2742116630077362, -3.7755358695983885, 0
testing, 8, 0.3049855500459671, -3.7249866008758543, 0
training, 9, 0.23651173625673566, -3.68791230065482, 0
validating, 9, 0.2661028325557709, -3.7752174854278566, 0
testing, 9, 0.29364133179187774, -3.7244571924209593, 0
training, 10, 0.2284358194896153, -3.682653147833688, 0
validating, 10, 0.25642223954200744, -3.769778919219971, 0
testing, 10, 0.2837683349847794, -3.7190385341644285, 0
training, 11, 0.21987767730440413, -3.6730836391448975, 0
validating, 11, 0.2475809395313263, -3.7637438774108887, 0
testing, 11, 0.2762232214212418, -3.7131628513336183, 0
training, 12, 0.21263742787497383, -3.6720017910003664, 0
validating, 12, 0.24220325350761412, -3.7589502811431883, 0
testing, 12, 0.2717896431684494, -3.7076309442520143, 0
training, 13, 0.2052371416773115, -3.6680312429155624, 0
validating, 13, 0.23546752333641052, -3.7664387226104736, 0
testing, 13, 0.2601790577173233, -3.7108962059021, 0
training, 14, 0.1989076222692217, -3.6635574817657472, 0
validating, 14, 0.22385182976722717, -3.748312473297119, 0
testing, 14, 0.25630575716495513, -3.697382116317749, 0
training, 15, 0.19433686392647878, -3.6607785974230085, 0
validating, 15, 0.21725491881370546, -3.7352967739105223, 0
testing, 15, 0.255126091837883, -3.688896155357361, 0
training, 16, 0.19039954117366245, -3.6540728296552385, 0
validating, 16, 0.21863386034965515, -3.750160646438599, 0
testing, 16, 0.2482517570257187, -3.697407674789429, 0
training, 17, 0.19167523213795254, -3.6630562373570035, 0
validating, 17, 0.23575066924095153, -3.7403722763061524, 0
testing, 17, 0.2623246878385544, -3.6933071851730346, 0
training, 18, 0.18507901770727975, -3.6477528844560894, 0
validating, 18, 0.2155798852443695, -3.734436798095703, 0
testing, 18, 0.24413684904575347, -3.683536911010742, 0
training, 19, 0.17616293089730398, -3.6466343539101738, 0
validating, 19, 0.21221192479133605, -3.7370994091033936, 0
testing, 19, 0.24033400118350984, -3.6902916431427, 0
training, 20, 0.17571736914770944, -3.6427543503897533, 0
validating, 20, 0.21488381028175355, -3.7344414234161376, 0
testing, 20, 0.2400678962469101, -3.682454061508179, 0
training, 21, 0.17249891587666102, -3.640657479422433, 0
validating, 21, 0.21420406699180602, -3.734421491622925, 0
testing, 21, 0.24060242474079133, -3.683474230766296, 0
training, 22, 0.1743822191442762, -3.6342263221740723, 0
validating, 22, 0.1952122151851654, -3.7169236183166503, 0
testing, 22, 0.22761105000972748, -3.6738989114761353, 0
training, 23, 0.16934379850115094, -3.636993626185826, 0
validating, 23, 0.19284213185310364, -3.707932710647583, 0
testing, 23, 0.2264614075422287, -3.6665234088897707, 0
training, 24, 0.16890227709497724, -3.6309441021510533, 0
validating, 24, 0.1845706284046173, -3.7164079189300536, 0
testing, 24, 0.21843416392803192, -3.6654189348220827, 0
training, 25, 0.1650588027068547, -3.635917922428676, 0
validating, 25, 0.20238777995109558, -3.727074670791626, 0
testing, 25, 0.22833906710147858, -3.6763210535049438, 0
training, 26, 0.16622026903288706, -3.625504916054862, 0
validating, 26, 0.18107208609580994, -3.720217227935791, 0
testing, 26, 0.2107113629579544, -3.6673747539520263, 0
training, 27, 0.15737931898662022, -3.63053137915475, 0
validating, 27, 0.179431813955307, -3.7204419136047364, 0
testing, 27, 0.20939922630786895, -3.668427848815918, 0
training, 28, 0.15871429869106837, -3.6299177510397773, 0
validating, 28, 0.16713359951972961, -3.6988667488098144, 0
testing, 28, 0.20556412041187286, -3.65447793006897, 0
training, 29, 0.1558646321296692, -3.62413980620248, 0
validating, 29, 0.16354665160179138, -3.694759798049927, 0
testing, 29, 0.2035438448190689, -3.6505666017532348, 0
training, 30, 0.15763430595397948, -3.6220011983598983, 0
validating, 30, 0.1623923122882843, -3.6994097232818604, 0
testing, 30, 0.19830571115016937, -3.6508557081222532, 0
training, 31, 0.1646560183593205, -3.625488362993513, 0
validating, 31, 0.17057637572288514, -3.714471960067749, 0
testing, 31, 0.19835380613803863, -3.6591679096221923, 0
training, 32, 0.15458672898156303, -3.632001917702811, 0
validating, 32, 0.16293804049491883, -3.6955337524414062, 0
testing, 32, 0.19384653270244598, -3.6452603101730348, 0
training, 33, 0.15588176846504212, -3.623383011136736, 0
validating, 33, 0.14804642796516418, -3.690948724746704, 0
testing, 33, 0.187385955452919, -3.6373077154159548, 0
training, 34, 0.1548994481563568, -3.6281342574528286, 0
validating, 34, 0.15351565480232238, -3.7014831066131593, 0
testing, 34, 0.18820776045322418, -3.6420885801315306, 0
training, 35, 0.1616743641240256, -3.621000705446516, 0
validating, 35, 0.15855849385261536, -3.6972213268280028, 0
testing, 35, 0.19440728127956391, -3.650045871734619, 0
training, 36, 0.15250345127923148, -3.6245500768933976, 0
validating, 36, 0.16695491671562196, -3.701388692855835, 0
testing, 36, 0.19989341795444487, -3.6545050621032713, 0
training, 37, 0.16057197792189462, -3.6321997438158307, 0
validating, 37, 0.15359230637550353, -3.6865601539611816, 0
testing, 37, 0.19391026198863984, -3.63391227722168, 0
training, 38, 0.14730388947895595, -3.6295714242117745, 0
validating, 38, 0.1498275578022003, -3.697027158737183, 0
testing, 38, 0.1832946628332138, -3.6463467359542845, 0
training, 39, 0.14863345537866865, -3.6235988003867012, 0
validating, 39, 0.15761205554008484, -3.7080076217651365, 0
testing, 39, 0.18637662827968599, -3.6580139875411986, 0
training, 40, 0.14570875338145664, -3.6226201466151644, 0
validating, 40, 0.18164388537406922, -3.6844993591308595, 0
testing, 40, 0.22693495452404022, -3.63935923576355, 0
training, 41, 0.1446146990571703, -3.623188018798828, 0
validating, 41, 0.14630226492881776, -3.693683052062988, 0
testing, 41, 0.18116232454776765, -3.645002245903015, 0
training, 42, 0.1451156164918627, -3.6224218913487025, 0
validating, 42, 0.14895599484443664, -3.690120077133179, 0
testing, 42, 0.18994597494602203, -3.6504003047943114, 0
training, 43, 0.14522883892059327, -3.6212027072906494, 0
validating, 43, 0.14805353283882142, -3.699222373962402, 0
testing, 43, 0.17832238376140594, -3.651310396194458, 0
training, 44, 0.13800699710845948, -3.62156754221235, 0
validating, 44, 0.1381629765033722, -3.6925675868988037, 0
testing, 44, 0.1745762497186661, -3.6450719594955445, 0
training, 45, 0.13944718071392603, -3.620039646966117, 0
validating, 45, 0.1478801667690277, -3.7051842212677, 0
testing, 45, 0.18000456392765046, -3.6574779033660887, 0
