Random seed, 4
mode, epoch, average loss, defender utility
training, -1, 1.6348702566964286e-07, -3.284805509022304, 0
validating, -1, 0.0, -3.332141304016113, 0
testing, -1, -1.9073486328125e-07, -3.2586955308914183, 0
training, 0, 3.032452133723668, -5.323995222364153, 0
validating, 0, 2.905791473388672, -5.209351539611816, 0
testing, 0, 2.889817714691162, -5.313805770874024, 0
training, 1, 3.1159090995788574, -4.748499011993408, 0
validating, 1, 2.679844284057617, -4.411179637908935, 0
testing, 1, 2.3396864414215086, -4.479499864578247, 0
training, 2, 2.19366181237357, -4.282099097115653, 0
validating, 2, 2.433930778503418, -4.168466377258301, 0
testing, 2, 1.991133737564087, -4.180669450759888, 0
training, 3, 2.154931722368513, -4.078922700881958, 0
validating, 3, 2.2157512664794923, -4.047168731689453, 0
testing, 3, 1.8989431858062744, -4.048233675956726, 0
training, 4, 2.1849213463919503, -3.9662935325077604, 0
validating, 4, 2.381529998779297, -3.965441083908081, 0
testing, 4, 1.9601068496704102, -3.943598198890686, 0
training, 5, 2.2481913975306917, -3.8612437316349575, 0
validating, 5, 2.6462051391601564, -3.8372898578643797, 0
testing, 5, 2.0741077423095704, -3.8069286346435547, 0
training, 6, 2.3357546261378697, -3.7350157805851527, 0
validating, 6, 2.500949668884277, -3.7176125049591064, 0
testing, 6, 2.2377916812896728, -3.6988279104232786, 0
training, 7, 2.3081721578325545, -3.6781653472355433, 0
validating, 7, 2.434739685058594, -3.6930885791778563, 0
testing, 7, 2.0633134841918945, -3.6811388969421386, 0
training, 8, 2.382984733581543, -3.6668579850878036, 0
validating, 8, 2.426265525817871, -3.683057403564453, 0
testing, 8, 2.0839908123016357, -3.6635986804962157, 0
training, 9, 2.37974271774292, -3.6402385234832764, 0
validating, 9, 2.6643518447875976, -3.6671918869018554, 0
testing, 9, 2.1822699069976808, -3.649316501617432, 0
training, 10, 2.4429218428475514, -3.638493149621146, 0
validating, 10, 2.681570053100586, -3.6514626026153563, 0
testing, 10, 2.2116916179656982, -3.630754828453064, 0
training, 11, 2.428591196877616, -3.6370132650647844, 0
validating, 11, 2.7184478759765627, -3.669375467300415, 0
testing, 11, 2.118799066543579, -3.6518308877944947, 0
training, 12, 2.450795364379883, -3.6214344705854145, 0
validating, 12, 2.8458675384521483, -3.618675947189331, 0
testing, 12, 2.4202569007873533, -3.598801875114441, 0
