Random seed, 9
mode, epoch, average loss, defender utility
training, -1, 4.0871756417410715e-08, -4.754567159925188, 0
validating, -1, 4.76837158203125e-08, -4.800801467895508, 0
testing, -1, 0.0, -4.789508390426636, 0
training, 0, 7.687793472834996, -5.613588210514614, 0
validating, 0, 6.466909885406494, -5.61673412322998, 0
testing, 0, 6.416067790985108, -5.659185886383057, 0
training, 1, 8.246822588784354, -5.599868038722447, 0
validating, 1, 5.73600435256958, -5.570256614685059, 0
testing, 1, 5.789172172546387, -5.615296125411987, 0
training, 2, 3.6241190229143414, -5.345977033887591, 0
validating, 2, 3.529685926437378, -5.366650676727295, 0
testing, 2, 3.314591407775879, -5.306092929840088, 0
training, 3, 3.0867533683776855, -5.265068640027727, 0
validating, 3, 2.6134549617767333, -5.267375183105469, 0
testing, 3, 2.6180363655090333, -5.216346740722656, 0
training, 4, 2.7619382177080425, -5.212717478615897, 0
validating, 4, 2.608195352554321, -5.250122928619385, 0
testing, 4, 2.613495111465454, -5.197518348693848, 0
training, 5, 2.762154987880162, -5.186919743674142, 0
validating, 5, 2.5837210178375245, -5.246903705596924, 0
testing, 5, 2.610227108001709, -5.206698608398438, 0
training, 6, 2.877140644618443, -5.202123355865479, 0
validating, 6, 3.616591691970825, -5.349768161773682, 0
testing, 6, 3.3978206634521486, -5.292070484161377, 0
training, 7, 3.591195024762835, -5.286475317818778, 0
validating, 7, 3.1941707134246826, -5.326881790161133, 0
testing, 7, 3.052284526824951, -5.249388027191162, 0
training, 8, 3.6130990164620536, -5.4422936984470915, 0
validating, 8, 2.8437475681304933, -5.274171257019043, 0
testing, 8, 2.8020645141601563, -5.215804195404052, 0
training, 9, 2.8480770928519115, -5.199114445277623, 0
validating, 9, 2.6642994403839113, -5.236680030822754, 0
testing, 9, 2.6989294052124024, -5.200928831100464, 0
training, 10, 2.8057229723249164, -5.181267983572823, 0
validating, 10, 2.6232370853424074, -5.234160995483398, 0
testing, 10, 2.674545240402222, -5.207825088500977, 0
training, 11, 2.859852695465088, -5.2235121863228935, 0
validating, 11, 2.8201646327972414, -5.271131324768066, 0
testing, 11, 2.7845393657684325, -5.212305021286011, 0
training, 12, 3.0531123433794294, -5.207246875762939, 0
validating, 12, 2.6416356563568115, -5.248678398132324, 0
testing, 12, 2.7217337131500243, -5.2590508460998535, 0
training, 13, 3.071454797472273, -5.305664661952427, 0
validating, 13, 2.643364191055298, -5.228634071350098, 0
testing, 13, 2.6959866523742675, -5.199035739898681, 0
training, 14, 2.98801144191197, -5.269472803388323, 0
validating, 14, 2.6457668781280517, -5.224859237670898, 0
testing, 14, 2.703494358062744, -5.192856502532959, 0
training, 15, 2.994628865378244, -5.238337475912911, 0
validating, 15, 2.693875455856323, -5.2325514793396, 0
testing, 15, 2.778481388092041, -5.231665563583374, 0
training, 16, 3.2374093191964284, -5.249161475045341, 0
validating, 16, 2.7090616703033445, -5.233253479003906, 0
testing, 16, 2.7347094058990478, -5.191513395309448, 0
training, 17, 3.5241533143179757, -5.297976779937744, 0
validating, 17, 3.169838380813599, -5.310869979858398, 0
testing, 17, 3.0462555408477785, -5.2404920101165775, 0
training, 18, 2.9038645471845355, -5.207717118944441, 0
validating, 18, 2.693877172470093, -5.231932353973389, 0
testing, 18, 2.7148186683654787, -5.188241100311279, 0
training, 19, 2.89733795438494, -5.191080120631627, 0
validating, 19, 2.71243577003479, -5.280799102783203, 0
testing, 19, 2.8319223403930662, -5.318085718154907, 0
training, 20, 2.8690195492335726, -5.198901680537633, 0
validating, 20, 2.81150860786438, -5.263749122619629, 0
testing, 20, 2.7685179233551027, -5.204370784759521, 0
training, 21, 3.627796132223947, -5.275167301722935, 0
validating, 21, 2.9129167079925535, -5.268629169464111, 0
testing, 21, 2.848509120941162, -5.207746696472168, 0
training, 22, 2.9160226004464285, -5.229902935028076, 0
validating, 22, 2.6637711048126222, -5.2332662582397464, 0
testing, 22, 2.665016222000122, -5.182451391220093, 0
training, 23, 2.8146118572780066, -5.201585851396833, 0
validating, 23, 2.572477388381958, -5.222016525268555, 0
testing, 23, 2.635686492919922, -5.215594339370727, 0
training, 24, 2.7953040667942592, -5.213054711478097, 0
validating, 24, 2.563032865524292, -5.216957664489746, 0
testing, 24, 2.6137367248535157, -5.189327812194824, 0
training, 25, 2.8287882668631417, -5.2147020203726635, 0
validating, 25, 2.628654146194458, -5.226197147369385, 0
testing, 25, 2.6364477634429933, -5.17615909576416, 0
training, 26, 2.780777903965541, -5.181612573351178, 0
validating, 26, 2.5531915187835694, -5.2134357452392575, 0
testing, 26, 2.6084545612335206, -5.186941719055175, 0
training, 27, 2.7344287872314452, -5.1419968468802315, 0
validating, 27, 2.759750986099243, -5.2613012313842775, 0
testing, 27, 2.692759466171265, -5.193367195129395, 0
training, 28, 2.889962809426444, -5.218943664005825, 0
validating, 28, 2.6163418292999268, -5.227668190002442, 0
testing, 28, 2.609175968170166, -5.174976444244384, 0
training, 29, 2.788215119498117, -5.188758373260498, 0
validating, 29, 2.5217669010162354, -5.2169722557067875, 0
testing, 29, 2.590146541595459, -5.211324262619018, 0
training, 30, 2.6854211262294223, -5.163714490618024, 0
validating, 30, 2.464764356613159, -5.246565151214599, 0
testing, 30, 2.5383341789245604, -5.280218124389648, 0
training, 31, 2.7608037403651644, -5.203405298505511, 0
validating, 31, 2.5367727756500242, -5.2326967239379885, 0
testing, 31, 2.522864007949829, -5.167023706436157, 0
training, 32, 2.664645562853132, -5.15105470929827, 0
validating, 32, 2.524905633926392, -5.221177005767823, 0
testing, 32, 2.608106184005737, -5.21597990989685, 0
training, 33, 2.649459539140974, -5.119020748138428, 0
validating, 33, 2.4509738445281983, -5.1949262619018555, 0
testing, 33, 2.4952089309692385, -5.152968502044677, 0
training, 34, 2.5859833172389437, -5.130081871577672, 0
validating, 34, 2.409020757675171, -5.1911334037780765, 0
testing, 34, 2.4629447937011717, -5.1599711894989015, 0
training, 35, 2.6003570556640625, -5.127407673427037, 0
validating, 35, 2.4182608127593994, -5.193363285064697, 0
testing, 35, 2.456076908111572, -5.142024898529053, 0
training, 36, 2.58425110408238, -5.109857409340995, 0
validating, 36, 2.426855230331421, -5.179153823852539, 0
testing, 36, 2.488683748245239, -5.142754459381104, 0
training, 37, 2.5622619356427876, -5.080496174948556, 0
validating, 37, 2.3669888019561767, -5.17711124420166, 0
testing, 37, 2.4295023918151855, -5.144786787033081, 0
training, 38, 2.6176352637154716, -5.1511727060590475, 0
validating, 38, 2.3809264659881593, -5.172155094146729, 0
testing, 38, 2.4403385639190676, -5.1301713466644285, 0
training, 39, 2.5066494941711426, -5.072876276288714, 0
validating, 39, 2.3679247379302977, -5.1706921577453615, 0
testing, 39, 2.4376336097717286, -5.123368644714356, 0
