Random seed, 8
mode, epoch, average loss, defender utility
training, -1, -8.514949253627232e-09, -2.199674333844866, 0
validating, -1, 0.0, -2.143652009963989, 0
testing, -1, 1.0728836059570313e-07, -2.2213733911514284, 0
training, 0, 0.9999037623405457, -2.6304434844425746, 0
validating, 0, 1.0076896905899049, -2.5682762622833253, 0
testing, 0, 1.2749173879623412, -2.717921185493469, 0
training, 1, 0.6695718816348485, -2.395674841744559, 0
validating, 1, 0.5525884866714478, -2.2256908893585203, 0
testing, 1, 0.6644378066062927, -2.304902124404907, 0
training, 2, 0.5290637373924255, -2.267543636049543, 0
validating, 2, 0.5482313632965088, -2.2124733448028566, 0
testing, 2, 0.6291706204414368, -2.300181770324707, 0
training, 3, 0.5240366356713432, -2.2595742293766565, 0
validating, 3, 0.5398184537887574, -2.2336501598358156, 0
testing, 3, 0.6055359482765198, -2.312593626976013, 0
training, 4, 0.522568268435342, -2.2582775047847203, 0
validating, 4, 0.5384463787078857, -2.196968841552734, 0
testing, 4, 0.6275907278060913, -2.2885439872741697, 0
training, 5, 0.5065248710768563, -2.256238201686314, 0
validating, 5, 0.5252268075942993, -2.201041030883789, 0
testing, 5, 0.6073402285575866, -2.2903855562210085, 0
training, 6, 0.5057495628084455, -2.25407851764134, 0
validating, 6, 0.5170897722244263, -2.19275279045105, 0
testing, 6, 0.6080837845802307, -2.286485123634338, 0
training, 7, 0.49111990758350915, -2.25144989831107, 0
validating, 7, 0.5153909206390381, -2.182549524307251, 0
testing, 7, 0.605627715587616, -2.279309797286987, 0
training, 8, 0.4803956082889012, -2.244013159615653, 0
validating, 8, 0.4959931612014771, -2.1811346054077148, 0
testing, 8, 0.5893442749977111, -2.278016710281372, 0
training, 9, 0.46378310067313055, -2.2463390009743827, 0
validating, 9, 0.5041701316833496, -2.168101263046265, 0
testing, 9, 0.6055039644241333, -2.2709293365478516, 0
training, 10, 0.46302127327237813, -2.2406975133078437, 0
validating, 10, 0.4671656131744385, -2.1857261180877687, 0
testing, 10, 0.5429795265197754, -2.271752142906189, 0
training, 11, 0.44530519928250994, -2.2368106637682232, 0
validating, 11, 0.495465612411499, -2.154112768173218, 0
testing, 11, 0.604526138305664, -2.2602359771728517, 0
training, 12, 0.4486785701342991, -2.233716583251953, 0
validating, 12, 0.47083244323730467, -2.1605539321899414, 0
testing, 12, 0.5594795346260071, -2.2631701946258547, 0
training, 13, 0.4361413836479187, -2.2329317842211043, 0
validating, 13, 0.4652880668640137, -2.1625721931457518, 0
testing, 13, 0.5435141563415528, -2.2591693878173826, 0
training, 14, 0.43835089206695554, -2.231976876940046, 0
validating, 14, 0.4331276655197144, -2.1737317562103273, 0
testing, 14, 0.49696900844573977, -2.266038942337036, 0
training, 15, 0.4227185538836888, -2.23163035937718, 0
validating, 15, 0.42981002330780027, -2.1755615234375, 0
testing, 15, 0.49115350246429446, -2.26269953250885, 0
training, 16, 0.4178893072264535, -2.2314647265842984, 0
validating, 16, 0.4081556797027588, -2.178772735595703, 0
testing, 16, 0.4885552167892456, -2.2734094619750977, 0
training, 17, 0.406789379460471, -2.2291739327566966, 0
validating, 17, 0.42501938343048096, -2.155548429489136, 0
testing, 17, 0.48949856758117677, -2.2603670358657837, 0
training, 18, 0.41324104070663453, -2.226790394101824, 0
validating, 18, 0.4258048295974731, -2.1656458377838135, 0
testing, 18, 0.4973892688751221, -2.268172526359558, 0
training, 19, 0.4022560238838196, -2.2314106941223146, 0
validating, 19, 0.43044424057006836, -2.1714174270629885, 0
testing, 19, 0.49155046939849856, -2.2713425874710085, 0
training, 20, 0.39802297694342476, -2.234309230531965, 0
validating, 20, 0.3999382257461548, -2.1603774547576906, 0
testing, 20, 0.4844527006149292, -2.266450214385986, 0
training, 21, 0.3900484204292297, -2.2261693341391426, 0
validating, 21, 0.40127789974212646, -2.152578115463257, 0
testing, 21, 0.47816541194915774, -2.260156583786011, 0
training, 22, 0.3870780519076756, -2.2253692286355156, 0
validating, 22, 0.4229377269744873, -2.167866325378418, 0
testing, 22, 0.46772849559783936, -2.268267846107483, 0
training, 23, 0.3897045595305307, -2.228361756461007, 0
validating, 23, 0.40186233520507814, -2.1551029682159424, 0
testing, 23, 0.4737824320793152, -2.2627415895462035, 0
training, 24, 0.3825441070965358, -2.2265530722481865, 0
validating, 24, 0.40704367160797117, -2.1473315238952635, 0
testing, 24, 0.48610509634017945, -2.2577785730361937, 0
training, 25, 0.3818302597318377, -2.224711465835571, 0
validating, 25, 0.4071167230606079, -2.14701509475708, 0
testing, 25, 0.5046262502670288, -2.255065751075745, 0
training, 26, 0.3866701279367719, -2.2276192801339287, 0
validating, 26, 0.41200392246246337, -2.1556234836578367, 0
testing, 26, 0.48178080320358274, -2.259702515602112, 0
training, 27, 0.38076113632747105, -2.2312200546264647, 0
validating, 27, 0.39639849662780763, -2.15578088760376, 0
testing, 27, 0.46698613166809083, -2.257739782333374, 0
training, 28, 0.38097835268293107, -2.226811851773943, 0
validating, 28, 0.4035718679428101, -2.1636728286743163, 0
testing, 28, 0.4700311541557312, -2.257405400276184, 0
training, 29, 0.37060642412730627, -2.2263784272330147, 0
validating, 29, 0.40937371253967286, -2.1482991218566894, 0
testing, 29, 0.4816091775894165, -2.2563806533813477, 0
training, 30, 0.36890558685575214, -2.2259152821132115, 0
validating, 30, 0.39488611221313474, -2.1615859985351564, 0
