Random seed, 4
mode, epoch, average loss, defender utility
training, -1, 5.4495675223214284e-08, -5.831424345288958, 0
validating, -1, 0.0, -5.847121906280518, 0
testing, -1, 1.430511474609375e-07, -5.771449565887451, 0
training, 0, 3.015122400011335, -6.630566992078509, 0
validating, 0, 2.9716352462768554, -6.626092338562012, 0
testing, 0, 2.8242000579833983, -6.535724830627442, 0
training, 1, 2.3286371776035852, -6.307413114820208, 0
validating, 1, 2.3442803382873536, -6.337959861755371, 0
testing, 1, 2.1234098434448243, -6.228544855117798, 0
training, 2, 2.2117166791643417, -6.265163394383022, 0
validating, 2, 2.227510929107666, -6.310095500946045, 0
testing, 2, 2.0519693374633787, -6.232880735397339, 0
training, 3, 2.1585027285984584, -6.2602949823652, 0
validating, 3, 2.154811668395996, -6.291276836395264, 0
testing, 3, 2.0204612731933596, -6.231020879745484, 0
training, 4, 2.1496297836303713, -6.271514797210694, 0
validating, 4, 2.1545204162597655, -6.294216060638428, 0
testing, 4, 2.0105422496795655, -6.2245293140411375, 0
training, 5, 2.1413924217224123, -6.259705611637661, 0
validating, 5, 2.151339530944824, -6.291711616516113, 0
testing, 5, 2.0356897354125976, -6.245658349990845, 0
training, 6, 2.1414568628583637, -6.255857740129743, 0
validating, 6, 2.1012158393859863, -6.272996330261231, 0
testing, 6, 2.0216368198394776, -6.241956043243408, 0
training, 7, 2.12696989604405, -6.25434740611485, 0
validating, 7, 2.157558059692383, -6.295018672943115, 0
testing, 7, 2.0118947982788087, -6.226788425445557, 0
training, 8, 2.116967160361154, -6.253754683903286, 0
validating, 8, 2.1402159690856934, -6.288151645660401, 0
testing, 8, 2.0005207538604735, -6.216761255264283, 0
training, 9, 2.1155961309160505, -6.243255751473563, 0
validating, 9, 2.1055289268493653, -6.285067558288574, 0
testing, 9, 1.9989765167236329, -6.233961296081543, 0
training, 10, 2.1128243718828474, -6.25113593510219, 0
validating, 10, 2.118070697784424, -6.279029846191406, 0
testing, 10, 1.9947584629058839, -6.212137508392334, 0
training, 11, 2.1242031914847237, -6.250813593183245, 0
validating, 11, 2.1199200630187987, -6.278914260864258, 0
testing, 11, 1.9945942401885985, -6.2193488597869875, 0
training, 12, 2.1192743846348354, -6.249353245326451, 0
validating, 12, 2.1158802032470705, -6.290210723876953, 0
testing, 12, 2.00810227394104, -6.237193632125854, 0
training, 13, 2.1151605333600725, -6.245515646253313, 0
validating, 13, 2.0929126739501953, -6.281675720214844, 0
testing, 13, 2.0005681991577147, -6.227583885192871, 0
training, 14, 2.1184377670288086, -6.250192860194615, 0
validating, 14, 2.141251564025879, -6.291841697692871, 0
testing, 14, 1.9924344062805175, -6.22186279296875, 0
training, 15, 2.111298710959298, -6.245249448503767, 0
validating, 15, 2.1009913444519044, -6.261440849304199, 0
testing, 15, 1.9998974323272705, -6.22584867477417, 0
training, 16, 2.112813935961042, -6.244296632494245, 0
validating, 16, 2.1417234420776365, -6.287342739105225, 0
testing, 16, 1.9944563865661622, -6.216857242584228, 0
training, 17, 2.094880471910749, -6.2472282409667965, 0
validating, 17, 2.110712432861328, -6.28291597366333, 0
testing, 17, 1.9996325492858886, -6.226830673217774, 0
training, 18, 2.1054838589259557, -6.24341983795166, 0
validating, 18, 2.095448112487793, -6.269950008392334, 0
testing, 18, 1.9927693367004395, -6.2226556777954105, 0
training, 19, 2.0979149682181224, -6.248437540871756, 0
validating, 19, 2.144593524932861, -6.289011096954345, 0
testing, 19, 2.0341437339782713, -6.245688962936401, 0
training, 20, 2.1072131974356516, -6.247083977290562, 0
validating, 20, 2.0842425346374513, -6.25695219039917, 0
testing, 20, 2.003132629394531, -6.231148719787598, 0
training, 21, 2.0957104410443987, -6.253203501020159, 0
validating, 21, 2.0957107543945312, -6.2684625625610355, 0
testing, 21, 1.9851338863372803, -6.215286493301392, 0
training, 22, 2.099804047175816, -6.248315634046282, 0
validating, 22, 2.1025040626525877, -6.256181621551514, 0
testing, 22, 1.9927757740020753, -6.2232590675354, 0
training, 23, 2.094547544206892, -6.236754499162946, 0
validating, 23, 2.0968079566955566, -6.271023082733154, 0
testing, 23, 1.9825307846069335, -6.2152660369873045, 0
training, 24, 2.0925362042018345, -6.246554701668876, 0
validating, 24, 2.099704074859619, -6.262160015106201, 0
testing, 24, 1.982417345046997, -6.2142304420471195, 0
training, 25, 2.087896864754813, -6.242082050868443, 0
validating, 25, 2.110328769683838, -6.262997055053711, 0
testing, 25, 1.9905994892120362, -6.212430143356324, 0
training, 26, 2.0963263239179337, -6.24881067276001, 0
validating, 26, 2.0950129508972166, -6.2604546546936035, 0
testing, 26, 1.9832376003265382, -6.215047883987427, 0
training, 27, 2.0908120700291226, -6.241692229679653, 0
validating, 27, 2.1029053688049317, -6.276206588745117, 0
testing, 27, 1.9888575553894043, -6.217307138442993, 0
training, 28, 2.090560640607561, -6.245935440063477, 0
validating, 28, 2.106513500213623, -6.274704074859619, 0
testing, 28, 1.9845557689666748, -6.20555567741394, 0
training, 29, 2.083793272290911, -6.240402180807931, 0
validating, 29, 2.092860984802246, -6.273050212860108, 0
testing, 29, 1.983278751373291, -6.219590091705323, 0
training, 30, 2.0797570909772602, -6.239425700051444, 0
validating, 30, 2.138107967376709, -6.285464191436768, 0
testing, 30, 1.9865424633026123, -6.216981601715088, 0
training, 31, 2.073395688193185, -6.243933759416852, 0
validating, 31, 2.084098529815674, -6.253132343292236, 0
testing, 31, 1.9828293323516846, -6.21812162399292, 0
training, 32, 2.079535388946533, -6.2391813959394185, 0
validating, 32, 2.0781092643737793, -6.255088043212891, 0
testing, 32, 1.9887534141540528, -6.22079701423645, 0
training, 33, 2.0701159477233886, -6.2388871465410505, 0
validating, 33, 2.0863826751708983, -6.262594509124756, 0
testing, 33, 1.9857240200042725, -6.220449447631836, 0
