Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0931124142238072, -2.4080716030938283, 0.0
validating, -1, 0.06693451404571533, -2.3983835697174074, 0.0
testing, -1, 0.09688351154327393, -2.3912610054016112, 0.0
training, 0, 0.8401231833866665, -2.7138777460370744, 0.0
validating, 0, 0.8343230009078979, -2.6366132259368897, 0.0
testing, 0, 0.8742849588394165, -2.7991593360900877, 0.0
training, 1, 0.7565850598471505, -2.669052355630057, 0.0
validating, 1, 0.6613712072372436, -2.507926273345947, 0.0
testing, 1, 0.6736241102218627, -2.5686989307403563, 0.0
training, 2, 0.6184459005083357, -2.5681602273668562, 0.0
validating, 2, 0.5976438760757447, -2.4777714729309084, 0.0
testing, 2, 0.589617657661438, -2.537817931175232, 0.0
training, 3, 0.5414717674255372, -2.583650759288243, 0.0
validating, 3, 0.5507753610610961, -2.4789467334747313, 0.0
testing, 3, 0.5154494524002076, -2.6584796667099, 0.0
training, 4, 0.5088081291743687, -2.590080111367362, 0.0
validating, 4, 0.5547673463821411, -2.4402417659759523, 0.0
testing, 4, 0.5231334686279296, -2.6602015018463137, 0.0
training, 5, 0.5048392193658011, -2.578478527069092, 0.0
validating, 5, 0.5488198041915894, -2.4808827877044677, 0.0
testing, 5, 0.51361985206604, -2.6573325872421263, 0.0
training, 6, 0.49104657513754707, -2.5808228765215193, 0.0
validating, 6, 0.5646935701370239, -2.5775052070617677, 0.0
testing, 6, 0.5146841049194336, -2.65910964012146, 0.0
training, 7, 0.4857902356556484, -2.5926911081586566, 0.0
validating, 7, 0.550180983543396, -2.438541126251221, 0.0
testing, 7, 0.5139223575592041, -2.6582924365997314, 0.0
training, 8, 0.5043578352246966, -2.5774845940726143, 0.0
validating, 8, 0.5484667539596557, -2.4392189025878905, 0.0
testing, 8, 0.514681363105774, -2.658418297767639, 0.0
training, 9, 0.49939071110316685, -2.5689560413360595, 0.0
validating, 9, 0.5501782655715942, -2.4387295722961424, 0.0
testing, 9, 0.5094140291213989, -2.6571088075637816, 0.0
training, 10, 0.5000484091894967, -2.58145101411002, 0.0
