Random seed, 26
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -4.5980725969587056e-08, -2.124023369380406, 0.0
validating, -1, 2.384185791015625e-08, -2.1182263851165772, 0.0
testing, -1, 0.0, -2.152847170829773, 0.0
training, 0, 1.58463362966265, -3.3155194486890522, 0.0
validating, 0, 1.664466667175293, -3.35178599357605, 0.0
testing, 0, 1.6627133369445801, -3.3264919757843017, 0.0
training, 1, 0.8524454849106925, -2.354829284123012, 0.0
validating, 1, 0.7748831152915955, -2.1380487442016602, 0.0
testing, 1, 0.743275785446167, -2.1063883781433104, 0.0
training, 2, 0.6183872716767448, -2.110749394553048, 0.0
validating, 2, 0.641861355304718, -2.1182263851165772, 0.0
testing, 2, 0.5997764110565186, -2.106388258934021, 0.0
training, 3, 0.5574822987828936, -2.110749394553048, 0.0
validating, 3, 0.6071765303611756, -2.1182263851165772, 0.0
testing, 3, 0.5651175618171692, -2.106388258934021, 0.0
training, 4, 0.5455966489655631, -2.110749394553048, 0.0
validating, 4, 0.6011620879173278, -2.1182263851165772, 0.0
testing, 4, 0.5603418946266174, -2.106388258934021, 0.0
training, 5, 0.5384760499000549, -2.110749394553048, 0.0
validating, 5, 0.5906758427619934, -2.1182263851165772, 0.0
testing, 5, 0.5508058786392211, -2.106388258934021, 0.0
training, 6, 0.528489305291857, -2.110749394553048, 0.0
validating, 6, 0.5866055607795715, -2.1182263851165772, 0.0
testing, 6, 0.5425989866256714, -2.106388258934021, 0.0
training, 7, 0.5317136100360326, -2.110749394553048, 0.0
validating, 7, 0.5783384203910827, -2.1182263851165772, 0.0
testing, 7, 0.5385697245597839, -2.106388258934021, 0.0
training, 8, 0.520245019027165, -2.110749394553048, 0.0
validating, 8, 0.5675690770149231, -2.1182263851165772, 0.0
testing, 8, 0.5271070837974549, -2.106388258934021, 0.0
training, 9, 0.517712584563664, -2.110749394553048, 0.0
validating, 9, 0.5703629612922668, -2.1182263851165772, 0.0
testing, 9, 0.5273968696594238, -2.106388258934021, 0.0
training, 10, 0.5114456364086696, -2.110749394553048, 0.0
validating, 10, 0.5754641652107239, -2.1182263851165772, 0.0
testing, 10, 0.52909836769104, -2.106388258934021, 0.0
training, 11, 0.5091731565339225, -2.110773570196969, 0.0
validating, 11, 0.5656060338020324, -2.1182263851165772, 0.0
testing, 11, 0.517695426940918, -2.106388258934021, 0.0
training, 12, 0.5013275265693664, -2.110785232271467, 0.0
validating, 12, 0.5634360909461975, -2.1182263851165772, 0.0
testing, 12, 0.51782306432724, -2.106388258934021, 0.0
training, 13, 0.4973720840045384, -2.1107779366629464, 0.0
validating, 13, 0.565117609500885, -2.1182263851165772, 0.0
testing, 13, 0.5166836142539978, -2.106388258934021, 0.0
training, 14, 0.49749610253742765, -2.1107562269483293, 0.0
validating, 14, 0.5586364388465881, -2.1182263851165772, 0.0
testing, 14, 0.5138952493667602, -2.106388258934021, 0.0
training, 15, 0.4993776168142046, -2.1107716628483364, 0.0
validating, 15, 0.5655870079994202, -2.1182263851165772, 0.0
testing, 15, 0.5234402298927308, -2.106388258934021, 0.0
training, 16, 0.4937633531434195, -2.1107658999306813, 0.0
validating, 16, 0.5541741013526916, -2.1182263851165772, 0.0
testing, 16, 0.5111371994018554, -2.106388258934021, 0.0
training, 17, 0.49866808993475775, -2.1107899529593332, 0.0
validating, 17, 0.5526618838310242, -2.118418836593628, 0.0
testing, 17, 0.5111405611038208, -2.106388258934021, 0.0
training, 18, 0.4945926751409258, -2.110777963910784, 0.0
validating, 18, 0.5536731123924256, -2.1185500621795654, 0.0
testing, 18, 0.5128039479255676, -2.106388258934021, 0.0
training, 19, 0.4948006953511919, -2.1108352320534842, 0.0
validating, 19, 0.5560191750526429, -2.1187140941619873, 0.0
testing, 19, 0.5152966737747192, -2.106388258934021, 0.0
training, 20, 0.4935893995421273, -2.1107863698686873, 0.0
validating, 20, 0.5503989338874817, -2.118658447265625, 0.0
testing, 20, 0.5132090330123902, -2.106388258934021, 0.0
training, 21, 0.49622153043746947, -2.1107927867344447, 0.0
validating, 21, 0.5528673529624939, -2.1186226844787597, 0.0
testing, 21, 0.51637943983078, -2.106388258934021, 0.0
