Random seed, 12
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 8.344650268554687e-08, -1.8606528554643904, 0
validating, -1, -4.76837158203125e-08, -1.770123839378357, 0
testing, -1, -3.5762786865234374e-08, -1.8740113735198975, 0
training, 0, 1.0467927592141288, -2.9629499435424806, 0
validating, 0, 1.100762391090393, -2.8827844619750977, 0
testing, 0, 0.9535184264183044, -2.7436906814575197, 0
training, 1, 1.026759317943028, -2.7803758995873586, 0
validating, 1, 1.0648083448410035, -2.6527573585510256, 0
testing, 1, 0.8908570885658265, -2.4061392068862917, 0
training, 2, 1.0011234181267874, -2.5958292416163853, 0
validating, 2, 1.0201625585556031, -2.5713407516479494, 0
testing, 2, 0.8509697079658508, -2.3159595727920532, 0
training, 3, 0.9546094962528774, -2.52945922102247, 0
validating, 3, 0.9819551706314087, -2.522349548339844, 0
testing, 3, 0.816340696811676, -2.284104895591736, 0
training, 4, 0.9190779685974121, -2.4869779654911586, 0
validating, 4, 0.9397416830062866, -2.4653453826904297, 0
testing, 4, 0.7785945057868957, -2.2488303422927856, 0
training, 5, 0.8745490176337106, -2.416947569165911, 0
validating, 5, 0.9165291070938111, -2.3710166454315185, 0
testing, 5, 0.787762463092804, -2.2041573762893676, 0
training, 6, 0.8670015335083008, -2.3436443737574986, 0
validating, 6, 0.8816626667976379, -2.314802312850952, 0
testing, 6, 0.7717257618904114, -2.1793463945388796, 0
training, 7, 0.8355235712868827, -2.29794214453016, 0
validating, 7, 0.8526408076286316, -2.2677892446517944, 0
testing, 7, 0.7550384163856506, -2.158649754524231, 0
training, 8, 0.8254614216940743, -2.2693224293845042, 0
validating, 8, 0.8237139821052551, -2.2229114770889282, 0
testing, 8, 0.7687029242515564, -2.1520964026451113, 0
training, 9, 0.8251823799950736, -2.246659963471549, 0
validating, 9, 0.7734633088111877, -2.1652830123901365, 0
testing, 9, 0.7399215817451477, -2.1222917318344114, 0
training, 10, 0.776004273550851, -2.185546428816659, 0
validating, 10, 0.7133971333503724, -2.0612881422042846, 0
testing, 10, 0.7137324929237365, -2.124882686138153, 0
training, 11, 0.7565398897443499, -2.1360845225197926, 0
validating, 11, 0.675462520122528, -1.9859027147293091, 0
testing, 11, 0.7047521471977234, -2.124493658542633, 0
training, 12, 0.7360016345977783, -2.0913673298699513, 0
validating, 12, 0.6246175646781922, -1.894618320465088, 0
testing, 12, 0.6938768267631531, -2.145753598213196, 0
training, 13, 0.7147219147000994, -2.06136257989066, 0
validating, 13, 0.6476434111595154, -1.9547109127044677, 0
testing, 13, 0.6841461300849915, -2.0804497361183167, 0
training, 14, 0.6862932511738369, -2.045223535810198, 0
validating, 14, 0.6316967368125915, -1.8964900255203248, 0
testing, 14, 0.6735469937324524, -2.101425552368164, 0
training, 15, 0.6903328214372907, -2.0242324931280953, 0
validating, 15, 0.6108077883720398, -1.8642691135406495, 0
testing, 15, 0.6876161694526672, -2.0670597434043883, 0
training, 16, 0.6719620432172503, -2.0241376399993896, 0
validating, 16, 0.5497004628181458, -1.8367435932159424, 0
testing, 16, 0.6559484958648681, -2.0692424535751344, 0
training, 17, 0.6645816394260952, -2.0055435964039394, 0
validating, 17, 0.6170442461967468, -1.8481027364730835, 0
testing, 17, 0.7136388897895813, -2.04224112033844, 0
training, 18, 0.6978883062090192, -1.9829845292227608, 0
