Random seed, 36
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.7247837611607142e-08, -2.0011011804853167, 0
validating, -1, 1.430511474609375e-07, -1.964027214050293, 0
testing, -1, 4.76837158203125e-08, -1.9716928362846375, 0
training, 0, 1.2634212153298514, -2.6254712922232493, 0
validating, 0, 1.3163360595703124, -2.5280356407165527, 0
testing, 0, 1.1694703340530395, -2.5848981857299806, 0
training, 1, 1.0321869373321533, -2.4666732243129186, 0
validating, 1, 1.06942138671875, -2.443160390853882, 0
testing, 1, 0.8744199514389038, -2.372779059410095, 0
training, 2, 0.9602674688611712, -2.4014672074999126, 0
validating, 2, 1.0757480621337892, -2.359263801574707, 0
testing, 2, 0.8955261945724488, -2.3502238035202025, 0
training, 3, 0.948108264378139, -2.3988906519753592, 0
validating, 3, 1.0520217418670654, -2.360306215286255, 0
testing, 3, 0.8746474266052247, -2.33243989944458, 0
training, 4, 0.9364310264587402, -2.3867757524762836, 0
validating, 4, 1.0253570556640625, -2.366698884963989, 0
testing, 4, 0.8469884395599365, -2.328551745414734, 0
training, 5, 0.9177260330745152, -2.36528149332319, 0
validating, 5, 1.0089344024658202, -2.336133623123169, 0
testing, 5, 0.8400880575180054, -2.3214263677597047, 0
training, 6, 0.9025484902518136, -2.3583265236445836, 0
validating, 6, 0.9868018627166748, -2.3272971153259276, 0
testing, 6, 0.8274011611938477, -2.316163754463196, 0
training, 7, 0.8787893499646868, -2.328124782017299, 0
validating, 7, 0.9494446754455567, -2.3223830223083497, 0
testing, 7, 0.7979356050491333, -2.3081359386444094, 0
training, 8, 0.8456698894500733, -2.304591281073434, 0
validating, 8, 0.918701171875, -2.307915687561035, 0
testing, 8, 0.7731767177581788, -2.2707520008087156, 0
training, 9, 0.8151733330317906, -2.278152486256191, 0
validating, 9, 0.9178629398345948, -2.2946895122528077, 0
testing, 9, 0.7730327367782592, -2.2602499961853026, 0
training, 10, 0.8060592583247593, -2.275137288229806, 0
validating, 10, 0.9084237098693848, -2.2983081340789795, 0
testing, 10, 0.7562209129333496, -2.25824214220047, 0
training, 11, 0.7912885052817208, -2.266149067878723, 0
validating, 11, 0.8958852767944336, -2.3055413722991944, 0
testing, 11, 0.7588078737258911, -2.267242980003357, 0
training, 12, 0.7783964838300432, -2.259115014757429, 0
validating, 12, 0.8811654090881348, -2.2688007831573485, 0
testing, 12, 0.7414311647415162, -2.25023558139801, 0
training, 13, 0.7676367078508649, -2.248550408227103, 0
validating, 13, 0.8885153770446778, -2.328088092803955, 0
testing, 13, 0.7425626277923584, -2.252871775627136, 0
training, 14, 0.7545369693211147, -2.2437163966042655, 0
validating, 14, 0.8859582424163819, -2.2866117000579833, 0
testing, 14, 0.7738324880599976, -2.3108088850975035, 0
training, 15, 0.7456097670963833, -2.243463131359645, 0
validating, 15, 0.8863935947418213, -2.2753320693969727, 0
testing, 15, 0.7494223833084106, -2.2481951236724855, 0
training, 16, 0.7447179862431117, -2.2386581693376812, 0
validating, 16, 0.9050389766693115, -2.298824691772461, 0
testing, 16, 0.7895973443984985, -2.3111288070678713, 0
training, 17, 0.7419874123164586, -2.2362063816615514, 0
validating, 17, 0.9023339748382568, -2.3319844245910644, 0
testing, 17, 0.8013796806335449, -2.310519647598267, 0
training, 18, 0.7387822696140834, -2.2335697855268206, 0
validating, 18, 0.9022064208984375, -2.280717372894287, 0
testing, 18, 0.7801048517227173, -2.2994236946105957, 0
training, 19, 0.7379726478031703, -2.2288698843547277, 0
validating, 19, 0.9200840950012207, -2.287642765045166, 0
testing, 19, 0.8056388854980469, -2.3201613426208496, 0
training, 20, 0.7365883554731096, -2.2561341285705567, 0
validating, 20, 0.9175740242004394, -2.3425660133361816, 0
testing, 20, 0.8395818948745728, -2.3402671813964844, 0
training, 21, 0.7257281575884138, -2.2158776760101317, 0
validating, 21, 0.9015700340270996, -2.3229278564453124, 0
testing, 21, 0.7901771068572998, -2.323743832111359, 0
training, 22, 0.7352182115827288, -2.232094141415187, 0
validating, 22, 0.9279345035552978, -2.2931663036346435, 0
testing, 22, 0.825790548324585, -2.3402549743652346, 0
training, 23, 0.7347310611179897, -2.225618440764291, 0
validating, 23, 0.911632776260376, -2.3270356178283693, 0
testing, 23, 0.8350655317306519, -2.3546140670776365, 0
training, 24, 0.7380237170628139, -2.2443346296037947, 0
validating, 24, 0.9090753555297851, -2.317130613327026, 0
testing, 24, 0.83499116897583, -2.3538041353225707, 0
training, 25, 0.7217691625867572, -2.2071806226457866, 0
validating, 25, 0.9268710613250732, -2.32323317527771, 0
testing, 25, 0.8773865699768066, -2.382396936416626, 0
training, 26, 0.7198360034397671, -2.208369813646589, 0
validating, 26, 0.9161367416381836, -2.3238850593566895, 0
testing, 26, 0.8439025163650513, -2.3527286529541014, 0
training, 27, 0.7206291948046003, -2.2074766295296806, 0
validating, 27, 0.9145726680755615, -2.336393404006958, 0
testing, 27, 0.8473263025283814, -2.361369562149048, 0
training, 28, 0.7220706939697266, -2.21593565259661, 0
validating, 28, 0.9311032772064209, -2.324793004989624, 0
testing, 28, 0.8731261253356933, -2.362395143508911, 0
training, 29, 0.7292276109967913, -2.208075533594404, 0
validating, 29, 0.9269287586212158, -2.3296391010284423, 0
testing, 29, 0.8912838220596313, -2.3686012029647827, 0
training, 30, 0.7367675917489188, -2.2081415312630788, 0
validating, 30, 0.9204470634460449, -2.316257381439209, 0
testing, 30, 0.873232388496399, -2.371213698387146, 0
training, 31, 0.733406959261213, -2.213226389884949, 0
validating, 31, 0.9393824577331543, -2.3182940006256105, 0
testing, 31, 0.9006226301193238, -2.376986503601074, 0
training, 32, 0.7385852132524763, -2.214574064527239, 0
validating, 32, 0.9394563198089599, -2.3154385089874268, 0
testing, 32, 0.9158272266387939, -2.370766615867615, 0
training, 33, 0.721844380242484, -2.19675726549966, 0
validating, 33, 0.9318243026733398, -2.310835266113281, 0
testing, 33, 0.9202685832977295, -2.3700143814086916, 0
training, 34, 0.7420211042676653, -2.2128868000847954, 0
validating, 34, 0.9236045360565186, -2.3078237056732176, 0
testing, 34, 0.8852546453475952, -2.371760630607605, 0
training, 35, 0.7332019805908203, -2.203131025178092, 0
validating, 35, 0.9355044364929199, -2.318129301071167, 0
testing, 35, 0.9338402271270752, -2.378626751899719, 0
training, 36, 0.739733988898141, -2.217005739893232, 0
validating, 36, 0.9428037643432617, -2.317405271530151, 0
testing, 36, 0.938325572013855, -2.384260129928589, 0
training, 37, 0.7411078521183558, -2.2058772632053922, 0
validating, 37, 0.9442453384399414, -2.32676215171814, 0
testing, 37, 0.9448154449462891, -2.389333987236023, 0
training, 38, 0.7447971139635359, -2.2085906403405327, 0
validating, 38, 0.9283438205718995, -2.315787172317505, 0
testing, 38, 0.9270884037017822, -2.387266492843628, 0
training, 39, 0.7444406373160226, -2.2012696163994927, 0
validating, 39, 0.9490133285522461, -2.3303552627563477, 0
testing, 39, 0.9564885377883912, -2.3951018810272218, 0
training, 40, 0.7457028593335833, -2.2083079031535555, 0
validating, 40, 0.9427183151245118, -2.317222785949707, 0
testing, 40, 0.9492055892944335, -2.390079927444458, 0
training, 41, 0.7430165903908866, -2.209115641457694, 0
validating, 41, 0.943528127670288, -2.3169528007507325, 0
testing, 41, 0.9546057701110839, -2.3905511617660524, 0
training, 42, 0.7494802066258022, -2.2093464272362846, 0
validating, 42, 0.9481676101684571, -2.3205406188964846, 0
testing, 42, 0.9672845125198364, -2.395603585243225, 0
training, 43, 0.7479820728302002, -2.236232430594308, 0
validating, 43, 0.939506196975708, -2.3121790409088137, 0
testing, 43, 0.9552709341049195, -2.3905843257904054, 0
training, 44, 0.7524642331259591, -2.2039357015064787, 0
validating, 44, 0.9365053176879883, -2.3078100204467775, 0
testing, 44, 0.9471711874008178, -2.3928770303726195, 0
training, 45, 0.7428250312805176, -2.194949609892709, 0
validating, 45, 0.9448109626770019, -2.3206127643585206, 0
testing, 45, 0.9630164384841919, -2.395885372161865, 0
training, 46, 0.7423700332641602, -2.2012292793818884, 0
validating, 46, 0.9424625396728515, -2.316226530075073, 0
testing, 46, 0.9563398838043213, -2.39830482006073, 0
training, 47, 0.7465211732046945, -2.199537559917995, 0
validating, 47, 0.9445929050445556, -2.3247339725494385, 0
testing, 47, 0.9602066040039062, -2.4010897397994997, 0
training, 48, 0.7456190994807652, -2.2017223494393483, 0
validating, 48, 0.944814920425415, -2.3246366024017333, 0
testing, 48, 0.9582369565963745, -2.400635290145874, 0
training, 49, 0.7444966656821115, -2.2012490817478727, 0
validating, 49, 0.9481670379638671, -2.3292284488677977, 0
testing, 49, 0.9658776044845581, -2.4021782636642457, 0
training, 50, 0.7469149248940604, -2.1946441446031844, 0
validating, 50, 0.948056983947754, -2.315512847900391, 0
testing, 50, 0.9686966896057129, -2.400513005256653, 0
training, 51, 0.745974486214774, -2.194481188910348, 0
validating, 51, 0.9499155521392822, -2.321708822250366, 0
testing, 51, 0.9719959497451782, -2.4010682344436645, 0
training, 52, 0.7447428226470947, -2.199027780124119, 0
validating, 52, 0.9455726146697998, -2.325244665145874, 0
testing, 52, 0.9635437726974487, -2.40291109085083, 0
training, 53, 0.7477269308907645, -2.19758209500994, 0
validating, 53, 0.9500675678253174, -2.3161105155944823, 0
testing, 53, 0.9782622814178467, -2.4024242877960207, 0
training, 54, 0.7481411048344203, -2.1974359001432147, 0
validating, 54, 0.9485226631164551, -2.3279349327087404, 0
testing, 54, 0.9681029319763184, -2.404790186882019, 0
training, 55, 0.7502116271427699, -2.1893746546336583, 0
validating, 55, 0.947072696685791, -2.298888158798218, 0
testing, 55, 0.9652540445327759, -2.398844909667969, 0
training, 56, 0.7481559549059187, -2.1957567623683385, 0
validating, 56, 0.951283311843872, -2.32385311126709, 0
testing, 56, 0.9764412403106689, -2.404111385345459, 0
training, 57, 0.7484295845031739, -2.199469266619001, 0
validating, 57, 0.9501912593841553, -2.3230473518371584, 0
testing, 57, 0.9770535469055176, -2.406025195121765, 0
training, 58, 0.7466536113194057, -2.193359252384731, 0
validating, 58, 0.9475717067718505, -2.3129902839660645, 0
testing, 58, 0.9758995056152344, -2.4046889305114747, 0
training, 59, 0.7487822532653808, -2.1872815336499896, 0
validating, 59, 0.9523524761199951, -2.325878953933716, 0
testing, 59, 0.9786210298538208, -2.4064537048339845, 0
training, 60, 0.7477074486868722, -2.1875247069767543, 0
validating, 60, 0.9512394905090332, -2.3226994037628175, 0
testing, 60, 0.9803764581680298, -2.406612205505371, 0
training, 61, 0.7499644211360387, -2.186709019115993, 0
validating, 61, 0.9547316551208496, -2.325607967376709, 0
testing, 61, 0.9867516994476319, -2.407250237464905, 0
training, 62, 0.7493817942483084, -2.1850150755473545, 0
validating, 62, 0.9506837368011475, -2.3037397861480713, 0
testing, 62, 0.9823862552642822, -2.4072521448135378, 0
training, 63, 0.7488175187792097, -2.1957367283957345, 0
validating, 63, 0.951199722290039, -2.3049271583557127, 0
testing, 63, 0.9816657066345215, -2.4078103065490724, 0
training, 64, 0.7498587676456996, -2.1955343655177524, 0
validating, 64, 0.9542216300964356, -2.325430154800415, 0
testing, 64, 0.9867687463760376, -2.4089955568313597, 0
training, 65, 0.750900377546038, -2.1842959233692714, 0
validating, 65, 0.9515936374664307, -2.30624737739563, 0
testing, 65, 0.9832811832427979, -2.408416247367859, 0
training, 66, 0.7484751292637416, -2.1848539182118007, 0
validating, 66, 0.9535329818725586, -2.3224911212921144, 0
testing, 66, 0.9874297380447388, -2.4083958864212036, 0
training, 67, 0.7522603511810303, -2.1944400310516357, 0
validating, 67, 0.955720329284668, -2.3079551696777343, 0
testing, 67, 0.9883673667907715, -2.4099848985672, 0
training, 68, 0.7503176416669574, -2.1837435041155135, 0
validating, 68, 0.9537322998046875, -2.324754762649536, 0
testing, 68, 0.9866772890090942, -2.4094445943832397, 0
training, 69, 0.7489771706717355, -2.1857989515577043, 0
validating, 69, 0.9550825119018554, -2.3064133167266845, 0
testing, 69, 0.9895739316940307, -2.4090720415115356, 0
training, 70, 0.7516418048313686, -2.191948734010969, 0
validating, 70, 0.9558257579803466, -2.323378324508667, 0
testing, 70, 0.9921672105789184, -2.409562873840332, 0
training, 71, 0.7504757949284144, -2.183388784953526, 0
validating, 71, 0.9559700012207031, -2.3058627605438233, 0
testing, 71, 0.9897423267364502, -2.409687948226929, 0
training, 72, 0.7501710278647287, -2.191828993388585, 0
validating, 72, 0.9553287982940674, -2.3057440757751464, 0
testing, 72, 0.9902763128280639, -2.410203695297241, 0
training, 73, 0.7504281452723912, -2.1916204384395055, 0
validating, 73, 0.9550537586212158, -2.322728490829468, 0
testing, 73, 0.9931870460510254, -2.4095438003540037, 0
training, 74, 0.7509978021894183, -2.1935747725622994, 0
validating, 74, 0.9563874244689942, -2.323843240737915, 0
testing, 74, 0.9935595750808716, -2.4097383975982667, 0
training, 75, 0.7510065487452916, -2.1849867071424214, 0
validating, 75, 0.9555488586425781, -2.3248050212860107, 0
testing, 75, 0.9924828052520752, -2.4107556343078613, 0
training, 76, 0.7520290170397077, -2.193400365965707, 0
validating, 76, 0.9573062896728516, -2.324264574050903, 0
testing, 76, 0.9955785036087036, -2.410187554359436, 0
training, 77, 0.7514008522033692, -2.190083943094526, 0
validating, 77, 0.9557973861694335, -2.323892068862915, 0
testing, 77, 0.9933881521224975, -2.4105434894561766, 0
training, 78, 0.7513583660125732, -2.1853909185954503, 0
validating, 78, 0.956652307510376, -2.324069690704346, 0
testing, 78, 0.9942094326019287, -2.41041362285614, 0
training, 79, 0.750784969329834, -2.1909265177590505, 0
validating, 79, 0.9561657428741455, -2.324366807937622, 0
testing, 79, 0.9939902305603028, -2.4107298135757445, 0
training, 80, 0.751455967766898, -2.185414024761745, 0
validating, 80, 0.9570362567901611, -2.3240899085998534, 0
testing, 80, 0.9957117795944214, -2.4108315229415895, 0
training, 81, 0.7513438020433698, -2.1913434301103862, 0
validating, 81, 0.9571657180786133, -2.324450206756592, 0
testing, 81, 0.9958947420120239, -2.411067986488342, 0
training, 82, 0.7513373988015312, -2.189068065370832, 0
validating, 82, 0.95655517578125, -2.3050137519836427, 0
testing, 82, 0.9955156087875366, -2.4108224391937254, 0
training, 83, 0.7517082282475063, -2.1841511147362844, 0
validating, 83, 0.9568839550018311, -2.3240426540374757, 0
testing, 83, 0.9956571817398071, -2.4111698389053347, 0
training, 84, 0.7512126922607422, -2.1910798583711895, 0
validating, 84, 0.9574061870574951, -2.305293846130371, 0
testing, 84, 0.9968639373779297, -2.4112879037857056, 0
training, 85, 0.7519263812473842, -2.1852458919797626, 0
validating, 85, 0.9571987628936768, -2.305332565307617, 0
testing, 85, 0.9962538480758667, -2.4112614393234253, 0
training, 86, 0.7514890262058803, -2.1910520451409474, 0
validating, 86, 0.9567935943603516, -2.3055376052856444, 0
testing, 86, 0.9963422298431397, -2.4115113735198976, 0
training, 87, 0.7518097128186907, -2.191056503568377, 0
validating, 87, 0.957127857208252, -2.3060941219329836, 0
testing, 87, 0.9970181226730347, -2.411854386329651, 0
training, 88, 0.7522936889103481, -2.190867985997881, 0
validating, 88, 0.9576821804046631, -2.3055580139160154, 0
testing, 88, 0.998533821105957, -2.4116923570632935, 0
training, 89, 0.7522791658129011, -2.189236661366054, 0
validating, 89, 0.9579133510589599, -2.323863124847412, 0
testing, 89, 0.9983752965927124, -2.4117612838745117, 0
training, 90, 0.7521204335348947, -2.192319641794477, 0
validating, 90, 0.9574624538421631, -2.3053334236145018, 0
testing, 90, 0.9976519346237183, -2.4117888450622558, 0
training, 91, 0.7521226814814976, -2.1907368012837, 0
validating, 91, 0.9574518203735352, -2.3051033496856688, 0
testing, 91, 0.9977761268615722, -2.411799597740173, 0
