Random seed, 34
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.8119594029017855e-09, -3.844976234436035, 0
validating, -1, 0.0, -3.9080694198608397, 0
testing, -1, -4.76837158203125e-08, -3.879355955123901, 0
training, 0, 1.9930689096450807, -5.370604882921492, 0
validating, 0, 2.2325530767440798, -5.527465343475342, 0
testing, 0, 2.0127688884735107, -5.300639247894287, 0
training, 1, 1.3382639816829136, -4.978830487387521, 0
validating, 1, 1.2054137468338013, -5.027640533447266, 0
testing, 1, 1.1463589668273926, -4.862466049194336, 0
training, 2, 1.193288482938494, -4.8746823174612866, 0
validating, 2, 1.205201506614685, -5.02279052734375, 0
testing, 2, 1.1566290616989137, -4.870172452926636, 0
training, 3, 1.1756647041865758, -4.848443044934954, 0
validating, 3, 1.2252131223678588, -5.031337738037109, 0
testing, 3, 1.1618808031082153, -4.859579753875733, 0
training, 4, 1.1955254077911377, -4.876502840859549, 0
validating, 4, 1.2174272298812867, -5.032316780090332, 0
testing, 4, 1.1749078512191773, -4.8769287109375, 0
training, 5, 1.1706344195774623, -4.842093740190778, 0
validating, 5, 1.220190978050232, -5.0259092330932615, 0
testing, 5, 1.157737421989441, -4.858608198165894, 0
training, 6, 1.1676312242235456, -4.838109043666295, 0
validating, 6, 1.211120057106018, -5.017164802551269, 0
testing, 6, 1.1581878900527953, -4.872850179672241, 0
training, 7, 1.1711424418858118, -4.845951747894287, 0
validating, 7, 1.2346140146255493, -5.03218412399292, 0
testing, 7, 1.1582099437713622, -4.867447710037231, 0
training, 8, 1.1643324375152588, -4.83625738961356, 0
validating, 8, 1.2488470315933227, -5.0383140563964846, 0
testing, 8, 1.1590307235717774, -4.86064567565918, 0
training, 9, 1.1685056413922992, -4.833156735556466, 0
validating, 9, 1.235057806968689, -5.031331729888916, 0
testing, 9, 1.1637280702590942, -4.864578914642334, 0
training, 10, 1.1713688237326485, -4.841812746865409, 0
validating, 10, 1.2142803430557252, -5.027359867095948, 0
testing, 10, 1.176581048965454, -4.884362888336182, 0
training, 11, 1.1757147039685931, -4.838343742915562, 0
validating, 11, 1.265360426902771, -5.051882266998291, 0
testing, 11, 1.169773817062378, -4.860839939117431, 0
training, 12, 1.1803217615400041, -4.853462641579764, 0
validating, 12, 1.2370478868484498, -5.033421516418457, 0
testing, 12, 1.1645413160324096, -4.854705953598023, 0
training, 13, 1.1648344380514963, -4.832212393624442, 0
validating, 13, 1.2501038312911987, -5.039951610565185, 0
testing, 13, 1.1563943147659301, -4.849566411972046, 0
training, 14, 1.162154279436384, -4.829514380863735, 0
validating, 14, 1.2246863126754761, -5.027324390411377, 0
testing, 14, 1.162833571434021, -4.876942920684814, 0
training, 15, 1.168079423904419, -4.841015366145543, 0
validating, 15, 1.2118907213211059, -5.020480823516846, 0
testing, 15, 1.1723738670349122, -4.888871479034424, 0
training, 16, 1.1645728315625872, -4.838713427952357, 0
validating, 16, 1.2137314558029175, -5.014813327789307, 0
testing, 16, 1.1594828605651855, -4.877411699295044, 0
training, 17, 1.1521607603345598, -4.8162817410060335, 0
validating, 17, 1.2306413412094117, -5.027940082550049, 0
testing, 17, 1.1581966161727906, -4.881832599639893, 0
training, 18, 1.1594508579799108, -4.832748998914446, 0
validating, 18, 1.2390295267105103, -5.058526992797852, 0
testing, 18, 1.1668296098709106, -4.882090902328491, 0
training, 19, 1.159194312776838, -4.822916957310268, 0
validating, 19, 1.2772863149642943, -5.08584041595459, 0
testing, 19, 1.1710023164749146, -4.880490350723266, 0
training, 20, 1.173298590523856, -4.824608285086495, 0
validating, 20, 1.309026312828064, -5.129285621643066, 0
testing, 20, 1.1828154802322388, -4.868753671646118, 0
training, 21, 1.1682190826960972, -4.8208636283874515, 0
validating, 21, 1.2918979406356812, -5.108547592163086, 0
testing, 21, 1.1812813520431518, -4.893257713317871, 0
training, 22, 1.1579876150403703, -4.808948653084891, 0
validating, 22, 1.2726990938186646, -5.0790613174438475, 0
testing, 22, 1.164312720298767, -4.864836883544922, 0
training, 23, 1.148710639136178, -4.805592141832624, 0
