Random seed, 39
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 7.493155343191964e-08, -1.1602183035441807, 0
validating, -1, 0.0, -1.2108559131622314, 0
testing, -1, 2.384185791015625e-08, -1.1927835464477539, 0
training, 0, 1.4300874982561385, -2.06476879801069, 0
validating, 0, 1.4941918134689331, -2.1542609214782713, 0
testing, 0, 1.4022515535354614, -2.0651440143585207, 0
training, 1, 1.228776706968035, -1.6267261947904315, 0
validating, 1, 1.1449510335922242, -1.2238861083984376, 0
testing, 1, 1.0444014549255372, -1.2050694584846497, 0
training, 2, 1.0559488024030412, -1.1621679987226214, 0
validating, 2, 1.13634512424469, -1.2108559131622314, 0
testing, 2, 1.034766960144043, -1.1927835464477539, 0
training, 3, 1.0600817271641323, -1.1607546159199307, 0
validating, 3, 1.1426904916763305, -1.2108559131622314, 0
testing, 3, 1.0418331146240234, -1.1927835464477539, 0
training, 4, 1.0653544425964356, -1.1607575995581492, 0
validating, 4, 1.1477927923202516, -1.2108559131622314, 0
testing, 4, 1.047501015663147, -1.1927835464477539, 0
training, 5, 1.0738782337733677, -1.1607648168291365, 0
validating, 5, 1.1568309545516968, -1.2108559131622314, 0
testing, 5, 1.0573590278625489, -1.1927835464477539, 0
training, 6, 1.0853868416377477, -1.1607572385243008, 0
validating, 6, 1.166697907447815, -1.2108559131622314, 0
testing, 6, 1.068222665786743, -1.1927835464477539, 0
training, 7, 1.096043300628662, -1.1607776846204485, 0
validating, 7, 1.1800931215286254, -1.2108559131622314, 0
testing, 7, 1.0827647924423218, -1.1927835464477539, 0
training, 8, 1.1128293582371303, -1.1607652936662947, 0
validating, 8, 1.1977628469467163, -1.2108559131622314, 0
testing, 8, 1.1021315336227417, -1.1927835464477539, 0
training, 9, 1.1388580662863594, -1.160758570262364, 0
validating, 9, 1.2260276079177856, -1.2108559131622314, 0
testing, 9, 1.1322969675064087, -1.1927835464477539, 0
training, 10, 1.1583368846348354, -1.1607490369251796, 0
validating, 10, 1.243047308921814, -1.2108559131622314, 0
testing, 10, 1.150996160507202, -1.1927835464477539, 0
training, 11, 1.2358744961874826, -1.1613198723111833, 0
validating, 11, 1.3673924207687378, -1.2108559131622314, 0
testing, 11, 1.2849565505981446, -1.1927835464477539, 0
training, 12, 1.3018650599888393, -1.1607377767562865, 0
validating, 12, 1.380031132698059, -1.2108559131622314, 0
testing, 12, 1.2997605085372925, -1.1927835464477539, 0
training, 13, 1.3116561344691686, -1.160762173788888, 0
validating, 13, 1.3943519353866578, -1.2108559131622314, 0
testing, 13, 1.3164478540420532, -1.1927835464477539, 0
training, 14, 1.3386823517935618, -1.1608884164265223, 0
validating, 14, 1.4280231237411498, -1.2108559131622314, 0
testing, 14, 1.3523867845535278, -1.1927835464477539, 0
training, 15, 1.3703937530517578, -1.1607303721564157, 0
validating, 15, 1.4414677381515504, -1.2108559131622314, 0
testing, 15, 1.366954517364502, -1.1927835464477539, 0
training, 16, 1.404044621331351, -1.1611487558909825, 0
validating, 16, 1.513375210762024, -1.2108559131622314, 0
testing, 16, 1.4433027029037475, -1.1927835464477539, 0
training, 17, 1.4631306648254394, -1.160819901738848, 0
validating, 17, 1.52678325176239, -1.2108559131622314, 0
testing, 17, 1.4595295190811157, -1.1927835464477539, 0
training, 18, 1.4834426743643625, -1.1609197207859585, 0
validating, 18, 1.5596771955490112, -1.2108559131622314, 0
testing, 18, 1.496959400177002, -1.1927835464477539, 0
training, 19, 1.5119567666734968, -1.1607429368155344, 0
validating, 19, 1.5747691869735718, -1.2108559131622314, 0
testing, 19, 1.514150285720825, -1.1927835464477539, 0
training, 20, 1.5207124641963414, -1.1608359166554043, 0
validating, 20, 1.5890864610671998, -1.2108559131622314, 0
testing, 20, 1.5304816722869874, -1.1927835464477539, 0
training, 21, 1.5551556382860456, -1.1607791900634765, 0
validating, 21, 1.6166714429855347, -1.2108559131622314, 0
testing, 21, 1.5614354133605957, -1.1927835464477539, 0
training, 22, 1.579340273993356, -1.160875964164734, 0
validating, 22, 1.6447728395462036, -1.2108559131622314, 0
testing, 22, 1.5950464248657226, -1.1927835464477539, 0
training, 23, 1.551243564060756, -1.1610569272722517, 0
validating, 23, 1.5490302324295044, -1.2108559131622314, 0
testing, 23, 1.5033634901046753, -1.1927835464477539, 0
training, 24, 1.5363979748317174, -1.1609548228127615, 0
validating, 24, 1.599817681312561, -1.2108559131622314, 0
testing, 24, 1.569363045692444, -1.1927835464477539, 0
training, 25, 1.5607408319200788, -1.160775978224618, 0
validating, 25, 1.6025968313217163, -1.2108559131622314, 0
testing, 25, 1.5741713523864747, -1.1927835464477539, 0
training, 26, 1.573307146344866, -1.160833535875593, 0
validating, 26, 1.6252018213272095, -1.2108559131622314, 0
testing, 26, 1.5991381883621216, -1.1927835464477539, 0
training, 27, 1.5992978504725865, -1.1609527111053466, 0
validating, 27, 1.6463896036148071, -1.2108559131622314, 0
testing, 27, 1.6240069389343261, -1.1927835464477539, 0
training, 28, 1.6214239461081368, -1.1609432424817767, 0
validating, 28, 1.6694076776504516, -1.2108559131622314, 0
testing, 28, 1.6513781309127809, -1.1927835464477539, 0
training, 29, 1.6351698057992117, -1.1611133098602295, 0
validating, 29, 1.6474310159683228, -1.2108559131622314, 0
testing, 29, 1.6340455055236816, -1.1927835464477539, 0
training, 30, 1.6246047701154436, -1.1608890056610108, 0
validating, 30, 1.6594312906265258, -1.2108559131622314, 0
testing, 30, 1.651766300201416, -1.1927835464477539, 0
training, 31, 1.6352613585335867, -1.1608339888708932, 0
validating, 31, 1.6766998052597046, -1.2108559131622314, 0
testing, 31, 1.672041130065918, -1.1927835464477539, 0
training, 32, 1.6621733392987932, -1.1609850985663277, 0
validating, 32, 1.6953389406204225, -1.2108559131622314, 0
testing, 32, 1.6951835393905639, -1.1927835464477539, 0
