Random seed, 39
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 7.493155343191964e-08, -1.1602183035441807, 0
validating, -1, 0.0, -1.2108559131622314, 0
testing, -1, 2.384185791015625e-08, -1.1927835464477539, 0
training, 0, 1.4300874982561385, -2.06476879801069, 0
validating, 0, 1.4941918134689331, -2.1542609214782713, 0
testing, 0, 1.4022515535354614, -2.0651440143585207, 0
training, 1, 1.202829647064209, -1.5564811093466622, 0
validating, 1, 1.1153067350387573, -1.2108559131622314, 0
testing, 1, 1.0146189689636231, -1.1927835464477539, 0
training, 2, 0.9882896218981062, -1.160728897367205, 0
validating, 2, 1.0127713918685912, -1.2108559131622314, 0
testing, 2, 0.9259895801544189, -1.1927835464477539, 0
training, 3, 0.8808145931788853, -1.1607227666037423, 0
validating, 3, 0.8724535226821899, -1.2108559131622314, 0
testing, 3, 0.8263264179229737, -1.1927835464477539, 0
training, 4, 0.7791862964630127, -1.160856226512364, 0
validating, 4, 0.7640691518783569, -1.2108559131622314, 0
testing, 4, 0.7410650014877319, -1.1927835464477539, 0
training, 5, 0.699591875076294, -1.1612443242754256, 0
validating, 5, 0.689702820777893, -1.2108559131622314, 0
testing, 5, 0.6665791273117065, -1.1927835464477539, 0
training, 6, 0.6337107726505824, -1.1607118606567384, 0
validating, 6, 0.587845253944397, -1.2108559131622314, 0
testing, 6, 0.595181679725647, -1.1927835464477539, 0
training, 7, 0.5869532040187291, -1.1607066937855313, 0
validating, 7, 0.5523220777511597, -1.2108559131622314, 0
testing, 7, 0.5684567213058471, -1.1927835464477539, 0
training, 8, 0.5613435336521694, -1.1607056481497628, 0
validating, 8, 0.5404636144638062, -1.2108559131622314, 0
testing, 8, 0.5526913166046142, -1.1927835464477539, 0
training, 9, 0.5511904852730888, -1.1617780072348458, 0
validating, 9, 0.4880765676498413, -1.2108559131622314, 0
testing, 9, 0.5600903987884521, -1.1927835464477539, 0
training, 10, 0.5385318006787981, -1.1607123000281199, 0
validating, 10, 0.4757943868637085, -1.2108559131622314, 0
testing, 10, 0.5472436666488647, -1.1927835464477539, 0
training, 11, 0.5344299793243408, -1.1607147829873221, 0
validating, 11, 0.47470433712005616, -1.2108559131622314, 0
testing, 11, 0.5413220405578614, -1.1927835464477539, 0
training, 12, 0.5220401695796422, -1.160712787083217, 0
validating, 12, 0.4680864572525024, -1.2108559131622314, 0
testing, 12, 0.5318803787231445, -1.1927835464477539, 0
training, 13, 0.519184820992606, -1.160873474393572, 0
validating, 13, 0.4744914770126343, -1.2108559131622314, 0
testing, 13, 0.537101936340332, -1.1927835464477539, 0
training, 14, 0.5149208341326033, -1.160767023903983, 0
validating, 14, 0.4750257730484009, -1.2108559131622314, 0
testing, 14, 0.5198990345001221, -1.1927835464477539, 0
training, 15, 0.5118612766265869, -1.1607129880360194, 0
validating, 15, 0.46774532794952395, -1.2108559131622314, 0
testing, 15, 0.5304365873336792, -1.1927835464477539, 0
training, 16, 0.506751993724278, -1.1607041937964304, 0
validating, 16, 0.4710004091262817, -1.2108559131622314, 0
testing, 16, 0.5246632337570191, -1.1927835464477539, 0
training, 17, 0.508405317578997, -1.1607202802385603, 0
validating, 17, 0.469247031211853, -1.2108559131622314, 0
testing, 17, 0.5279783725738525, -1.1927835464477539, 0
training, 18, 0.508237361907959, -1.1609301294599261, 0
validating, 18, 0.473340106010437, -1.2108559131622314, 0
testing, 18, 0.5340071678161621, -1.1927835464477539, 0
training, 19, 0.5020926543644496, -1.1607801335198538, 0
validating, 19, 0.4770732164382935, -1.2108559131622314, 0
testing, 19, 0.5102827072143554, -1.1927835464477539, 0
training, 20, 0.49943175997052874, -1.1606995412281582, 0
validating, 20, 0.47021071910858153, -1.2108559131622314, 0
testing, 20, 0.5349913835525513, -1.1927835464477539, 0
training, 21, 0.5015062945229667, -1.1607046604156495, 0
validating, 21, 0.4648034334182739, -1.2108559131622314, 0
testing, 21, 0.5166225910186768, -1.1927835464477539, 0
training, 22, 0.49922330038888113, -1.1607335805892944, 0
validating, 22, 0.4659066915512085, -1.2108559131622314, 0
testing, 22, 0.5131386518478394, -1.1927835464477539, 0
training, 23, 0.500118214743478, -1.1608145815985544, 0
validating, 23, 0.4598932504653931, -1.2108559131622314, 0
testing, 23, 0.5135005474090576, -1.1927835464477539, 0
training, 24, 0.4936039447784424, -1.1608657121658326, 0
validating, 24, 0.46410930156707764, -1.2108559131622314, 0
testing, 24, 0.5127018451690674, -1.1927835464477539, 0
training, 25, 0.492082405090332, -1.1607361793518067, 0
validating, 25, 0.46194603443145754, -1.2108559131622314, 0
testing, 25, 0.5163159847259522, -1.1927835464477539, 0
training, 26, 0.49160402842930384, -1.161041147368295, 0
validating, 26, 0.46115124225616455, -1.2108559131622314, 0
testing, 26, 0.5165900945663452, -1.1927835464477539, 0
training, 27, 0.49314353125435967, -1.1608392102377756, 0
validating, 27, 0.45872881412506106, -1.2108559131622314, 0
testing, 27, 0.5126814603805542, -1.1927835464477539, 0
training, 28, 0.4923098768506731, -1.1607031515666417, 0
validating, 28, 0.46246774196624757, -1.2108559131622314, 0
testing, 28, 0.5178350210189819, -1.1927835464477539, 0
training, 29, 0.4908523150852748, -1.160809540748596, 0
validating, 29, 0.46426260471343994, -1.2108559131622314, 0
testing, 29, 0.5200668334960937, -1.1927835464477539, 0
training, 30, 0.4908191135951451, -1.161139794758388, 0
validating, 30, 0.46188251972198485, -1.2108559131622314, 0
testing, 30, 0.5135133028030395, -1.1927835464477539, 0
training, 31, 0.4909117766789028, -1.160705440385001, 0
validating, 31, 0.4599813222885132, -1.2108559131622314, 0
testing, 31, 0.5178203582763672, -1.1927835464477539, 0
training, 32, 0.4887880870274135, -1.1610131774629866, 0
validating, 32, 0.45787432193756106, -1.2108559131622314, 0
testing, 32, 0.5144806861877441, -1.1927835464477539, 0
