nodes, 15.0, edges, 37.0, epochs, -1, time, 33.0931875705719
nodes, 15.0, edges, 37.0, epochs, 0, time, 39.312543869018555
nodes, 15.0, edges, 37.0, epochs, 1, time, 42.19898748397827
nodes, 15.0, edges, 37.0, epochs, 2, time, 38.46587824821472
nodes, 15.0, edges, 37.0, epochs, 3, time, 41.630069971084595
nodes, 15.0, edges, 37.0, epochs, 4, time, 40.56795144081116
nodes, 15.0, edges, 37.0, epochs, 5, time, 38.43605351448059
nodes, 15.0, edges, 37.0, epochs, 6, time, 40.20088577270508
nodes, 15.0, edges, 37.0, epochs, 7, time, 38.027294397354126
nodes, 15.0, edges, 37.0, epochs, 8, time, 38.01588296890259
nodes, 15.0, edges, 37.0, epochs, 9, time, 38.9114043712616
nodes, 15.0, edges, 37.0, epochs, 10, time, 38.53370547294617
nodes, 15.0, edges, 37.0, epochs, 11, time, 41.84160494804382
nodes, 15.0, edges, 37.0, epochs, 12, time, 39.55474543571472
nodes, 15.0, edges, 37.0, epochs, 13, time, 37.98183035850525
nodes, 15.0, edges, 37.0, epochs, 14, time, 38.06337857246399
nodes, 15.0, edges, 37.0, epochs, 15, time, 37.878976583480835
nodes, 15.0, edges, 37.0, epochs, 16, time, 37.763044595718384
nodes, 15.0, edges, 37.0, epochs, 17, time, 37.387431621551514
nodes, 15.0, edges, 37.0, epochs, 18, time, 36.81682825088501
nodes, 15.0, edges, 37.0, epochs, 19, time, 36.940253257751465
nodes, 15.0, edges, 35.0, epochs, -1, time, 27.85956335067749
nodes, 15.0, edges, 35.0, epochs, 0, time, 35.60813617706299
nodes, 15.0, edges, 35.0, epochs, 1, time, 32.92417097091675
nodes, 15.0, edges, 35.0, epochs, 2, time, 31.660722970962524
nodes, 15.0, edges, 35.0, epochs, 3, time, 32.265610456466675
nodes, 15.0, edges, 35.0, epochs, 4, time, 31.106412172317505
nodes, 15.0, edges, 35.0, epochs, 5, time, 30.446449756622314
nodes, 15.0, edges, 35.0, epochs, 6, time, 29.36768937110901
nodes, 15.0, edges, 35.0, epochs, 7, time, 32.30570340156555
nodes, 15.0, edges, 35.0, epochs, 8, time, 32.74006271362305
nodes, 15.0, edges, 35.0, epochs, 9, time, 33.20488619804382
nodes, 15.0, edges, 35.0, epochs, 10, time, 32.75603938102722
nodes, 15.0, edges, 35.0, epochs, 11, time, 31.06391739845276
nodes, 15.0, edges, 35.0, epochs, 12, time, 29.321163415908813
nodes, 15.0, edges, 35.0, epochs, 13, time, 32.28419518470764
nodes, 15.0, edges, 35.0, epochs, 14, time, 31.212109327316284
nodes, 15.0, edges, 35.0, epochs, 15, time, 28.677013397216797
nodes, 15.0, edges, 35.0, epochs, 16, time, 30.22513699531555
nodes, 15.0, edges, 35.0, epochs, 17, time, 28.458612203598022
nodes, 15.0, edges, 35.0, epochs, 18, time, 28.093008756637573
nodes, 15.0, edges, 35.0, epochs, 19, time, 29.45177698135376
nodes, 15.0, edges, 32.0, epochs, -1, time, 25.549853324890137
nodes, 15.0, edges, 32.0, epochs, 0, time, 34.22894215583801
nodes, 15.0, edges, 32.0, epochs, 1, time, 30.375921726226807
nodes, 15.0, edges, 32.0, epochs, 2, time, 31.604589462280273
nodes, 15.0, edges, 32.0, epochs, 3, time, 31.99642014503479
nodes, 15.0, edges, 32.0, epochs, 4, time, 29.86090636253357
nodes, 15.0, edges, 32.0, epochs, 5, time, 29.979713916778564
nodes, 15.0, edges, 32.0, epochs, 6, time, 29.924115896224976
nodes, 15.0, edges, 32.0, epochs, 7, time, 29.69687533378601
nodes, 15.0, edges, 32.0, epochs, 8, time, 29.856588125228882
nodes, 15.0, edges, 32.0, epochs, 9, time, 30.027055501937866
nodes, 15.0, edges, 32.0, epochs, 10, time, 30.05534029006958
nodes, 15.0, edges, 32.0, epochs, 11, time, 29.863064289093018
nodes, 15.0, edges, 32.0, epochs, 12, time, 29.90182089805603
nodes, 15.0, edges, 32.0, epochs, 13, time, 30.044978141784668
nodes, 15.0, edges, 32.0, epochs, 14, time, 29.93040370941162
nodes, 15.0, edges, 32.0, epochs, 15, time, 29.886083602905273
nodes, 15.0, edges, 32.0, epochs, 16, time, 29.91381549835205
nodes, 15.0, edges, 32.0, epochs, 17, time, 29.904584646224976
nodes, 15.0, edges, 32.0, epochs, 18, time, 29.876224756240845
nodes, 15.0, edges, 32.0, epochs, 19, time, 29.825984001159668
