nodes, 16.0, edges, 44.0, epochs, -1, time, 7.039225816726685
nodes, 16.0, edges, 44.0, epochs, 0, time, 7.684021234512329
nodes, 16.0, edges, 44.0, epochs, 1, time, 7.364265441894531
nodes, 16.0, edges, 44.0, epochs, 2, time, 7.999037265777588
nodes, 16.0, edges, 44.0, epochs, 3, time, 7.929334878921509
nodes, 16.0, edges, 44.0, epochs, 4, time, 7.949771404266357
nodes, 16.0, edges, 44.0, epochs, 5, time, 7.718791484832764
nodes, 16.0, edges, 44.0, epochs, 6, time, 7.3073570728302
nodes, 16.0, edges, 44.0, epochs, 7, time, 7.269935131072998
nodes, 16.0, edges, 44.0, epochs, 8, time, 7.635028123855591
nodes, 16.0, edges, 44.0, epochs, 9, time, 8.442983150482178
nodes, 16.0, edges, 44.0, epochs, 10, time, 8.151503324508667
nodes, 16.0, edges, 44.0, epochs, 11, time, 7.889552116394043
nodes, 16.0, edges, 44.0, epochs, 12, time, 8.115313291549683
nodes, 16.0, edges, 44.0, epochs, 13, time, 8.1606285572052
nodes, 16.0, edges, 44.0, epochs, 14, time, 7.727987766265869
nodes, 16.0, edges, 44.0, epochs, 15, time, 7.815728425979614
nodes, 16.0, edges, 44.0, epochs, 16, time, 8.632891178131104
nodes, 16.0, edges, 44.0, epochs, 17, time, 8.596574783325195
nodes, 16.0, edges, 44.0, epochs, 18, time, 9.873764514923096
nodes, 16.0, edges, 44.0, epochs, 19, time, 9.34868311882019
nodes, 16.0, edges, 44.0, epochs, 20, time, 9.236366271972656
nodes, 16.0, edges, 44.0, epochs, 21, time, 8.200520992279053
nodes, 16.0, edges, 44.0, epochs, 22, time, 8.658159971237183
nodes, 16.0, edges, 44.0, epochs, 23, time, 8.540104627609253
nodes, 16.0, edges, 44.0, epochs, 24, time, 9.232303380966187
nodes, 16.0, edges, 44.0, epochs, 25, time, 8.079758405685425
nodes, 16.0, edges, 44.0, epochs, 26, time, 8.352582454681396
nodes, 16.0, edges, 44.0, epochs, 27, time, 11.144367694854736
nodes, 16.0, edges, 44.0, epochs, 28, time, 8.091501951217651
nodes, 16.0, edges, 44.0, epochs, 29, time, 8.88543963432312
nodes, 16.0, edges, 44.0, epochs, 30, time, 9.212384939193726
nodes, 16.0, edges, 44.0, epochs, 31, time, 8.825651168823242
nodes, 16.0, edges, 44.0, epochs, 32, time, 8.799005031585693
nodes, 16.0, edges, 44.0, epochs, 33, time, 8.11233377456665
nodes, 16.0, edges, 44.0, epochs, 34, time, 8.508403301239014
nodes, 16.0, edges, 44.0, epochs, 35, time, 9.218204736709595
nodes, 16.0, edges, 44.0, epochs, 36, time, 8.77535343170166
nodes, 16.0, edges, 44.0, epochs, 37, time, 8.96629810333252
nodes, 16.0, edges, 44.0, epochs, 38, time, 8.356640338897705
nodes, 16.0, edges, 44.0, epochs, 39, time, 8.502171039581299
nodes, 16.0, edges, 44.0, epochs, -1, time, 0.053843021392822266
nodes, 16.0, edges, 44.0, epochs, 0, time, 0.06899476051330566
nodes, 16.0, edges, 44.0, epochs, 1, time, 0.1423497200012207
nodes, 16.0, edges, 44.0, epochs, 2, time, 0.13349652290344238
nodes, 16.0, edges, 44.0, epochs, 3, time, 0.15123367309570312
nodes, 16.0, edges, 44.0, epochs, 4, time, 0.17526483535766602
nodes, 16.0, edges, 44.0, epochs, 5, time, 0.18624305725097656
nodes, 16.0, edges, 44.0, epochs, 6, time, 0.16978001594543457
nodes, 16.0, edges, 44.0, epochs, 7, time, 0.1471550464630127
nodes, 16.0, edges, 44.0, epochs, 8, time, 0.13955116271972656
