nodes, 16.0, edges, 44.0, epochs, -1, time, 69.95387840270996
nodes, 16.0, edges, 44.0, epochs, 0, time, 76.2391881942749
nodes, 16.0, edges, 44.0, epochs, 1, time, 78.29901051521301
nodes, 16.0, edges, 44.0, epochs, 2, time, 78.20668816566467
nodes, 16.0, edges, 44.0, epochs, 3, time, 79.82273387908936
nodes, 16.0, edges, 44.0, epochs, 4, time, 80.90298342704773
nodes, 16.0, edges, 44.0, epochs, 5, time, 80.18918228149414
nodes, 16.0, edges, 44.0, epochs, 6, time, 80.43031740188599
nodes, 16.0, edges, 44.0, epochs, 7, time, 80.4476842880249
nodes, 16.0, edges, 44.0, epochs, 8, time, 80.15621066093445
nodes, 16.0, edges, 44.0, epochs, 9, time, 80.81439924240112
nodes, 16.0, edges, 44.0, epochs, 10, time, 80.10014033317566
nodes, 16.0, edges, 44.0, epochs, 11, time, 79.17882490158081
nodes, 16.0, edges, 44.0, epochs, 12, time, 79.22269082069397
nodes, 16.0, edges, 44.0, epochs, 13, time, 79.36888217926025
nodes, 16.0, edges, 44.0, epochs, 14, time, 78.72335577011108
nodes, 16.0, edges, 44.0, epochs, 15, time, 78.34085297584534
nodes, 16.0, edges, 44.0, epochs, 16, time, 79.06472945213318
nodes, 16.0, edges, 44.0, epochs, 17, time, 78.20920157432556
nodes, 16.0, edges, 44.0, epochs, 18, time, 78.51112341880798
nodes, 16.0, edges, 44.0, epochs, 19, time, 78.51348519325256
nodes, 16.0, edges, 44.0, epochs, 20, time, 78.20194458961487
nodes, 16.0, edges, 44.0, epochs, -1, time, 65.94925212860107
nodes, 16.0, edges, 44.0, epochs, 0, time, 69.47507524490356
nodes, 16.0, edges, 44.0, epochs, 1, time, 72.38402056694031
nodes, 16.0, edges, 44.0, epochs, 2, time, 72.06820130348206
nodes, 16.0, edges, 44.0, epochs, 3, time, 74.73655796051025
nodes, 16.0, edges, 44.0, epochs, 4, time, 75.73404955863953
nodes, 16.0, edges, 44.0, epochs, 5, time, 75.27316784858704
nodes, 16.0, edges, 44.0, epochs, 6, time, 73.98751831054688
nodes, 16.0, edges, 44.0, epochs, 7, time, 74.67103171348572
nodes, 16.0, edges, 44.0, epochs, 8, time, 74.7445297241211
nodes, 16.0, edges, 44.0, epochs, 9, time, 74.67192363739014
nodes, 16.0, edges, 44.0, epochs, 10, time, 73.83891272544861
nodes, 16.0, edges, 44.0, epochs, 11, time, 74.50377368927002
nodes, 16.0, edges, 44.0, epochs, 12, time, 73.77270293235779
nodes, 16.0, edges, 44.0, epochs, 13, time, 72.55290746688843
nodes, 16.0, edges, 44.0, epochs, 14, time, 72.7398612499237
nodes, 16.0, edges, 44.0, epochs, 15, time, 72.77548503875732
nodes, 16.0, edges, 44.0, epochs, 16, time, 71.94463205337524
nodes, 16.0, edges, 44.0, epochs, 17, time, 72.24363970756531
nodes, 16.0, edges, 44.0, epochs, 18, time, 72.52915239334106
nodes, 16.0, edges, 44.0, epochs, 19, time, 72.19519710540771
nodes, 16.0, edges, 44.0, epochs, 20, time, 72.51809668540955
nodes, 16.0, edges, 44.0, epochs, 21, time, 72.30329537391663
nodes, 16.0, edges, 44.0, epochs, 22, time, 72.96271967887878
nodes, 16.0, edges, 44.0, epochs, 23, time, 72.92823648452759
nodes, 16.0, edges, 44.0, epochs, 24, time, 72.69586372375488
nodes, 16.0, edges, 44.0, epochs, 25, time, 72.07074856758118
nodes, 16.0, edges, 44.0, epochs, 26, time, 72.47993683815002
nodes, 16.0, edges, 44.0, epochs, 27, time, 72.37838840484619
nodes, 16.0, edges, 44.0, epochs, 28, time, 72.18055200576782
nodes, 16.0, edges, 44.0, epochs, 29, time, 71.86373329162598
