nodes, 20.0, edges, 43.0, epochs, -1, time, 60.16735816001892
nodes, 20.0, edges, 43.0, epochs, 0, time, 12.146896600723267
nodes, 20.0, edges, 43.0, epochs, 1, time, 18.257138967514038
nodes, 20.0, edges, 43.0, epochs, 2, time, 34.85382676124573
nodes, 20.0, edges, 43.0, epochs, 3, time, 48.552480697631836
nodes, 20.0, edges, 43.0, epochs, 4, time, 44.22693109512329
nodes, 20.0, edges, 43.0, epochs, 5, time, 48.79373359680176
nodes, 20.0, edges, 43.0, epochs, 6, time, 33.26255559921265
nodes, 20.0, edges, 43.0, epochs, 7, time, 48.19403672218323
nodes, 20.0, edges, 43.0, epochs, 8, time, 60.237887144088745
nodes, 20.0, edges, 43.0, epochs, 9, time, 59.99258804321289
nodes, 20.0, edges, 43.0, epochs, 10, time, 42.274927854537964
nodes, 20.0, edges, 43.0, epochs, 11, time, 42.49989080429077
nodes, 20.0, edges, 43.0, epochs, 12, time, 44.80560231208801
nodes, 20.0, edges, 43.0, epochs, 13, time, 50.4149866104126
nodes, 20.0, edges, 43.0, epochs, 14, time, 43.486023902893066
nodes, 20.0, edges, 43.0, epochs, 15, time, 47.028122663497925
nodes, 20.0, edges, 43.0, epochs, 16, time, 40.32599067687988
nodes, 20.0, edges, 43.0, epochs, 17, time, 49.69783115386963
nodes, 20.0, edges, 43.0, epochs, 18, time, 88.58413672447205
nodes, 20.0, edges, 43.0, epochs, 19, time, 89.36725187301636
nodes, 20.0, edges, 37.0, epochs, -1, time, 32.291977643966675
nodes, 20.0, edges, 37.0, epochs, 0, time, 12.27196478843689
nodes, 20.0, edges, 37.0, epochs, 1, time, 12.692348003387451
nodes, 20.0, edges, 37.0, epochs, 2, time, 13.792171478271484
nodes, 20.0, edges, 37.0, epochs, 3, time, 13.545388221740723
nodes, 20.0, edges, 37.0, epochs, 4, time, 20.799823999404907
nodes, 20.0, edges, 37.0, epochs, 5, time, 15.930593490600586
nodes, 20.0, edges, 37.0, epochs, 6, time, 14.142205715179443
nodes, 20.0, edges, 37.0, epochs, 7, time, 16.152005434036255
nodes, 20.0, edges, 37.0, epochs, 8, time, 14.447755336761475
nodes, 20.0, edges, 37.0, epochs, 9, time, 15.674480199813843
nodes, 20.0, edges, 37.0, epochs, 10, time, 17.99136972427368
nodes, 20.0, edges, 37.0, epochs, 11, time, 14.527352094650269
nodes, 20.0, edges, 37.0, epochs, 12, time, 17.029224634170532
nodes, 20.0, edges, 37.0, epochs, 13, time, 16.025824546813965
nodes, 20.0, edges, 37.0, epochs, 14, time, 15.905317306518555
nodes, 20.0, edges, 37.0, epochs, 15, time, 14.436985731124878
nodes, 20.0, edges, 37.0, epochs, 16, time, 16.75413179397583
nodes, 20.0, edges, 37.0, epochs, 17, time, 15.395490646362305
nodes, 20.0, edges, 37.0, epochs, 18, time, 13.961603164672852
nodes, 20.0, edges, 37.0, epochs, 19, time, 17.14483070373535
nodes, 20.0, edges, 42.0, epochs, -1, time, 72.6696445941925
nodes, 20.0, edges, 42.0, epochs, 0, time, 21.568921089172363
nodes, 20.0, edges, 42.0, epochs, 1, time, 26.377517700195312
nodes, 20.0, edges, 42.0, epochs, 2, time, 35.78538274765015
nodes, 20.0, edges, 42.0, epochs, 3, time, 37.85639023780823
nodes, 20.0, edges, 42.0, epochs, 4, time, 28.131356239318848
nodes, 20.0, edges, 42.0, epochs, 5, time, 39.50791931152344
nodes, 20.0, edges, 42.0, epochs, 6, time, 27.198160648345947
nodes, 20.0, edges, 42.0, epochs, 7, time, 30.89076566696167
nodes, 20.0, edges, 42.0, epochs, 8, time, 22.64912748336792
nodes, 20.0, edges, 42.0, epochs, 9, time, 33.89229607582092
nodes, 20.0, edges, 42.0, epochs, 10, time, 43.11094069480896
nodes, 20.0, edges, 42.0, epochs, 11, time, 48.58812212944031
nodes, 20.0, edges, 42.0, epochs, 12, time, 44.00889277458191
nodes, 20.0, edges, 42.0, epochs, 13, time, 44.867881298065186
nodes, 20.0, edges, 42.0, epochs, 14, time, 39.908512115478516
nodes, 20.0, edges, 42.0, epochs, 15, time, 39.643728494644165
nodes, 20.0, edges, 42.0, epochs, 16, time, 24.370988130569458
nodes, 20.0, edges, 42.0, epochs, 17, time, 34.080381631851196
nodes, 20.0, edges, 42.0, epochs, 18, time, 32.260725021362305
nodes, 20.0, edges, 42.0, epochs, 19, time, 57.84563732147217
nodes, 20.0, edges, 43.0, epochs, -1, time, 88.06904125213623
nodes, 20.0, edges, 43.0, epochs, 0, time, 37.85203289985657
nodes, 20.0, edges, 43.0, epochs, 1, time, 73.48029565811157
nodes, 20.0, edges, 43.0, epochs, 2, time, 45.89277148246765
nodes, 20.0, edges, 43.0, epochs, 3, time, 57.53819799423218
nodes, 20.0, edges, 43.0, epochs, 4, time, 83.70664739608765
nodes, 20.0, edges, 43.0, epochs, 5, time, 132.16175723075867
nodes, 20.0, edges, 43.0, epochs, 6, time, 79.4582941532135
nodes, 20.0, edges, 43.0, epochs, 7, time, 72.6149730682373
nodes, 20.0, edges, 43.0, epochs, 8, time, 99.89055681228638
nodes, 20.0, edges, 43.0, epochs, 9, time, 52.25428366661072
nodes, 20.0, edges, 43.0, epochs, 10, time, 60.715575218200684
nodes, 20.0, edges, 43.0, epochs, 11, time, 61.562384366989136
nodes, 20.0, edges, 43.0, epochs, 12, time, 67.84134030342102
