nodes, 15.0, edges, 24.0, epochs, -1, time, 0.8714735507965088
nodes, 15.0, edges, 24.0, epochs, 0, time, 1.0353386402130127
nodes, 15.0, edges, 24.0, epochs, 1, time, 1.7726020812988281
nodes, 15.0, edges, 24.0, epochs, 2, time, 1.7922186851501465
nodes, 15.0, edges, 24.0, epochs, 3, time, 1.7757208347320557
nodes, 15.0, edges, 24.0, epochs, 4, time, 1.4578609466552734
nodes, 15.0, edges, 24.0, epochs, 5, time, 1.4532198905944824
nodes, 15.0, edges, 24.0, epochs, 6, time, 1.5251717567443848
nodes, 15.0, edges, 24.0, epochs, 7, time, 1.542051076889038
nodes, 15.0, edges, 24.0, epochs, 8, time, 1.5441007614135742
nodes, 15.0, edges, 24.0, epochs, 9, time, 1.5436325073242188
nodes, 15.0, edges, 24.0, epochs, 10, time, 1.531057596206665
nodes, 15.0, edges, 24.0, epochs, 11, time, 1.6969220638275146
nodes, 15.0, edges, 24.0, epochs, 12, time, 1.4331598281860352
nodes, 15.0, edges, 24.0, epochs, 13, time, 1.3886549472808838
nodes, 15.0, edges, 24.0, epochs, 14, time, 1.3880338668823242
nodes, 15.0, edges, 24.0, epochs, 15, time, 1.391188383102417
nodes, 15.0, edges, 24.0, epochs, 16, time, 1.3987431526184082
nodes, 15.0, edges, 24.0, epochs, 17, time, 1.3886256217956543
nodes, 15.0, edges, 24.0, epochs, 18, time, 1.422652244567871
nodes, 15.0, edges, 24.0, epochs, 19, time, 244.95031642913818
nodes, 15.0, edges, 30.0, epochs, -1, time, 1.4415473937988281
nodes, 15.0, edges, 30.0, epochs, 0, time, 1.7890551090240479
nodes, 15.0, edges, 30.0, epochs, 1, time, 3.2150957584381104
nodes, 15.0, edges, 30.0, epochs, 2, time, 3.522237539291382
nodes, 15.0, edges, 30.0, epochs, 3, time, 3.482952356338501
nodes, 15.0, edges, 30.0, epochs, 4, time, 3.5495502948760986
nodes, 15.0, edges, 30.0, epochs, 5, time, 3.8258554935455322
nodes, 15.0, edges, 30.0, epochs, 6, time, 4.282232284545898
nodes, 15.0, edges, 30.0, epochs, 7, time, 4.189159393310547
nodes, 15.0, edges, 30.0, epochs, 8, time, 4.1749842166900635
nodes, 15.0, edges, 30.0, epochs, 9, time, 4.262808322906494
nodes, 15.0, edges, 30.0, epochs, 10, time, 4.312473773956299
nodes, 15.0, edges, 30.0, epochs, 11, time, 4.193296909332275
nodes, 15.0, edges, 30.0, epochs, 12, time, 4.257976055145264
nodes, 15.0, edges, 30.0, epochs, 13, time, 4.254639387130737
nodes, 15.0, edges, 30.0, epochs, 14, time, 4.116430997848511
nodes, 15.0, edges, 30.0, epochs, 15, time, 4.172202825546265
nodes, 15.0, edges, 30.0, epochs, 16, time, 4.621338844299316
nodes, 15.0, edges, 30.0, epochs, 17, time, 4.522910833358765
nodes, 15.0, edges, 30.0, epochs, 18, time, 4.507006406784058
nodes, 15.0, edges, 30.0, epochs, 19, time, 513.6071102619171
nodes, 15.0, edges, 31.0, epochs, -1, time, 0.9311225414276123
nodes, 15.0, edges, 31.0, epochs, 0, time, 1.1168937683105469
nodes, 15.0, edges, 31.0, epochs, 1, time, 2.079716920852661
nodes, 15.0, edges, 31.0, epochs, 2, time, 2.2241477966308594
nodes, 15.0, edges, 31.0, epochs, 3, time, 2.4124929904937744
nodes, 15.0, edges, 31.0, epochs, 4, time, 2.4219796657562256
nodes, 15.0, edges, 31.0, epochs, 5, time, 2.45591139793396
nodes, 15.0, edges, 31.0, epochs, 6, time, 2.1842381954193115
nodes, 15.0, edges, 31.0, epochs, 7, time, 2.298710346221924
nodes, 15.0, edges, 31.0, epochs, 8, time, 2.2990779876708984
nodes, 15.0, edges, 31.0, epochs, 9, time, 2.329587936401367
nodes, 15.0, edges, 31.0, epochs, 10, time, 2.373594284057617
nodes, 15.0, edges, 31.0, epochs, 11, time, 2.1438395977020264
nodes, 15.0, edges, 31.0, epochs, 12, time, 2.117733955383301
nodes, 15.0, edges, 31.0, epochs, 13, time, 2.0904908180236816
nodes, 15.0, edges, 31.0, epochs, 14, time, 2.1423842906951904
nodes, 15.0, edges, 31.0, epochs, 15, time, 2.0963799953460693
nodes, 15.0, edges, 31.0, epochs, 16, time, 2.0850462913513184
nodes, 15.0, edges, 31.0, epochs, 17, time, 2.185986042022705
nodes, 15.0, edges, 31.0, epochs, 18, time, 2.383979558944702
nodes, 15.0, edges, 31.0, epochs, 19, time, 457.5444567203522
nodes, 15.0, edges, 19.0, epochs, -1, time, 0.8514974117279053
nodes, 15.0, edges, 19.0, epochs, 0, time, 1.0755541324615479
nodes, 15.0, edges, 19.0, epochs, 1, time, 1.9949579238891602
nodes, 15.0, edges, 19.0, epochs, 2, time, 2.0055601596832275
nodes, 15.0, edges, 19.0, epochs, 3, time, 1.9810616970062256
nodes, 15.0, edges, 19.0, epochs, 4, time, 1.9976170063018799
nodes, 15.0, edges, 19.0, epochs, 5, time, 2.0444812774658203
nodes, 15.0, edges, 19.0, epochs, 6, time, 1.9914045333862305
nodes, 15.0, edges, 19.0, epochs, 7, time, 1.9973416328430176
nodes, 15.0, edges, 19.0, epochs, 8, time, 1.9791994094848633
nodes, 15.0, edges, 19.0, epochs, 9, time, 1.982750415802002
nodes, 15.0, edges, 19.0, epochs, 10, time, 2.0197813510894775
nodes, 15.0, edges, 19.0, epochs, 11, time, 1.9940502643585205
nodes, 15.0, edges, 19.0, epochs, 12, time, 2.016045331954956
nodes, 15.0, edges, 19.0, epochs, 13, time, 2.0280203819274902
nodes, 15.0, edges, 19.0, epochs, 14, time, 2.009798049926758
nodes, 15.0, edges, 19.0, epochs, 15, time, 2.013962745666504
nodes, 15.0, edges, 19.0, epochs, 16, time, 1.9934680461883545
nodes, 15.0, edges, 19.0, epochs, 17, time, 2.0007519721984863
nodes, 15.0, edges, 19.0, epochs, 18, time, 1.9845912456512451
nodes, 15.0, edges, 19.0, epochs, 19, time, 163.30960988998413
nodes, 15.0, edges, 41.0, epochs, -1, time, 1.2212822437286377
nodes, 15.0, edges, 41.0, epochs, 0, time, 1.4690089225769043
nodes, 15.0, edges, 41.0, epochs, 1, time, 2.847238779067993
nodes, 15.0, edges, 41.0, epochs, 2, time, 2.870455026626587
nodes, 15.0, edges, 41.0, epochs, 3, time, 2.8387341499328613
nodes, 15.0, edges, 41.0, epochs, 4, time, 2.8139162063598633
nodes, 15.0, edges, 41.0, epochs, 5, time, 2.8519904613494873
nodes, 15.0, edges, 41.0, epochs, 6, time, 2.873635768890381
nodes, 15.0, edges, 41.0, epochs, 7, time, 2.8343424797058105
nodes, 15.0, edges, 41.0, epochs, 8, time, 2.804513692855835
nodes, 15.0, edges, 41.0, epochs, 9, time, 2.8674590587615967
nodes, 15.0, edges, 41.0, epochs, 10, time, 2.8067004680633545
nodes, 15.0, edges, 41.0, epochs, 11, time, 2.816209316253662
nodes, 15.0, edges, 41.0, epochs, 12, time, 2.8140227794647217
nodes, 15.0, edges, 41.0, epochs, 13, time, 2.856198787689209
nodes, 15.0, edges, 41.0, epochs, 14, time, 2.8215811252593994
nodes, 15.0, edges, 41.0, epochs, 15, time, 2.8270864486694336
nodes, 15.0, edges, 41.0, epochs, 16, time, 2.8420627117156982
nodes, 15.0, edges, 41.0, epochs, 17, time, 2.828464984893799
nodes, 15.0, edges, 41.0, epochs, 18, time, 2.849642753601074
nodes, 15.0, edges, 41.0, epochs, 19, time, 1025.600707769394
nodes, 15.0, edges, 29.0, epochs, -1, time, 1.5753364562988281
nodes, 15.0, edges, 29.0, epochs, 0, time, 1.9190220832824707
nodes, 15.0, edges, 29.0, epochs, 1, time, 4.379964828491211
nodes, 15.0, edges, 29.0, epochs, 2, time, 4.44083571434021
nodes, 15.0, edges, 29.0, epochs, 3, time, 4.364633083343506
nodes, 15.0, edges, 29.0, epochs, 4, time, 4.440932750701904
nodes, 15.0, edges, 29.0, epochs, 5, time, 4.433194160461426
nodes, 15.0, edges, 29.0, epochs, 6, time, 4.379378080368042
nodes, 15.0, edges, 29.0, epochs, 7, time, 4.398277997970581
nodes, 15.0, edges, 29.0, epochs, 8, time, 4.390072345733643
nodes, 15.0, edges, 29.0, epochs, 9, time, 4.421757936477661
