nodes, 23.0, edges, 55.0, epochs, -1, time, 0.47720861434936523
nodes, 23.0, edges, 55.0, epochs, 0, time, 0.37000513076782227
nodes, 23.0, edges, 55.0, epochs, 1, time, 0.6750428676605225
nodes, 23.0, edges, 55.0, epochs, 2, time, 0.6680831909179688
nodes, 23.0, edges, 55.0, epochs, 3, time, 0.6661732196807861
nodes, 23.0, edges, 55.0, epochs, 4, time, 0.6728320121765137
nodes, 23.0, edges, 55.0, epochs, 5, time, 0.6492800712585449
nodes, 23.0, edges, 55.0, epochs, 6, time, 0.646733283996582
nodes, 23.0, edges, 55.0, epochs, 7, time, 0.6963212490081787
nodes, 23.0, edges, 55.0, epochs, 8, time, 0.6509277820587158
nodes, 23.0, edges, 55.0, epochs, 9, time, 0.6505615711212158
nodes, 23.0, edges, 55.0, epochs, 10, time, 0.6498405933380127
nodes, 23.0, edges, 55.0, epochs, 11, time, 0.6557917594909668
nodes, 23.0, edges, 55.0, epochs, 12, time, 0.6479511260986328
nodes, 23.0, edges, 55.0, epochs, 13, time, 0.6470177173614502
nodes, 23.0, edges, 55.0, epochs, 14, time, 0.64554762840271
nodes, 23.0, edges, 55.0, epochs, 15, time, 0.6475832462310791
nodes, 23.0, edges, 55.0, epochs, 16, time, 0.6460895538330078
nodes, 23.0, edges, 55.0, epochs, 17, time, 0.6462187767028809
nodes, 23.0, edges, 55.0, epochs, 18, time, 0.6485295295715332
nodes, 23.0, edges, 55.0, epochs, 19, time, 0.652987003326416
nodes, 23.0, edges, 55.0, epochs, 20, time, 0.6475603580474854
nodes, 23.0, edges, 55.0, epochs, 21, time, 0.6475248336791992
nodes, 23.0, edges, 55.0, epochs, 22, time, 0.6894092559814453
nodes, 23.0, edges, 55.0, epochs, 23, time, 0.6510441303253174
nodes, 23.0, edges, 55.0, epochs, 24, time, 0.6511106491088867
nodes, 23.0, edges, 55.0, epochs, 25, time, 0.6531171798706055
nodes, 23.0, edges, 55.0, epochs, 26, time, 0.6580660343170166
nodes, 23.0, edges, 55.0, epochs, 27, time, 0.6623451709747314
nodes, 23.0, edges, 55.0, epochs, 28, time, 0.6592869758605957
nodes, 23.0, edges, 55.0, epochs, 29, time, 37.147048234939575
nodes, 23.0, edges, 53.0, epochs, -1, time, 4.0126142501831055
nodes, 23.0, edges, 53.0, epochs, 0, time, 5.8896238803863525
nodes, 23.0, edges, 53.0, epochs, 1, time, 16.650078535079956
nodes, 23.0, edges, 53.0, epochs, 2, time, 16.249984741210938
nodes, 23.0, edges, 53.0, epochs, 3, time, 16.311795234680176
nodes, 23.0, edges, 53.0, epochs, 4, time, 16.253983974456787
nodes, 23.0, edges, 53.0, epochs, 5, time, 16.266567945480347
nodes, 23.0, edges, 53.0, epochs, 6, time, 16.21102023124695
