nodes, 15.0, edges, 39.0, epochs, -1, time, 58.66422510147095
nodes, 15.0, edges, 39.0, epochs, 0, time, 28.339152574539185
nodes, 15.0, edges, 39.0, epochs, 1, time, 28.41253662109375
nodes, 15.0, edges, 39.0, epochs, 2, time, 29.679661512374878
nodes, 15.0, edges, 39.0, epochs, 3, time, 37.11329650878906
nodes, 15.0, edges, 39.0, epochs, 4, time, 41.96818566322327
nodes, 15.0, edges, 39.0, epochs, 5, time, 41.3615665435791
nodes, 15.0, edges, 39.0, epochs, 6, time, 41.5009651184082
nodes, 15.0, edges, 39.0, epochs, 7, time, 39.74484348297119
nodes, 15.0, edges, 39.0, epochs, 8, time, 41.75422644615173
nodes, 15.0, edges, 39.0, epochs, 9, time, 40.656352519989014
nodes, 15.0, edges, 39.0, epochs, 10, time, 38.65199327468872
nodes, 15.0, edges, 39.0, epochs, 11, time, 40.414589643478394
nodes, 15.0, edges, 39.0, epochs, 12, time, 41.838977098464966
nodes, 15.0, edges, 39.0, epochs, 13, time, 44.20607233047485
nodes, 15.0, edges, 39.0, epochs, 14, time, 42.64524006843567
nodes, 15.0, edges, 39.0, epochs, 15, time, 40.896032094955444
nodes, 15.0, edges, 39.0, epochs, 16, time, 40.20723366737366
nodes, 15.0, edges, 39.0, epochs, 17, time, 40.762134313583374
nodes, 15.0, edges, 39.0, epochs, 18, time, 41.52282166481018
nodes, 15.0, edges, 39.0, epochs, 19, time, 42.123507022857666
