nodes, 15.0, edges, 24.0, epochs, -1, time, 30.514063596725464
nodes, 15.0, edges, 24.0, epochs, 0, time, 35.59011673927307
nodes, 15.0, edges, 24.0, epochs, 1, time, 35.0249924659729
nodes, 15.0, edges, 24.0, epochs, 2, time, 34.30733036994934
nodes, 15.0, edges, 24.0, epochs, 3, time, 35.392433881759644
nodes, 15.0, edges, 24.0, epochs, 4, time, 36.16753578186035
nodes, 15.0, edges, 24.0, epochs, 5, time, 34.758549451828
nodes, 15.0, edges, 24.0, epochs, 6, time, 32.79420042037964
nodes, 15.0, edges, 24.0, epochs, 7, time, 32.49232530593872
nodes, 15.0, edges, 24.0, epochs, 8, time, 32.43252897262573
nodes, 15.0, edges, 24.0, epochs, 9, time, 33.357503175735474
nodes, 15.0, edges, 24.0, epochs, 10, time, 33.42050552368164
nodes, 15.0, edges, 24.0, epochs, 11, time, 32.77173328399658
nodes, 15.0, edges, 24.0, epochs, 12, time, 32.95190405845642
nodes, 15.0, edges, 24.0, epochs, 13, time, 32.864426612854004
nodes, 15.0, edges, 24.0, epochs, 14, time, 32.871498107910156
nodes, 15.0, edges, 24.0, epochs, 15, time, 32.92998456954956
nodes, 15.0, edges, 24.0, epochs, 16, time, 32.83035397529602
nodes, 15.0, edges, 24.0, epochs, 17, time, 33.90149998664856
nodes, 15.0, edges, 24.0, epochs, 18, time, 33.24153709411621
nodes, 15.0, edges, 24.0, epochs, 19, time, 32.847126483917236
nodes, 15.0, edges, 30.0, epochs, -1, time, 98.59343886375427
nodes, 15.0, edges, 30.0, epochs, 0, time, 117.93501234054565
nodes, 15.0, edges, 30.0, epochs, 1, time, 122.18144869804382
nodes, 15.0, edges, 30.0, epochs, 2, time, 117.62708234786987
nodes, 15.0, edges, 30.0, epochs, 3, time, 107.95243549346924
nodes, 15.0, edges, 30.0, epochs, 4, time, 108.76080369949341
nodes, 15.0, edges, 30.0, epochs, 5, time, 102.2159993648529
nodes, 15.0, edges, 30.0, epochs, 6, time, 107.22052311897278
nodes, 15.0, edges, 30.0, epochs, 7, time, 110.82403826713562
nodes, 15.0, edges, 30.0, epochs, 8, time, 106.93631768226624
nodes, 15.0, edges, 30.0, epochs, 9, time, 105.86581587791443
nodes, 15.0, edges, 30.0, epochs, 10, time, 107.85507678985596
nodes, 15.0, edges, 30.0, epochs, 11, time, 102.71394491195679
nodes, 15.0, edges, 30.0, epochs, 12, time, 98.96692967414856
nodes, 15.0, edges, 30.0, epochs, 13, time, 105.73282885551453
nodes, 15.0, edges, 30.0, epochs, 14, time, 104.84583902359009
nodes, 15.0, edges, 30.0, epochs, 15, time, 103.57870960235596
nodes, 15.0, edges, 30.0, epochs, 16, time, 106.42508506774902
nodes, 15.0, edges, 30.0, epochs, 17, time, 102.25349974632263
nodes, 15.0, edges, 30.0, epochs, 18, time, 102.32957935333252
nodes, 15.0, edges, 30.0, epochs, 19, time, 107.77807307243347
nodes, 15.0, edges, 31.0, epochs, -1, time, 56.73361039161682
nodes, 15.0, edges, 31.0, epochs, 0, time, 62.88351011276245
nodes, 15.0, edges, 31.0, epochs, 1, time, 61.618006467819214
nodes, 15.0, edges, 31.0, epochs, 2, time, 60.490952253341675
nodes, 15.0, edges, 31.0, epochs, 3, time, 59.27323937416077
nodes, 15.0, edges, 31.0, epochs, 4, time, 59.180734157562256
nodes, 15.0, edges, 31.0, epochs, 5, time, 59.498826026916504
nodes, 15.0, edges, 31.0, epochs, 6, time, 58.73661518096924
nodes, 15.0, edges, 31.0, epochs, 7, time, 58.9314067363739
nodes, 15.0, edges, 31.0, epochs, 8, time, 58.7051842212677
nodes, 15.0, edges, 31.0, epochs, 9, time, 58.382925510406494
nodes, 15.0, edges, 31.0, epochs, 10, time, 59.02504372596741
nodes, 15.0, edges, 31.0, epochs, 11, time, 59.414668798446655
nodes, 15.0, edges, 31.0, epochs, 12, time, 59.380762577056885
nodes, 15.0, edges, 31.0, epochs, 13, time, 59.39392113685608
nodes, 15.0, edges, 31.0, epochs, 14, time, 58.9030966758728
nodes, 15.0, edges, 31.0, epochs, 15, time, 59.4284245967865
nodes, 15.0, edges, 31.0, epochs, 16, time, 59.364503383636475
nodes, 15.0, edges, 31.0, epochs, 17, time, 59.25928592681885
nodes, 15.0, edges, 31.0, epochs, 18, time, 59.32960295677185
nodes, 15.0, edges, 31.0, epochs, 19, time, 59.389626026153564
nodes, 15.0, edges, 19.0, epochs, -1, time, 27.837107181549072
nodes, 15.0, edges, 19.0, epochs, 0, time, 28.8277428150177
nodes, 15.0, edges, 19.0, epochs, 1, time, 29.53674077987671
nodes, 15.0, edges, 19.0, epochs, 2, time, 28.745030164718628
nodes, 15.0, edges, 19.0, epochs, 3, time, 28.7374050617218
nodes, 15.0, edges, 19.0, epochs, 4, time, 27.25134778022766
nodes, 15.0, edges, 19.0, epochs, 5, time, 26.39599609375
nodes, 15.0, edges, 19.0, epochs, 6, time, 27.47786831855774
nodes, 15.0, edges, 19.0, epochs, 7, time, 26.044867753982544
nodes, 15.0, edges, 19.0, epochs, 8, time, 27.60907292366028
nodes, 15.0, edges, 19.0, epochs, 9, time, 29.847917795181274
nodes, 15.0, edges, 19.0, epochs, 10, time, 28.775901556015015
nodes, 15.0, edges, 19.0, epochs, 11, time, 28.887038707733154
nodes, 15.0, edges, 19.0, epochs, 12, time, 28.88530421257019
nodes, 15.0, edges, 19.0, epochs, 13, time, 29.464107990264893
nodes, 15.0, edges, 19.0, epochs, 14, time, 29.09541916847229
nodes, 15.0, edges, 19.0, epochs, 15, time, 28.131221532821655
nodes, 15.0, edges, 19.0, epochs, 16, time, 29.18331241607666
nodes, 15.0, edges, 19.0, epochs, 17, time, 28.447705030441284
nodes, 15.0, edges, 19.0, epochs, 18, time, 29.091471910476685
nodes, 15.0, edges, 19.0, epochs, 19, time, 27.674731016159058
nodes, 15.0, edges, 41.0, epochs, -1, time, 119.62937879562378
nodes, 15.0, edges, 41.0, epochs, 0, time, 130.32867288589478
nodes, 15.0, edges, 41.0, epochs, 1, time, 128.322016954422
nodes, 15.0, edges, 41.0, epochs, 2, time, 130.63308930397034
nodes, 15.0, edges, 41.0, epochs, 3, time, 128.7338366508484
nodes, 15.0, edges, 41.0, epochs, 4, time, 127.8000602722168
nodes, 15.0, edges, 41.0, epochs, 5, time, 128.8756229877472
nodes, 15.0, edges, 41.0, epochs, 6, time, 127.06323027610779
nodes, 15.0, edges, 41.0, epochs, 7, time, 126.73389959335327
nodes, 15.0, edges, 41.0, epochs, 8, time, 126.0191957950592
nodes, 15.0, edges, 41.0, epochs, 9, time, 126.49718809127808
nodes, 15.0, edges, 41.0, epochs, 10, time, 127.23036456108093
nodes, 15.0, edges, 41.0, epochs, 11, time, 133.97636318206787
nodes, 15.0, edges, 41.0, epochs, 12, time, 132.45371174812317
nodes, 15.0, edges, 41.0, epochs, 13, time, 129.35535764694214
nodes, 15.0, edges, 41.0, epochs, 14, time, 126.62708163261414
nodes, 15.0, edges, 41.0, epochs, 15, time, 126.43335485458374
nodes, 15.0, edges, 41.0, epochs, 16, time, 127.66212105751038
nodes, 15.0, edges, 41.0, epochs, 17, time, 126.17853021621704
nodes, 15.0, edges, 41.0, epochs, 18, time, 129.65915203094482
nodes, 15.0, edges, 41.0, epochs, 19, time, 131.8163721561432
