nodes, 15.0, edges, 39.0, epochs, -1, time, 66.16957259178162
nodes, 15.0, edges, 39.0, epochs, 0, time, 33.971405267715454
nodes, 15.0, edges, 39.0, epochs, 1, time, 45.28794598579407
nodes, 15.0, edges, 39.0, epochs, 2, time, 45.13993954658508
nodes, 15.0, edges, 39.0, epochs, 3, time, 61.04073882102966
nodes, 15.0, edges, 39.0, epochs, 4, time, 71.34388780593872
nodes, 15.0, edges, 39.0, epochs, 5, time, 72.57483315467834
nodes, 15.0, edges, 39.0, epochs, 6, time, 67.80650663375854
nodes, 15.0, edges, 39.0, epochs, 7, time, 72.92731761932373
nodes, 15.0, edges, 39.0, epochs, 8, time, 70.44435811042786
nodes, 15.0, edges, 39.0, epochs, 9, time, 74.64870381355286
nodes, 15.0, edges, 39.0, epochs, 10, time, 68.45721650123596
nodes, 15.0, edges, 39.0, epochs, 11, time, 70.35481023788452
nodes, 15.0, edges, 39.0, epochs, 12, time, 69.76134014129639
nodes, 15.0, edges, 39.0, epochs, 13, time, 71.77674341201782
nodes, 15.0, edges, 39.0, epochs, 14, time, 74.17738318443298
nodes, 15.0, edges, 39.0, epochs, 15, time, 70.06344199180603
nodes, 15.0, edges, 39.0, epochs, 16, time, 69.31586289405823
nodes, 15.0, edges, 39.0, epochs, 17, time, 70.59635138511658
nodes, 15.0, edges, 39.0, epochs, 18, time, 68.93690347671509
nodes, 15.0, edges, 39.0, epochs, 19, time, 71.31157112121582
