nodes, 15.0, edges, 24.0, epochs, -1, time, 128.0002851486206
nodes, 15.0, edges, 24.0, epochs, 0, time, 179.69237399101257
nodes, 15.0, edges, 24.0, epochs, 1, time, 174.629008769989
nodes, 15.0, edges, 24.0, epochs, 2, time, 166.5290172100067
nodes, 15.0, edges, 24.0, epochs, 3, time, 157.34950017929077
nodes, 15.0, edges, 24.0, epochs, 4, time, 160.36526083946228
nodes, 15.0, edges, 24.0, epochs, 5, time, 159.30271244049072
nodes, 15.0, edges, 24.0, epochs, 6, time, 140.96686577796936
nodes, 15.0, edges, 24.0, epochs, 7, time, 137.47150230407715
nodes, 15.0, edges, 24.0, epochs, 8, time, 137.62867259979248
nodes, 15.0, edges, 24.0, epochs, 9, time, 139.47675943374634
nodes, 15.0, edges, 24.0, epochs, 10, time, 138.56005001068115
nodes, 15.0, edges, 24.0, epochs, 11, time, 138.54120135307312
nodes, 15.0, edges, 24.0, epochs, 12, time, 140.82854080200195
nodes, 15.0, edges, 24.0, epochs, 13, time, 142.0861828327179
nodes, 15.0, edges, 24.0, epochs, 14, time, 150.0447416305542
nodes, 15.0, edges, 24.0, epochs, 15, time, 146.93321561813354
nodes, 15.0, edges, 24.0, epochs, 16, time, 139.55862259864807
nodes, 15.0, edges, 24.0, epochs, 17, time, 149.63453221321106
nodes, 15.0, edges, 24.0, epochs, 18, time, 151.90232944488525
nodes, 15.0, edges, 24.0, epochs, 19, time, 197.19969296455383
nodes, 15.0, edges, 30.0, epochs, -1, time, 334.30397057533264
nodes, 15.0, edges, 30.0, epochs, 0, time, 500.8917558193207
nodes, 15.0, edges, 30.0, epochs, 1, time, 504.259868144989
nodes, 15.0, edges, 30.0, epochs, 2, time, 450.4950387477875
nodes, 15.0, edges, 30.0, epochs, 3, time, 369.68734979629517
nodes, 15.0, edges, 30.0, epochs, 4, time, 380.8067510128021
nodes, 15.0, edges, 30.0, epochs, 5, time, 370.67966318130493
nodes, 15.0, edges, 30.0, epochs, 6, time, 398.777188539505
nodes, 15.0, edges, 30.0, epochs, 7, time, 372.1913480758667
nodes, 15.0, edges, 30.0, epochs, 8, time, 377.2212779521942
nodes, 15.0, edges, 30.0, epochs, 9, time, 369.70853543281555
nodes, 15.0, edges, 30.0, epochs, 10, time, 392.6594853401184
nodes, 15.0, edges, 30.0, epochs, 11, time, 363.0422625541687
nodes, 15.0, edges, 30.0, epochs, 12, time, 348.8283700942993
nodes, 15.0, edges, 30.0, epochs, 13, time, 344.66465735435486
