nodes, 20.0, edges, 43.0, epochs, -1, time, 5.71602463722229
nodes, 20.0, edges, 43.0, epochs, 0, time, 8.948820352554321
nodes, 20.0, edges, 43.0, epochs, 1, time, 54.808992862701416
nodes, 20.0, edges, 43.0, epochs, 2, time, 72.52493691444397
nodes, 20.0, edges, 43.0, epochs, 3, time, 73.24519085884094
nodes, 20.0, edges, 43.0, epochs, 4, time, 74.28280639648438
nodes, 20.0, edges, 43.0, epochs, 5, time, 73.83437442779541
nodes, 20.0, edges, 43.0, epochs, 6, time, 66.12473201751709
nodes, 20.0, edges, 43.0, epochs, 7, time, 63.195229291915894
nodes, 20.0, edges, 43.0, epochs, 8, time, 56.849013328552246
nodes, 20.0, edges, 43.0, epochs, 9, time, 61.56489300727844
nodes, 20.0, edges, 43.0, epochs, 10, time, 62.10888075828552
nodes, 20.0, edges, 43.0, epochs, 11, time, 55.90020442008972
nodes, 20.0, edges, 43.0, epochs, 12, time, 58.53267455101013
nodes, 20.0, edges, 43.0, epochs, 13, time, 64.84008646011353
nodes, 20.0, edges, 43.0, epochs, 14, time, 62.14701795578003
nodes, 20.0, edges, 43.0, epochs, 15, time, 62.80280113220215
nodes, 20.0, edges, 43.0, epochs, 16, time, 63.13889837265015
nodes, 20.0, edges, 43.0, epochs, 17, time, 64.16430926322937
nodes, 20.0, edges, 43.0, epochs, 18, time, 63.36499643325806
nodes, 20.0, edges, 43.0, epochs, 19, time, 59.463152170181274
nodes, 20.0, edges, 37.0, epochs, -1, time, 5.124745607376099
nodes, 20.0, edges, 37.0, epochs, 0, time, 6.456627130508423
nodes, 20.0, edges, 37.0, epochs, 1, time, 6.3686137199401855
nodes, 20.0, edges, 37.0, epochs, 2, time, 10.757550954818726
nodes, 20.0, edges, 37.0, epochs, 3, time, 12.285000562667847
nodes, 20.0, edges, 37.0, epochs, 4, time, 10.464746236801147
nodes, 20.0, edges, 37.0, epochs, 5, time, 8.780210971832275
nodes, 20.0, edges, 37.0, epochs, 6, time, 10.061688661575317
nodes, 20.0, edges, 37.0, epochs, 7, time, 7.679535865783691
nodes, 20.0, edges, 37.0, epochs, 8, time, 8.514928340911865
nodes, 20.0, edges, 37.0, epochs, 9, time, 7.837731838226318
nodes, 20.0, edges, 37.0, epochs, 10, time, 9.537906885147095
