nodes, 15.0, edges, 24.0, epochs, -1, time, 34.33700680732727
nodes, 15.0, edges, 24.0, epochs, 0, time, 48.31040716171265
nodes, 15.0, edges, 24.0, epochs, 1, time, 46.92935347557068
nodes, 15.0, edges, 36.0, epochs, -1, time, 91.69386148452759
nodes, 15.0, edges, 36.0, epochs, 0, time, 112.67639183998108
nodes, 15.0, edges, 36.0, epochs, 1, time, 110.89202070236206
nodes, 15.0, edges, 36.0, epochs, 2, time, 105.98727750778198
nodes, 15.0, edges, 36.0, epochs, 3, time, 98.80070996284485
nodes, 15.0, edges, 36.0, epochs, 4, time, 97.82738590240479
nodes, 15.0, edges, 36.0, epochs, 5, time, 97.96560764312744
nodes, 15.0, edges, 36.0, epochs, 6, time, 97.019948720932
nodes, 15.0, edges, 36.0, epochs, 7, time, 97.96319460868835
nodes, 15.0, edges, 36.0, epochs, 8, time, 97.71829199790955
nodes, 15.0, edges, 36.0, epochs, 9, time, 97.42111253738403
nodes, 15.0, edges, 36.0, epochs, 10, time, 97.60551500320435
nodes, 15.0, edges, 36.0, epochs, 11, time, 97.8006362915039
nodes, 15.0, edges, 36.0, epochs, 12, time, 97.23432922363281
nodes, 15.0, edges, 36.0, epochs, 13, time, 98.28387832641602
nodes, 15.0, edges, 36.0, epochs, 14, time, 97.7842469215393
nodes, 15.0, edges, 36.0, epochs, 15, time, 97.50778412818909
nodes, 15.0, edges, 36.0, epochs, 16, time, 97.11999177932739
nodes, 15.0, edges, 36.0, epochs, 17, time, 97.6114547252655
nodes, 15.0, edges, 36.0, epochs, 18, time, 97.2033679485321
nodes, 15.0, edges, 36.0, epochs, 19, time, 97.1051504611969
nodes, 15.0, edges, 27.0, epochs, -1, time, 49.40666079521179
nodes, 15.0, edges, 27.0, epochs, 0, time, 73.57423377037048
nodes, 15.0, edges, 27.0, epochs, 1, time, 81.83264350891113
nodes, 15.0, edges, 27.0, epochs, 2, time, 60.917054414749146
nodes, 15.0, edges, 27.0, epochs, 3, time, 53.82386636734009
nodes, 15.0, edges, 27.0, epochs, 4, time, 52.648911237716675
nodes, 15.0, edges, 27.0, epochs, 5, time, 47.80559802055359
nodes, 15.0, edges, 27.0, epochs, 6, time, 47.66707634925842
nodes, 15.0, edges, 27.0, epochs, 7, time, 47.740007162094116
nodes, 15.0, edges, 27.0, epochs, 8, time, 47.8068687915802
nodes, 15.0, edges, 27.0, epochs, 9, time, 48.086583852767944
nodes, 15.0, edges, 27.0, epochs, 10, time, 47.65800094604492
nodes, 15.0, edges, 27.0, epochs, 11, time, 48.0576548576355
nodes, 15.0, edges, 27.0, epochs, 12, time, 47.708510875701904
nodes, 15.0, edges, 27.0, epochs, 13, time, 47.7449517250061
nodes, 15.0, edges, 27.0, epochs, 14, time, 47.680968284606934
nodes, 15.0, edges, 27.0, epochs, 15, time, 47.78463888168335
nodes, 15.0, edges, 27.0, epochs, 16, time, 47.762643814086914
nodes, 15.0, edges, 27.0, epochs, 17, time, 47.71139717102051
nodes, 15.0, edges, 27.0, epochs, 18, time, 47.80557560920715
nodes, 15.0, edges, 27.0, epochs, 19, time, 47.72579622268677
nodes, 15.0, edges, 29.0, epochs, -1, time, 59.632052421569824
nodes, 15.0, edges, 29.0, epochs, 0, time, 66.47519397735596
nodes, 15.0, edges, 29.0, epochs, 1, time, 66.12379479408264
nodes, 15.0, edges, 29.0, epochs, 2, time, 66.0074610710144
nodes, 15.0, edges, 29.0, epochs, 3, time, 65.99639797210693
nodes, 15.0, edges, 29.0, epochs, 4, time, 65.9393675327301
nodes, 15.0, edges, 29.0, epochs, 5, time, 66.06506371498108
nodes, 15.0, edges, 29.0, epochs, 6, time, 65.97338938713074
nodes, 15.0, edges, 29.0, epochs, 7, time, 66.18554306030273
nodes, 15.0, edges, 29.0, epochs, 8, time, 66.1037335395813
nodes, 15.0, edges, 29.0, epochs, 9, time, 66.50300693511963
nodes, 15.0, edges, 29.0, epochs, 10, time, 66.10779905319214
nodes, 15.0, edges, 29.0, epochs, 11, time, 66.13746500015259
nodes, 15.0, edges, 29.0, epochs, 12, time, 65.99112701416016
nodes, 15.0, edges, 29.0, epochs, 13, time, 65.88967633247375
nodes, 15.0, edges, 29.0, epochs, 14, time, 66.10933208465576
nodes, 15.0, edges, 29.0, epochs, 15, time, 65.9300765991211
nodes, 15.0, edges, 29.0, epochs, 16, time, 65.97088265419006
nodes, 15.0, edges, 29.0, epochs, 17, time, 65.77106213569641
nodes, 15.0, edges, 29.0, epochs, 18, time, 65.32754707336426
nodes, 15.0, edges, 29.0, epochs, 19, time, 64.76253747940063
nodes, 15.0, edges, 30.0, epochs, -1, time, 58.20569610595703
nodes, 15.0, edges, 30.0, epochs, 0, time, 91.0424485206604
nodes, 15.0, edges, 30.0, epochs, 1, time, 89.95221781730652
nodes, 15.0, edges, 30.0, epochs, 2, time, 72.98270344734192
nodes, 15.0, edges, 30.0, epochs, 3, time, 61.41796827316284
nodes, 15.0, edges, 30.0, epochs, 4, time, 61.065542459487915
nodes, 15.0, edges, 30.0, epochs, 5, time, 60.89501404762268
nodes, 15.0, edges, 30.0, epochs, 6, time, 60.986552715301514
nodes, 15.0, edges, 30.0, epochs, 7, time, 60.95480513572693
nodes, 15.0, edges, 30.0, epochs, 8, time, 60.860082387924194
nodes, 15.0, edges, 30.0, epochs, 9, time, 60.87779951095581
nodes, 15.0, edges, 30.0, epochs, 10, time, 60.83235311508179
nodes, 15.0, edges, 30.0, epochs, 11, time, 61.6009738445282
nodes, 15.0, edges, 30.0, epochs, 12, time, 61.0935480594635
nodes, 15.0, edges, 30.0, epochs, 13, time, 61.04276752471924
nodes, 15.0, edges, 30.0, epochs, 14, time, 60.982340812683105
nodes, 15.0, edges, 30.0, epochs, 15, time, 61.09115695953369
nodes, 15.0, edges, 30.0, epochs, 16, time, 61.06839323043823
nodes, 15.0, edges, 30.0, epochs, 17, time, 61.124192237854004
nodes, 15.0, edges, 30.0, epochs, 18, time, 61.05803632736206
nodes, 15.0, edges, 30.0, epochs, 19, time, 61.10380935668945
