nodes, 15.0, edges, 29.0, epochs, -1, time, 34.49971604347229
nodes, 15.0, edges, 29.0, epochs, 0, time, 63.8602876663208
nodes, 15.0, edges, 29.0, epochs, 1, time, 64.1379234790802
nodes, 15.0, edges, 29.0, epochs, 2, time, 64.05114984512329
nodes, 15.0, edges, 29.0, epochs, 3, time, 63.90223407745361
nodes, 15.0, edges, 29.0, epochs, 4, time, 63.85061836242676
nodes, 15.0, edges, 29.0, epochs, 5, time, 64.03451442718506
nodes, 15.0, edges, 29.0, epochs, 6, time, 64.21849942207336
nodes, 15.0, edges, 29.0, epochs, 7, time, 64.10731148719788
nodes, 15.0, edges, 29.0, epochs, 8, time, 63.98808526992798
nodes, 15.0, edges, 29.0, epochs, 9, time, 63.951454401016235
nodes, 15.0, edges, 29.0, epochs, 10, time, 64.32525587081909
nodes, 15.0, edges, 29.0, epochs, 11, time, 64.72082257270813
nodes, 15.0, edges, 29.0, epochs, 12, time, 64.4001145362854
nodes, 15.0, edges, 29.0, epochs, 13, time, 64.33238625526428
nodes, 15.0, edges, 29.0, epochs, 14, time, 63.94263744354248
nodes, 15.0, edges, 29.0, epochs, 15, time, 65.70254039764404
nodes, 15.0, edges, 29.0, epochs, 16, time, 63.88080453872681
nodes, 15.0, edges, 29.0, epochs, 17, time, 63.81286835670471
nodes, 15.0, edges, 29.0, epochs, 18, time, 63.87621068954468
nodes, 15.0, edges, 29.0, epochs, 19, time, 79.73146033287048
nodes, 15.0, edges, 30.0, epochs, -1, time, 10.396051168441772
nodes, 15.0, edges, 30.0, epochs, 0, time, 5.997813940048218
nodes, 15.0, edges, 30.0, epochs, 1, time, 6.440464019775391
nodes, 15.0, edges, 30.0, epochs, 2, time, 9.82558822631836
nodes, 15.0, edges, 30.0, epochs, 3, time, 11.922029256820679
nodes, 15.0, edges, 30.0, epochs, 4, time, 6.684187889099121
nodes, 15.0, edges, 30.0, epochs, 5, time, 4.783992052078247
nodes, 15.0, edges, 30.0, epochs, 6, time, 4.241102457046509
nodes, 15.0, edges, 30.0, epochs, 7, time, 4.896129846572876
nodes, 15.0, edges, 30.0, epochs, 8, time, 7.75104546546936
nodes, 15.0, edges, 30.0, epochs, 9, time, 5.192498683929443
nodes, 15.0, edges, 30.0, epochs, 10, time, 6.726353645324707
nodes, 15.0, edges, 30.0, epochs, 11, time, 6.586672067642212
nodes, 15.0, edges, 30.0, epochs, 12, time, 4.608276605606079
nodes, 15.0, edges, 30.0, epochs, 13, time, 6.250434637069702
nodes, 15.0, edges, 30.0, epochs, 14, time, 6.229556322097778
nodes, 15.0, edges, 30.0, epochs, 15, time, 5.646982908248901
nodes, 15.0, edges, 30.0, epochs, 16, time, 5.35683012008667
nodes, 15.0, edges, 30.0, epochs, 17, time, 5.555501699447632
nodes, 15.0, edges, 30.0, epochs, 18, time, 5.816955089569092
nodes, 15.0, edges, 30.0, epochs, 19, time, 6.904859304428101
nodes, 15.0, edges, 32.0, epochs, -1, time, 12.575281143188477
nodes, 15.0, edges, 32.0, epochs, 0, time, 5.281107425689697
nodes, 15.0, edges, 32.0, epochs, 1, time, 6.754735946655273
nodes, 15.0, edges, 32.0, epochs, 2, time, 5.51625657081604
nodes, 15.0, edges, 32.0, epochs, 3, time, 5.303445816040039
nodes, 15.0, edges, 32.0, epochs, 4, time, 4.646150588989258
nodes, 15.0, edges, 32.0, epochs, 5, time, 4.8827965259552
nodes, 15.0, edges, 32.0, epochs, 6, time, 4.95035719871521
nodes, 15.0, edges, 32.0, epochs, 7, time, 4.770980596542358
nodes, 15.0, edges, 32.0, epochs, 8, time, 4.783617258071899
nodes, 15.0, edges, 32.0, epochs, 9, time, 4.800428867340088
nodes, 15.0, edges, 32.0, epochs, 10, time, 4.768413543701172
nodes, 15.0, edges, 32.0, epochs, 11, time, 4.7060887813568115
nodes, 15.0, edges, 32.0, epochs, 12, time, 4.696171045303345
nodes, 15.0, edges, 32.0, epochs, 13, time, 4.802911043167114
nodes, 15.0, edges, 32.0, epochs, 14, time, 4.633395433425903
nodes, 15.0, edges, 32.0, epochs, 15, time, 4.809654712677002
nodes, 15.0, edges, 32.0, epochs, 16, time, 4.772971868515015
nodes, 15.0, edges, 32.0, epochs, 17, time, 4.65318489074707
nodes, 15.0, edges, 32.0, epochs, 18, time, 4.676220178604126
nodes, 15.0, edges, 32.0, epochs, 19, time, 5.536442518234253
nodes, 15.0, edges, 24.0, epochs, -1, time, 3.9957399368286133
nodes, 15.0, edges, 24.0, epochs, 0, time, 3.541247606277466
nodes, 15.0, edges, 24.0, epochs, 1, time, 3.5448479652404785
nodes, 15.0, edges, 24.0, epochs, 2, time, 5.040769338607788
nodes, 15.0, edges, 24.0, epochs, 3, time, 6.330291986465454
nodes, 15.0, edges, 24.0, epochs, 4, time, 4.7962188720703125
nodes, 15.0, edges, 24.0, epochs, 5, time, 4.176901578903198
nodes, 15.0, edges, 24.0, epochs, 6, time, 3.9998786449432373
nodes, 15.0, edges, 24.0, epochs, 7, time, 4.179334878921509
nodes, 15.0, edges, 24.0, epochs, 8, time, 4.056980133056641
nodes, 15.0, edges, 24.0, epochs, 9, time, 4.091403484344482
nodes, 15.0, edges, 24.0, epochs, 10, time, 3.938394546508789
nodes, 15.0, edges, 24.0, epochs, 11, time, 3.991834878921509
nodes, 15.0, edges, 24.0, epochs, 12, time, 3.973374366760254
nodes, 15.0, edges, 24.0, epochs, 13, time, 4.093825101852417
nodes, 15.0, edges, 24.0, epochs, 14, time, 4.004607200622559
nodes, 15.0, edges, 24.0, epochs, 15, time, 4.043001174926758
nodes, 15.0, edges, 24.0, epochs, 16, time, 3.9785373210906982
nodes, 15.0, edges, 24.0, epochs, 17, time, 4.02623724937439
nodes, 15.0, edges, 24.0, epochs, 18, time, 3.968458890914917
nodes, 15.0, edges, 24.0, epochs, 19, time, 4.7980637550354
