nodes, 15.0, edges, 29.0, epochs, -1, time, 0.15492868423461914
nodes, 15.0, edges, 29.0, epochs, 0, time, 0.19725608825683594
nodes, 15.0, edges, 29.0, epochs, 1, time, 0.43932676315307617
nodes, 15.0, edges, 29.0, epochs, 2, time, 0.3707447052001953
nodes, 15.0, edges, 29.0, epochs, 3, time, 0.3785669803619385
nodes, 15.0, edges, 29.0, epochs, 4, time, 0.38768529891967773
nodes, 15.0, edges, 29.0, epochs, 5, time, 0.36757898330688477
nodes, 15.0, edges, 29.0, epochs, 6, time, 0.3723454475402832
nodes, 15.0, edges, 29.0, epochs, 7, time, 0.3708336353302002
nodes, 15.0, edges, 29.0, epochs, 8, time, 0.42768216133117676
nodes, 15.0, edges, 29.0, epochs, 9, time, 0.4030721187591553
nodes, 15.0, edges, 29.0, epochs, 10, time, 0.3699648380279541
nodes, 15.0, edges, 29.0, epochs, 11, time, 0.38232898712158203
nodes, 15.0, edges, 29.0, epochs, 12, time, 0.3777754306793213
nodes, 15.0, edges, 29.0, epochs, 13, time, 0.3842427730560303
nodes, 15.0, edges, 29.0, epochs, 14, time, 0.3764495849609375
nodes, 15.0, edges, 29.0, epochs, 15, time, 0.37560081481933594
nodes, 15.0, edges, 29.0, epochs, 16, time, 0.37505388259887695
nodes, 15.0, edges, 29.0, epochs, 17, time, 0.3714179992675781
nodes, 15.0, edges, 29.0, epochs, 18, time, 0.3812558650970459
nodes, 15.0, edges, 29.0, epochs, 19, time, 72.9862232208252
