nodes, 15.0, edges, 29.0, epochs, -1, time, 20.5871160030365
nodes, 15.0, edges, 29.0, epochs, 0, time, 41.92078876495361
nodes, 15.0, edges, 29.0, epochs, 1, time, 20.42017912864685
nodes, 15.0, edges, 29.0, epochs, 2, time, 15.094195127487183
nodes, 15.0, edges, 29.0, epochs, 3, time, 17.433859825134277
nodes, 15.0, edges, 29.0, epochs, 4, time, 24.881725311279297
nodes, 15.0, edges, 29.0, epochs, 5, time, 22.936660289764404
nodes, 15.0, edges, 29.0, epochs, 6, time, 21.759372234344482
nodes, 15.0, edges, 29.0, epochs, 7, time, 22.600138425827026
nodes, 15.0, edges, 29.0, epochs, 8, time, 20.230003356933594
nodes, 15.0, edges, 29.0, epochs, 9, time, 18.506263732910156
nodes, 15.0, edges, 29.0, epochs, 10, time, 21.774598121643066
nodes, 15.0, edges, 29.0, epochs, 11, time, 21.64781951904297
nodes, 15.0, edges, 29.0, epochs, 12, time, 25.80924916267395
nodes, 15.0, edges, 29.0, epochs, 13, time, 18.84821343421936
nodes, 15.0, edges, 29.0, epochs, 14, time, 24.557393550872803
nodes, 15.0, edges, 29.0, epochs, 15, time, 22.866896867752075
nodes, 15.0, edges, 29.0, epochs, 16, time, 23.724275588989258
nodes, 15.0, edges, 29.0, epochs, 17, time, 21.146958351135254
nodes, 15.0, edges, 29.0, epochs, 18, time, 23.239198923110962
nodes, 15.0, edges, 29.0, epochs, 19, time, 21.756587505340576
nodes, 15.0, edges, 29.0, epochs, 20, time, 25.919052839279175
nodes, 15.0, edges, 29.0, epochs, 21, time, 21.654996395111084
nodes, 15.0, edges, 29.0, epochs, 22, time, 19.687708139419556
nodes, 15.0, edges, 29.0, epochs, 23, time, 19.4359130859375
nodes, 15.0, edges, 29.0, epochs, 24, time, 25.072578191757202
nodes, 15.0, edges, 29.0, epochs, 25, time, 15.314597845077515
nodes, 15.0, edges, 29.0, epochs, 26, time, 16.51810050010681
nodes, 15.0, edges, 29.0, epochs, 27, time, 15.414624452590942
nodes, 15.0, edges, 29.0, epochs, 28, time, 16.665035724639893
nodes, 15.0, edges, 29.0, epochs, 29, time, 15.791053056716919
nodes, 15.0, edges, 29.0, epochs, 30, time, 16.528623580932617
nodes, 15.0, edges, 29.0, epochs, 31, time, 15.833324909210205
nodes, 15.0, edges, 29.0, epochs, 32, time, 14.361868858337402
nodes, 15.0, edges, 29.0, epochs, 33, time, 18.190080404281616
nodes, 15.0, edges, 29.0, epochs, 34, time, 16.627315998077393
nodes, 15.0, edges, 29.0, epochs, 35, time, 18.782201528549194
nodes, 15.0, edges, 29.0, epochs, 36, time, 21.304746627807617
nodes, 15.0, edges, 29.0, epochs, 37, time, 16.866321563720703
nodes, 15.0, edges, 29.0, epochs, 38, time, 16.379023790359497
nodes, 15.0, edges, 29.0, epochs, 39, time, 16.02465558052063
nodes, 15.0, edges, 29.0, epochs, 40, time, 19.201031923294067
nodes, 15.0, edges, 29.0, epochs, 41, time, 16.557246446609497
nodes, 15.0, edges, 29.0, epochs, 42, time, 16.333396673202515
nodes, 15.0, edges, 29.0, epochs, 43, time, 19.211886405944824
nodes, 15.0, edges, 29.0, epochs, 44, time, 18.203298807144165
nodes, 15.0, edges, 29.0, epochs, 45, time, 15.963582277297974
nodes, 15.0, edges, 29.0, epochs, 46, time, 16.327528476715088
nodes, 15.0, edges, 29.0, epochs, 47, time, 16.919419050216675
nodes, 15.0, edges, 29.0, epochs, 48, time, 17.157764434814453
nodes, 15.0, edges, 29.0, epochs, 49, time, 16.989905834197998
nodes, 15.0, edges, 30.0, epochs, -1, time, 25.860634803771973
nodes, 15.0, edges, 30.0, epochs, 0, time, 14.168195724487305
nodes, 15.0, edges, 30.0, epochs, 1, time, 17.474836826324463
nodes, 15.0, edges, 30.0, epochs, 2, time, 20.8815860748291
nodes, 15.0, edges, 30.0, epochs, 3, time, 33.711615324020386
nodes, 15.0, edges, 30.0, epochs, 4, time, 23.177929162979126
nodes, 15.0, edges, 30.0, epochs, 5, time, 33.19574451446533
nodes, 15.0, edges, 30.0, epochs, 6, time, 28.187580347061157
nodes, 15.0, edges, 30.0, epochs, 7, time, 34.33217430114746
nodes, 15.0, edges, 30.0, epochs, 8, time, 29.29532814025879
nodes, 15.0, edges, 30.0, epochs, 9, time, 26.90412712097168
nodes, 15.0, edges, 30.0, epochs, 10, time, 30.00435709953308
nodes, 15.0, edges, 30.0, epochs, 11, time, 28.99689507484436
nodes, 15.0, edges, 30.0, epochs, 12, time, 27.85047674179077
nodes, 15.0, edges, 30.0, epochs, 13, time, 28.19059705734253
nodes, 15.0, edges, 30.0, epochs, 14, time, 27.60637640953064
nodes, 15.0, edges, 30.0, epochs, 15, time, 30.193755388259888
nodes, 15.0, edges, 30.0, epochs, 16, time, 29.063114404678345
nodes, 15.0, edges, 30.0, epochs, 17, time, 31.158857345581055
nodes, 15.0, edges, 30.0, epochs, 18, time, 27.983691930770874
nodes, 15.0, edges, 30.0, epochs, 19, time, 31.561041116714478
nodes, 15.0, edges, 30.0, epochs, 20, time, 26.43561100959778
nodes, 15.0, edges, 30.0, epochs, 21, time, 29.46077609062195
nodes, 15.0, edges, 30.0, epochs, 22, time, 28.21262216567993
nodes, 15.0, edges, 30.0, epochs, 23, time, 29.6342191696167
nodes, 15.0, edges, 30.0, epochs, 24, time, 33.33238196372986
nodes, 15.0, edges, 30.0, epochs, 25, time, 34.009220361709595
nodes, 15.0, edges, 30.0, epochs, 26, time, 25.5476291179657
nodes, 15.0, edges, 30.0, epochs, 27, time, 33.2276873588562
nodes, 15.0, edges, 30.0, epochs, 28, time, 25.78287672996521
nodes, 15.0, edges, 30.0, epochs, 29, time, 32.50718116760254
nodes, 15.0, edges, 30.0, epochs, 30, time, 26.639334201812744
nodes, 15.0, edges, 30.0, epochs, 31, time, 31.637710571289062
nodes, 15.0, edges, 30.0, epochs, 32, time, 26.629109621047974
nodes, 15.0, edges, 30.0, epochs, 33, time, 34.53503465652466
nodes, 15.0, edges, 30.0, epochs, 34, time, 30.577534198760986
nodes, 15.0, edges, 30.0, epochs, 35, time, 31.361159086227417
nodes, 15.0, edges, 30.0, epochs, 36, time, 30.655192613601685
nodes, 15.0, edges, 30.0, epochs, 37, time, 30.63698124885559
nodes, 15.0, edges, 30.0, epochs, 38, time, 28.741050243377686
nodes, 15.0, edges, 30.0, epochs, 39, time, 31.35217523574829
nodes, 15.0, edges, 30.0, epochs, 40, time, 26.223395347595215
nodes, 15.0, edges, 30.0, epochs, 41, time, 31.151500940322876
nodes, 15.0, edges, 30.0, epochs, 42, time, 38.75157594680786
nodes, 15.0, edges, 30.0, epochs, 43, time, 36.39052104949951
nodes, 15.0, edges, 30.0, epochs, 44, time, 34.59534931182861
nodes, 15.0, edges, 30.0, epochs, 45, time, 30.62773895263672
nodes, 15.0, edges, 30.0, epochs, 46, time, 30.374269723892212
nodes, 15.0, edges, 30.0, epochs, 47, time, 34.990044593811035
nodes, 15.0, edges, 30.0, epochs, 48, time, 35.43500304222107
nodes, 15.0, edges, 30.0, epochs, 49, time, 32.98343205451965
nodes, 15.0, edges, 25.0, epochs, -1, time, 184.54644894599915
nodes, 15.0, edges, 25.0, epochs, 0, time, 80.49665427207947
nodes, 15.0, edges, 25.0, epochs, 1, time, 84.99032425880432
nodes, 15.0, edges, 25.0, epochs, 2, time, 87.187819480896
nodes, 15.0, edges, 25.0, epochs, 3, time, 174.15285992622375
nodes, 15.0, edges, 25.0, epochs, 4, time, 210.90180659294128
nodes, 15.0, edges, 25.0, epochs, 5, time, 200.04796433448792
nodes, 15.0, edges, 25.0, epochs, 6, time, 169.59577322006226
nodes, 15.0, edges, 25.0, epochs, 7, time, 210.46446752548218
nodes, 15.0, edges, 25.0, epochs, 8, time, 192.87122583389282
nodes, 15.0, edges, 25.0, epochs, 9, time, 212.5481939315796
nodes, 15.0, edges, 25.0, epochs, 10, time, 186.09640192985535
nodes, 15.0, edges, 25.0, epochs, 11, time, 171.89105820655823
nodes, 15.0, edges, 25.0, epochs, 12, time, 203.53211736679077
nodes, 15.0, edges, 25.0, epochs, 13, time, 173.93371725082397
nodes, 15.0, edges, 25.0, epochs, 14, time, 183.70253586769104
nodes, 15.0, edges, 25.0, epochs, 15, time, 182.38409638404846
nodes, 15.0, edges, 25.0, epochs, 16, time, 171.1760687828064
nodes, 15.0, edges, 25.0, epochs, 17, time, 182.54654932022095
nodes, 15.0, edges, 25.0, epochs, 18, time, 188.98594546318054
nodes, 15.0, edges, 25.0, epochs, 19, time, 190.69619488716125
nodes, 15.0, edges, 25.0, epochs, 20, time, 176.7998230457306
nodes, 15.0, edges, 25.0, epochs, 21, time, 171.86852431297302
nodes, 15.0, edges, 25.0, epochs, 22, time, 196.30377674102783
nodes, 15.0, edges, 25.0, epochs, 23, time, 184.63499212265015
nodes, 15.0, edges, 25.0, epochs, 24, time, 177.44845342636108
nodes, 15.0, edges, 25.0, epochs, 25, time, 171.56861686706543
nodes, 15.0, edges, 25.0, epochs, 26, time, 180.5898244380951
nodes, 15.0, edges, 25.0, epochs, 27, time, 168.11968159675598
nodes, 15.0, edges, 25.0, epochs, 28, time, 178.60417580604553
nodes, 15.0, edges, 25.0, epochs, 29, time, 185.6389148235321
nodes, 15.0, edges, 25.0, epochs, 30, time, 195.6401629447937
nodes, 15.0, edges, 25.0, epochs, 31, time, 179.49555587768555
nodes, 15.0, edges, 25.0, epochs, 32, time, 192.75773668289185
nodes, 15.0, edges, 25.0, epochs, 33, time, 177.3166856765747
nodes, 15.0, edges, 25.0, epochs, 34, time, 170.19327306747437
nodes, 15.0, edges, 25.0, epochs, 35, time, 177.50443959236145
nodes, 15.0, edges, 25.0, epochs, 36, time, 188.90405082702637
nodes, 15.0, edges, 25.0, epochs, 37, time, 173.67434096336365
nodes, 15.0, edges, 25.0, epochs, 38, time, 194.2121410369873
nodes, 15.0, edges, 25.0, epochs, 39, time, 190.03665328025818
nodes, 15.0, edges, 25.0, epochs, 40, time, 172.41942596435547
nodes, 15.0, edges, 25.0, epochs, 41, time, 176.2606782913208
nodes, 15.0, edges, 25.0, epochs, 42, time, 180.39269542694092
nodes, 15.0, edges, 25.0, epochs, 43, time, 164.11068320274353
nodes, 15.0, edges, 25.0, epochs, 44, time, 178.41811442375183
nodes, 15.0, edges, 25.0, epochs, 45, time, 185.64748978614807
nodes, 15.0, edges, 25.0, epochs, 46, time, 187.52961492538452
nodes, 15.0, edges, 25.0, epochs, 47, time, 168.63821744918823
nodes, 15.0, edges, 25.0, epochs, 48, time, 175.70283198356628
nodes, 15.0, edges, 25.0, epochs, 49, time, 171.5115988254547
nodes, 15.0, edges, 22.0, epochs, -1, time, 4.00395393371582
nodes, 15.0, edges, 22.0, epochs, 0, time, 50.55383563041687
nodes, 15.0, edges, 22.0, epochs, 1, time, 18.74457287788391
nodes, 15.0, edges, 22.0, epochs, 2, time, 6.57379937171936
nodes, 15.0, edges, 22.0, epochs, 3, time, 4.497901439666748
nodes, 15.0, edges, 22.0, epochs, 4, time, 4.549596548080444
nodes, 15.0, edges, 30.0, epochs, -1, time, 4.237265110015869
nodes, 15.0, edges, 30.0, epochs, 0, time, 5.33809232711792
nodes, 15.0, edges, 30.0, epochs, 1, time, 5.479174613952637
nodes, 15.0, edges, 30.0, epochs, 2, time, 5.045217037200928
nodes, 15.0, edges, 30.0, epochs, 3, time, 5.071017026901245
nodes, 15.0, edges, 30.0, epochs, 4, time, 4.950226545333862
