nodes, 20.0, edges, 43.0, epochs, -1, time, 224.67742681503296
nodes, 20.0, edges, 43.0, epochs, 0, time, 240.48201727867126
nodes, 20.0, edges, 43.0, epochs, 1, time, 243.846209526062
nodes, 20.0, edges, 43.0, epochs, 2, time, 239.12897300720215
nodes, 20.0, edges, 43.0, epochs, 3, time, 235.26757836341858
nodes, 20.0, edges, 43.0, epochs, 4, time, 263.83582520484924
nodes, 20.0, edges, 43.0, epochs, 5, time, 226.62717938423157
nodes, 20.0, edges, 43.0, epochs, 6, time, 263.43912148475647
nodes, 20.0, edges, 43.0, epochs, 7, time, 257.81616592407227
nodes, 20.0, edges, 43.0, epochs, 8, time, 283.44096183776855
nodes, 20.0, edges, 43.0, epochs, 9, time, 268.5346739292145
nodes, 20.0, edges, 43.0, epochs, 10, time, 274.7129805088043
nodes, 20.0, edges, 43.0, epochs, 11, time, 269.5140516757965
nodes, 20.0, edges, 43.0, epochs, 12, time, 273.50840044021606
nodes, 20.0, edges, 43.0, epochs, 13, time, 272.6494381427765
nodes, 20.0, edges, 43.0, epochs, 14, time, 267.58114099502563
nodes, 20.0, edges, 43.0, epochs, 15, time, 241.09252858161926
nodes, 20.0, edges, 43.0, epochs, 16, time, 246.06044912338257
nodes, 20.0, edges, 43.0, epochs, 17, time, 241.27975916862488
nodes, 20.0, edges, 43.0, epochs, 18, time, 242.39631032943726
nodes, 20.0, edges, 43.0, epochs, 19, time, 242.0243158340454
nodes, 20.0, edges, 37.0, epochs, -1, time, 142.03888154029846
nodes, 20.0, edges, 37.0, epochs, 0, time, 160.55024433135986
nodes, 20.0, edges, 37.0, epochs, 1, time, 152.31082725524902
nodes, 20.0, edges, 37.0, epochs, 2, time, 154.82072567939758
nodes, 20.0, edges, 37.0, epochs, 3, time, 163.18440580368042
nodes, 20.0, edges, 37.0, epochs, 4, time, 158.93786144256592
nodes, 20.0, edges, 37.0, epochs, 5, time, 165.02275729179382
nodes, 20.0, edges, 37.0, epochs, 6, time, 152.42574501037598
nodes, 20.0, edges, 37.0, epochs, 7, time, 146.74847888946533
nodes, 20.0, edges, 37.0, epochs, 8, time, 157.27639055252075
nodes, 20.0, edges, 37.0, epochs, 9, time, 164.78461837768555
nodes, 20.0, edges, 37.0, epochs, 10, time, 170.15964698791504
nodes, 20.0, edges, 37.0, epochs, 11, time, 172.7091269493103
nodes, 20.0, edges, 37.0, epochs, 12, time, 163.87780499458313
nodes, 20.0, edges, 37.0, epochs, 13, time, 160.8823583126068
nodes, 20.0, edges, 37.0, epochs, 14, time, 170.47201943397522
nodes, 20.0, edges, 37.0, epochs, 15, time, 166.80020093917847
nodes, 20.0, edges, 37.0, epochs, 16, time, 164.69494938850403
nodes, 20.0, edges, 37.0, epochs, 17, time, 171.4097135066986
nodes, 20.0, edges, 37.0, epochs, 18, time, 168.73947429656982
nodes, 20.0, edges, 37.0, epochs, 19, time, 168.54419422149658
