nodes, 20.0, edges, 43.0, epochs, -1, time, 194.60650825500488
nodes, 20.0, edges, 43.0, epochs, 0, time, 218.30936551094055
nodes, 20.0, edges, 43.0, epochs, 1, time, 217.97157311439514
nodes, 20.0, edges, 43.0, epochs, 2, time, 215.32008242607117
nodes, 20.0, edges, 43.0, epochs, 3, time, 199.66590642929077
nodes, 20.0, edges, 43.0, epochs, 4, time, 189.12411952018738
nodes, 20.0, edges, 43.0, epochs, 5, time, 188.23809552192688
nodes, 20.0, edges, 43.0, epochs, 6, time, 188.59320974349976
nodes, 20.0, edges, 43.0, epochs, 7, time, 188.4855194091797
nodes, 20.0, edges, 43.0, epochs, 8, time, 193.202290058136
nodes, 20.0, edges, 43.0, epochs, 9, time, 187.92948985099792
nodes, 20.0, edges, 43.0, epochs, 10, time, 188.41643714904785
nodes, 20.0, edges, 43.0, epochs, 11, time, 190.45709824562073
nodes, 20.0, edges, 43.0, epochs, 12, time, 196.70954489707947
nodes, 20.0, edges, 43.0, epochs, 13, time, 196.4138901233673
nodes, 20.0, edges, 43.0, epochs, 14, time, 199.02888536453247
nodes, 20.0, edges, 43.0, epochs, 15, time, 199.14194250106812
nodes, 20.0, edges, 43.0, epochs, 16, time, 198.05085587501526
nodes, 20.0, edges, 43.0, epochs, 17, time, 198.39106369018555
nodes, 20.0, edges, 43.0, epochs, 18, time, 198.68995714187622
nodes, 20.0, edges, 43.0, epochs, 19, time, 198.4632532596588
nodes, 20.0, edges, 37.0, epochs, -1, time, 136.3054313659668
nodes, 20.0, edges, 37.0, epochs, 0, time, 151.66458439826965
nodes, 20.0, edges, 37.0, epochs, 1, time, 153.62551856040955
nodes, 20.0, edges, 37.0, epochs, 2, time, 151.81441640853882
nodes, 20.0, edges, 37.0, epochs, 3, time, 155.2127809524536
nodes, 20.0, edges, 37.0, epochs, 4, time, 149.42619252204895
nodes, 20.0, edges, 37.0, epochs, 5, time, 146.56749153137207
nodes, 20.0, edges, 37.0, epochs, 6, time, 146.15192556381226
