nodes, 20.0, edges, 43.0, epochs, -1, time, 199.79570150375366
nodes, 20.0, edges, 43.0, epochs, 0, time, 223.7017731666565
nodes, 20.0, edges, 43.0, epochs, 1, time, 224.66294312477112
nodes, 20.0, edges, 43.0, epochs, 2, time, 221.0515751838684
nodes, 20.0, edges, 43.0, epochs, 3, time, 224.31390833854675
nodes, 20.0, edges, 43.0, epochs, 4, time, 221.09430408477783
nodes, 20.0, edges, 43.0, epochs, 5, time, 210.73259472846985
nodes, 20.0, edges, 43.0, epochs, 6, time, 203.9112114906311
nodes, 20.0, edges, 43.0, epochs, 7, time, 203.99281477928162
nodes, 20.0, edges, 43.0, epochs, 8, time, 203.3044879436493
nodes, 20.0, edges, 43.0, epochs, 9, time, 204.5075421333313
nodes, 20.0, edges, 43.0, epochs, 10, time, 203.13193798065186
nodes, 20.0, edges, 43.0, epochs, 11, time, 202.47570943832397
nodes, 20.0, edges, 43.0, epochs, 12, time, 203.91569876670837
nodes, 20.0, edges, 43.0, epochs, 13, time, 203.37641096115112
nodes, 20.0, edges, 43.0, epochs, 14, time, 203.38911724090576
nodes, 20.0, edges, 43.0, epochs, 15, time, 204.4176025390625
nodes, 20.0, edges, 43.0, epochs, 16, time, 203.93973326683044
nodes, 20.0, edges, 43.0, epochs, 17, time, 204.1573131084442
nodes, 20.0, edges, 43.0, epochs, 18, time, 205.00927186012268
nodes, 20.0, edges, 43.0, epochs, 19, time, 205.4492371082306
nodes, 20.0, edges, 37.0, epochs, -1, time, 132.44963955879211
nodes, 20.0, edges, 37.0, epochs, 0, time, 147.76368618011475
nodes, 20.0, edges, 37.0, epochs, 1, time, 149.122332572937
nodes, 20.0, edges, 37.0, epochs, 2, time, 149.3254518508911
nodes, 20.0, edges, 37.0, epochs, 3, time, 158.26090574264526
nodes, 20.0, edges, 37.0, epochs, 4, time, 149.61685371398926
nodes, 20.0, edges, 37.0, epochs, 5, time, 142.58419251441956
nodes, 20.0, edges, 37.0, epochs, 6, time, 142.0110514163971
nodes, 20.0, edges, 37.0, epochs, 7, time, 145.63233494758606
nodes, 20.0, edges, 37.0, epochs, 8, time, 142.7143211364746
nodes, 20.0, edges, 37.0, epochs, 9, time, 141.10670828819275
nodes, 20.0, edges, 37.0, epochs, 10, time, 139.73151183128357
nodes, 20.0, edges, 37.0, epochs, 11, time, 140.5727994441986
nodes, 20.0, edges, 37.0, epochs, 12, time, 140.32908630371094
nodes, 20.0, edges, 37.0, epochs, 13, time, 142.8828420639038
nodes, 20.0, edges, 37.0, epochs, 14, time, 143.04881381988525
nodes, 20.0, edges, 37.0, epochs, 15, time, 144.51936435699463
nodes, 20.0, edges, 37.0, epochs, 16, time, 144.54962253570557
nodes, 20.0, edges, 37.0, epochs, 17, time, 148.90693998336792
nodes, 20.0, edges, 37.0, epochs, 18, time, 147.8752830028534
nodes, 20.0, edges, 37.0, epochs, 19, time, 146.82293105125427
