nodes, 15.0, edges, 31.0, epochs, -1, time, 12.254076480865479
nodes, 15.0, edges, 31.0, epochs, 0, time, 8.365779638290405
nodes, 15.0, edges, 31.0, epochs, 1, time, 8.798555374145508
nodes, 15.0, edges, 31.0, epochs, 2, time, 9.274656295776367
nodes, 15.0, edges, 31.0, epochs, 3, time, 10.20681118965149
nodes, 15.0, edges, 31.0, epochs, 4, time, 20.023178100585938
nodes, 15.0, edges, 31.0, epochs, 5, time, 23.291923999786377
nodes, 15.0, edges, 31.0, epochs, 6, time, 14.924752235412598
nodes, 15.0, edges, 31.0, epochs, 7, time, 14.680473566055298
nodes, 15.0, edges, 31.0, epochs, 8, time, 15.178270101547241
nodes, 15.0, edges, 31.0, epochs, 9, time, 14.255345582962036
nodes, 15.0, edges, 31.0, epochs, 10, time, 14.055477619171143
nodes, 15.0, edges, 31.0, epochs, 11, time, 15.2455735206604
nodes, 15.0, edges, 31.0, epochs, 12, time, 13.623775959014893
nodes, 15.0, edges, 31.0, epochs, 13, time, 13.578984022140503
nodes, 15.0, edges, 31.0, epochs, 14, time, 13.18740701675415
nodes, 15.0, edges, 31.0, epochs, 15, time, 12.333701610565186
nodes, 15.0, edges, 31.0, epochs, 16, time, 12.479111194610596
nodes, 15.0, edges, 31.0, epochs, 17, time, 12.560413360595703
nodes, 15.0, edges, 31.0, epochs, 18, time, 13.659459114074707
nodes, 15.0, edges, 31.0, epochs, 19, time, 13.653546571731567
nodes, 15.0, edges, 19.0, epochs, -1, time, 31.880889654159546
nodes, 15.0, edges, 19.0, epochs, 0, time, 77.16399836540222
nodes, 15.0, edges, 19.0, epochs, 1, time, 77.69838118553162
nodes, 15.0, edges, 19.0, epochs, 2, time, 77.89170956611633
nodes, 15.0, edges, 19.0, epochs, 3, time, 77.89856004714966
nodes, 15.0, edges, 19.0, epochs, 4, time, 77.76030468940735
nodes, 15.0, edges, 19.0, epochs, 5, time, 78.00610685348511
nodes, 15.0, edges, 19.0, epochs, 6, time, 77.65827298164368
nodes, 15.0, edges, 19.0, epochs, 7, time, 77.79706525802612
nodes, 15.0, edges, 19.0, epochs, 8, time, 77.64391160011292
nodes, 15.0, edges, 19.0, epochs, 9, time, 78.23427605628967
nodes, 15.0, edges, 19.0, epochs, 10, time, 77.91414022445679
nodes, 15.0, edges, 19.0, epochs, 11, time, 77.69241523742676
nodes, 15.0, edges, 19.0, epochs, 12, time, 77.90051794052124
nodes, 15.0, edges, 19.0, epochs, 13, time, 77.64483451843262
nodes, 15.0, edges, 19.0, epochs, 14, time, 77.72268509864807
nodes, 15.0, edges, 19.0, epochs, 15, time, 77.61573791503906
nodes, 15.0, edges, 19.0, epochs, 16, time, 77.8172516822815
nodes, 15.0, edges, 19.0, epochs, 17, time, 78.09859609603882
nodes, 15.0, edges, 19.0, epochs, 18, time, 77.60038352012634
nodes, 15.0, edges, 19.0, epochs, 19, time, 77.68005275726318
nodes, 15.0, edges, 41.0, epochs, -1, time, 22.195988655090332
nodes, 15.0, edges, 41.0, epochs, 0, time, 15.302241802215576
nodes, 15.0, edges, 41.0, epochs, 1, time, 15.94385290145874
nodes, 15.0, edges, 41.0, epochs, 2, time, 15.861157178878784
nodes, 15.0, edges, 41.0, epochs, 3, time, 16.219944953918457
nodes, 15.0, edges, 41.0, epochs, 4, time, 15.609210014343262
nodes, 15.0, edges, 41.0, epochs, 5, time, 16.118415594100952
nodes, 15.0, edges, 41.0, epochs, 6, time, 15.792440414428711
nodes, 15.0, edges, 41.0, epochs, 7, time, 15.840988636016846
nodes, 15.0, edges, 41.0, epochs, 8, time, 15.77516794204712
nodes, 15.0, edges, 41.0, epochs, 9, time, 15.847913026809692
nodes, 15.0, edges, 41.0, epochs, 10, time, 15.767227411270142
nodes, 15.0, edges, 41.0, epochs, 11, time, 15.748724460601807
nodes, 15.0, edges, 41.0, epochs, 12, time, 15.955491542816162
nodes, 15.0, edges, 41.0, epochs, 13, time, 15.90972352027893
nodes, 15.0, edges, 41.0, epochs, 14, time, 15.379780769348145
nodes, 15.0, edges, 41.0, epochs, 15, time, 16.161768198013306
nodes, 15.0, edges, 41.0, epochs, 16, time, 15.821637630462646
nodes, 15.0, edges, 41.0, epochs, 17, time, 15.813094139099121
nodes, 15.0, edges, 41.0, epochs, 18, time, 15.645409107208252
nodes, 15.0, edges, 41.0, epochs, 19, time, 15.90439772605896
