nodes, 15.0, edges, 24.0, epochs, -1, time, 0.8320670127868652
nodes, 15.0, edges, 24.0, epochs, 0, time, 1.127023696899414
nodes, 15.0, edges, 24.0, epochs, 1, time, 3.182097911834717
nodes, 15.0, edges, 24.0, epochs, 2, time, 3.1366684436798096
nodes, 15.0, edges, 24.0, epochs, 3, time, 3.2321603298187256
nodes, 15.0, edges, 24.0, epochs, 4, time, 3.073878765106201
nodes, 15.0, edges, 24.0, epochs, 5, time, 3.146270751953125
nodes, 15.0, edges, 24.0, epochs, 6, time, 3.3612818717956543
nodes, 15.0, edges, 24.0, epochs, 7, time, 3.098292589187622
nodes, 15.0, edges, 24.0, epochs, 8, time, 3.1465072631835938
nodes, 15.0, edges, 24.0, epochs, 9, time, 3.2288737297058105
nodes, 15.0, edges, 24.0, epochs, 10, time, 3.2118260860443115
nodes, 15.0, edges, 24.0, epochs, 11, time, 3.185445785522461
nodes, 15.0, edges, 24.0, epochs, 12, time, 3.191110134124756
nodes, 15.0, edges, 24.0, epochs, 13, time, 3.1562743186950684
nodes, 15.0, edges, 24.0, epochs, 14, time, 3.196265697479248
nodes, 15.0, edges, 24.0, epochs, 15, time, 3.2892720699310303
nodes, 15.0, edges, 24.0, epochs, 16, time, 3.1177597045898438
nodes, 15.0, edges, 24.0, epochs, 17, time, 3.1626358032226562
nodes, 15.0, edges, 24.0, epochs, 18, time, 3.270920515060425
nodes, 15.0, edges, 24.0, epochs, 19, time, 3.224241256713867
nodes, 15.0, edges, 24.0, epochs, 20, time, 3.212177276611328
nodes, 15.0, edges, 24.0, epochs, 21, time, 3.236414909362793
nodes, 15.0, edges, 24.0, epochs, 22, time, 3.2706360816955566
nodes, 15.0, edges, 24.0, epochs, 23, time, 3.1363637447357178
nodes, 15.0, edges, 24.0, epochs, 24, time, 3.3068695068359375
nodes, 15.0, edges, 24.0, epochs, 25, time, 19.708898544311523
nodes, 15.0, edges, 24.0, epochs, 26, time, 18.48200249671936
nodes, 15.0, edges, 24.0, epochs, 27, time, 17.37538504600525
nodes, 15.0, edges, 24.0, epochs, 28, time, 16.908012866973877
nodes, 15.0, edges, 24.0, epochs, 29, time, 18.55246114730835
nodes, 15.0, edges, 36.0, epochs, -1, time, 0.8163449764251709
nodes, 15.0, edges, 36.0, epochs, 0, time, 1.1314725875854492
nodes, 15.0, edges, 36.0, epochs, 1, time, 3.3343002796173096
nodes, 15.0, edges, 36.0, epochs, 2, time, 3.1694962978363037
nodes, 15.0, edges, 36.0, epochs, 3, time, 3.161778211593628
nodes, 15.0, edges, 36.0, epochs, 4, time, 3.19633150100708
nodes, 15.0, edges, 36.0, epochs, 5, time, 3.173236846923828
nodes, 15.0, edges, 36.0, epochs, 6, time, 3.1650164127349854
nodes, 15.0, edges, 36.0, epochs, 7, time, 3.2454991340637207
nodes, 15.0, edges, 36.0, epochs, 8, time, 2.853076219558716
nodes, 15.0, edges, 36.0, epochs, 9, time, 2.480231761932373
nodes, 15.0, edges, 36.0, epochs, 10, time, 2.489722490310669
nodes, 15.0, edges, 36.0, epochs, 11, time, 2.447934150695801
nodes, 15.0, edges, 36.0, epochs, 12, time, 2.444263219833374
nodes, 15.0, edges, 36.0, epochs, 13, time, 2.4338629245758057
nodes, 15.0, edges, 36.0, epochs, 14, time, 2.4273924827575684
