nodes, 20.0, edges, 32.0, epochs, -1, time, 39.03235149383545
nodes, 20.0, edges, 32.0, epochs, 0, time, 42.15553593635559
nodes, 20.0, edges, 32.0, epochs, 1, time, 43.497963428497314
nodes, 20.0, edges, 32.0, epochs, 2, time, 44.67167520523071
nodes, 20.0, edges, 32.0, epochs, 3, time, 43.15812683105469
nodes, 20.0, edges, 32.0, epochs, 4, time, 41.78321933746338
nodes, 20.0, edges, 32.0, epochs, 5, time, 40.56932520866394
nodes, 20.0, edges, 32.0, epochs, 6, time, 41.16388273239136
nodes, 20.0, edges, 32.0, epochs, 7, time, 41.08734583854675
nodes, 20.0, edges, 32.0, epochs, 8, time, 41.6114239692688
nodes, 20.0, edges, 32.0, epochs, 9, time, 41.75699710845947
nodes, 20.0, edges, 32.0, epochs, 10, time, 41.837979793548584
nodes, 20.0, edges, 32.0, epochs, 11, time, 44.62258553504944
nodes, 20.0, edges, 32.0, epochs, 12, time, 44.63099002838135
nodes, 20.0, edges, 32.0, epochs, 13, time, 47.597158432006836
nodes, 20.0, edges, 32.0, epochs, 14, time, 42.201805114746094
nodes, 20.0, edges, 32.0, epochs, 15, time, 42.064271688461304
nodes, 20.0, edges, 32.0, epochs, 16, time, 42.00542116165161
nodes, 20.0, edges, 32.0, epochs, 17, time, 42.31330847740173
nodes, 20.0, edges, 32.0, epochs, 18, time, 42.68665838241577
nodes, 20.0, edges, 32.0, epochs, 19, time, 41.998355865478516
nodes, 20.0, edges, 32.0, epochs, 20, time, 42.36538314819336
nodes, 20.0, edges, 32.0, epochs, 21, time, 42.247960567474365
nodes, 20.0, edges, 32.0, epochs, 22, time, 42.55052042007446
nodes, 20.0, edges, 32.0, epochs, 23, time, 41.91139459609985
nodes, 20.0, edges, 32.0, epochs, 24, time, 44.0378303527832
nodes, 20.0, edges, 32.0, epochs, 25, time, 43.207281827926636
nodes, 20.0, edges, 32.0, epochs, 26, time, 43.47775077819824
nodes, 20.0, edges, 32.0, epochs, 27, time, 44.30253267288208
nodes, 20.0, edges, 32.0, epochs, 28, time, 44.1883430480957
nodes, 20.0, edges, 32.0, epochs, 29, time, 44.700838804244995
nodes, 20.0, edges, 39.0, epochs, -1, time, 52.740304708480835
nodes, 20.0, edges, 39.0, epochs, 0, time, 59.015015840530396
nodes, 20.0, edges, 39.0, epochs, 1, time, 58.7669038772583
nodes, 20.0, edges, 39.0, epochs, 2, time, 59.4091534614563
nodes, 20.0, edges, 39.0, epochs, 3, time, 59.80206561088562
nodes, 20.0, edges, 39.0, epochs, 4, time, 58.52850031852722
nodes, 20.0, edges, 39.0, epochs, 5, time, 58.525958776474
nodes, 20.0, edges, 39.0, epochs, 6, time, 58.51084661483765
nodes, 20.0, edges, 39.0, epochs, 7, time, 58.52192401885986
nodes, 20.0, edges, 39.0, epochs, 8, time, 58.68379044532776
nodes, 20.0, edges, 39.0, epochs, 9, time, 59.463871002197266
nodes, 20.0, edges, 39.0, epochs, 10, time, 57.544408082962036
nodes, 20.0, edges, 39.0, epochs, 11, time, 57.37552499771118
nodes, 20.0, edges, 39.0, epochs, 12, time, 58.145288705825806
nodes, 20.0, edges, 39.0, epochs, 13, time, 57.148261308670044
nodes, 20.0, edges, 39.0, epochs, 14, time, 57.428250551223755
nodes, 20.0, edges, 39.0, epochs, 15, time, 57.069321155548096
nodes, 20.0, edges, 39.0, epochs, 16, time, 58.76351475715637
nodes, 20.0, edges, 39.0, epochs, 17, time, 57.336681604385376
nodes, 20.0, edges, 39.0, epochs, 18, time, 57.42377781867981
nodes, 20.0, edges, 39.0, epochs, 19, time, 57.21451997756958
nodes, 20.0, edges, 39.0, epochs, 20, time, 57.25757622718811
nodes, 20.0, edges, 39.0, epochs, 21, time, 58.30458307266235
nodes, 20.0, edges, 39.0, epochs, 22, time, 57.972856521606445
nodes, 20.0, edges, 39.0, epochs, 23, time, 57.546298027038574
nodes, 20.0, edges, 39.0, epochs, 24, time, 57.54372310638428
nodes, 20.0, edges, 39.0, epochs, 25, time, 58.13446354866028
nodes, 20.0, edges, 39.0, epochs, 26, time, 58.61766743659973
nodes, 20.0, edges, 39.0, epochs, 27, time, 58.00598335266113
nodes, 20.0, edges, 39.0, epochs, 28, time, 58.18117690086365
nodes, 20.0, edges, 39.0, epochs, 29, time, 58.42841100692749
nodes, 20.0, edges, 33.0, epochs, -1, time, 36.29933476448059
nodes, 20.0, edges, 33.0, epochs, 0, time, 38.468496799468994
nodes, 20.0, edges, 33.0, epochs, 1, time, 40.36823272705078
nodes, 20.0, edges, 33.0, epochs, 2, time, 42.24721837043762
nodes, 20.0, edges, 33.0, epochs, 3, time, 42.17092251777649
nodes, 20.0, edges, 33.0, epochs, 4, time, 41.67757558822632
nodes, 20.0, edges, 33.0, epochs, 5, time, 41.539592027664185
nodes, 20.0, edges, 33.0, epochs, 6, time, 41.060166358947754
nodes, 20.0, edges, 33.0, epochs, 7, time, 41.02594518661499
nodes, 20.0, edges, 33.0, epochs, 8, time, 40.6009156703949
nodes, 20.0, edges, 33.0, epochs, 9, time, 40.54595375061035
nodes, 20.0, edges, 33.0, epochs, 10, time, 38.92040967941284
nodes, 20.0, edges, 33.0, epochs, 11, time, 39.64465808868408
nodes, 20.0, edges, 33.0, epochs, 12, time, 38.69161415100098
nodes, 20.0, edges, 33.0, epochs, 13, time, 39.116652488708496
nodes, 20.0, edges, 33.0, epochs, 14, time, 39.33247971534729
nodes, 20.0, edges, 33.0, epochs, 15, time, 39.39884328842163
nodes, 20.0, edges, 33.0, epochs, 16, time, 38.38796806335449
nodes, 20.0, edges, 33.0, epochs, 17, time, 39.206236124038696
nodes, 20.0, edges, 33.0, epochs, 18, time, 39.06604623794556
nodes, 20.0, edges, 33.0, epochs, 19, time, 39.059813261032104
nodes, 20.0, edges, 33.0, epochs, 20, time, 39.72725963592529
nodes, 20.0, edges, 33.0, epochs, 21, time, 39.055721044540405
nodes, 20.0, edges, 33.0, epochs, 22, time, 38.32580518722534
nodes, 20.0, edges, 33.0, epochs, 23, time, 38.87926983833313
nodes, 20.0, edges, 33.0, epochs, 24, time, 38.459561824798584
nodes, 20.0, edges, 33.0, epochs, 25, time, 38.758748054504395
nodes, 20.0, edges, 33.0, epochs, 26, time, 39.20989942550659
nodes, 20.0, edges, 33.0, epochs, 27, time, 38.93534541130066
nodes, 20.0, edges, 33.0, epochs, 28, time, 38.866230726242065
nodes, 20.0, edges, 33.0, epochs, 29, time, 39.23727083206177
nodes, 20.0, edges, 37.0, epochs, -1, time, 48.1578574180603
nodes, 20.0, edges, 37.0, epochs, 0, time, 55.12213945388794
nodes, 20.0, edges, 37.0, epochs, 1, time, 55.50151515007019
nodes, 20.0, edges, 37.0, epochs, 2, time, 54.39885687828064
nodes, 20.0, edges, 37.0, epochs, 3, time, 57.2450966835022
nodes, 20.0, edges, 37.0, epochs, 4, time, 56.75048518180847
nodes, 20.0, edges, 37.0, epochs, 5, time, 55.36483073234558
nodes, 20.0, edges, 37.0, epochs, 6, time, 52.81736445426941
nodes, 20.0, edges, 37.0, epochs, 7, time, 52.974671602249146
nodes, 20.0, edges, 37.0, epochs, 8, time, 51.98478841781616
nodes, 20.0, edges, 37.0, epochs, 9, time, 51.34269690513611
nodes, 20.0, edges, 37.0, epochs, 10, time, 51.44764184951782
nodes, 20.0, edges, 37.0, epochs, 11, time, 51.802443742752075
nodes, 20.0, edges, 37.0, epochs, 12, time, 52.11597299575806
nodes, 20.0, edges, 37.0, epochs, 13, time, 51.51466727256775
nodes, 20.0, edges, 37.0, epochs, 14, time, 51.574177980422974
nodes, 20.0, edges, 37.0, epochs, 15, time, 51.70330023765564
nodes, 20.0, edges, 37.0, epochs, 16, time, 51.89882683753967
nodes, 20.0, edges, 37.0, epochs, 17, time, 51.800458908081055
nodes, 20.0, edges, 37.0, epochs, 18, time, 51.76209235191345
nodes, 20.0, edges, 37.0, epochs, 19, time, 51.66254997253418
nodes, 20.0, edges, 37.0, epochs, 20, time, 51.579185485839844
nodes, 20.0, edges, 37.0, epochs, 21, time, 52.21353554725647
nodes, 20.0, edges, 37.0, epochs, 22, time, 52.221303939819336
nodes, 20.0, edges, 37.0, epochs, 23, time, 52.186134576797485
nodes, 20.0, edges, 37.0, epochs, 24, time, 51.68721675872803
nodes, 20.0, edges, 37.0, epochs, 25, time, 52.02496814727783
nodes, 20.0, edges, 37.0, epochs, 26, time, 52.01226210594177
nodes, 20.0, edges, 37.0, epochs, 27, time, 52.460923194885254
nodes, 20.0, edges, 37.0, epochs, 28, time, 52.23106336593628
nodes, 20.0, edges, 37.0, epochs, 29, time, 51.98048686981201
