nodes, 15.0, edges, 28.0, epochs, -1, time, 22.356207132339478
nodes, 15.0, edges, 28.0, epochs, 0, time, 26.011275053024292
nodes, 15.0, edges, 28.0, epochs, 1, time, 29.03557014465332
nodes, 15.0, edges, 28.0, epochs, 2, time, 29.038623571395874
nodes, 15.0, edges, 28.0, epochs, 3, time, 32.81714177131653
nodes, 15.0, edges, 28.0, epochs, 4, time, 30.332767009735107
nodes, 15.0, edges, 28.0, epochs, 5, time, 30.975814819335938
nodes, 15.0, edges, 28.0, epochs, 6, time, 31.445948600769043
nodes, 15.0, edges, 28.0, epochs, 7, time, 31.392696380615234
nodes, 15.0, edges, 28.0, epochs, 8, time, 29.510364294052124
nodes, 15.0, edges, 28.0, epochs, 9, time, 30.685977697372437
nodes, 15.0, edges, 28.0, epochs, 10, time, 32.12468886375427
nodes, 15.0, edges, 28.0, epochs, 11, time, 30.405043125152588
nodes, 15.0, edges, 28.0, epochs, 12, time, 29.139416217803955
nodes, 15.0, edges, 28.0, epochs, 13, time, 31.349472999572754
nodes, 15.0, edges, 28.0, epochs, 14, time, 31.702476739883423
nodes, 15.0, edges, 28.0, epochs, 15, time, 29.46975302696228
nodes, 15.0, edges, 28.0, epochs, 16, time, 29.90754222869873
nodes, 15.0, edges, 28.0, epochs, 17, time, 31.035351753234863
nodes, 15.0, edges, 28.0, epochs, 18, time, 30.278586387634277
nodes, 15.0, edges, 28.0, epochs, 19, time, 28.576447248458862
nodes, 15.0, edges, 28.0, epochs, 20, time, 30.919613122940063
nodes, 15.0, edges, 28.0, epochs, 21, time, 31.664290189743042
nodes, 15.0, edges, 28.0, epochs, 22, time, 29.869478225708008
nodes, 15.0, edges, 28.0, epochs, 23, time, 29.23349928855896
nodes, 15.0, edges, 28.0, epochs, 24, time, 31.285647869110107
nodes, 15.0, edges, 28.0, epochs, 25, time, 31.947755098342896
nodes, 15.0, edges, 28.0, epochs, 26, time, 29.852468729019165
nodes, 15.0, edges, 28.0, epochs, 27, time, 29.539709329605103
nodes, 15.0, edges, 28.0, epochs, 28, time, 30.71882915496826
nodes, 15.0, edges, 28.0, epochs, 29, time, 31.367044925689697
nodes, 15.0, edges, 27.0, epochs, -1, time, 22.321458339691162
nodes, 15.0, edges, 27.0, epochs, 0, time, 25.861835479736328
nodes, 15.0, edges, 27.0, epochs, 1, time, 29.07364296913147
nodes, 15.0, edges, 27.0, epochs, 2, time, 26.517082929611206
nodes, 15.0, edges, 27.0, epochs, 3, time, 26.731178998947144
nodes, 15.0, edges, 27.0, epochs, 4, time, 28.342961072921753
nodes, 15.0, edges, 27.0, epochs, 5, time, 25.74191188812256
nodes, 15.0, edges, 27.0, epochs, 6, time, 26.81937003135681
nodes, 15.0, edges, 27.0, epochs, 7, time, 27.77256202697754
nodes, 15.0, edges, 27.0, epochs, 8, time, 25.21386408805847
nodes, 15.0, edges, 27.0, epochs, 9, time, 26.379608392715454
nodes, 15.0, edges, 27.0, epochs, 10, time, 27.40655541419983
nodes, 15.0, edges, 27.0, epochs, 11, time, 25.1419677734375
