nodes, 30.0, edges, 112.0, epochs, -1, time, 1590.9364130496979
nodes, 30.0, edges, 112.0, epochs, -1, time, 407.7480516433716
nodes, 30.0, edges, 45.0, epochs, -1, time, 40.24894666671753
nodes, 30.0, edges, 45.0, epochs, 0, time, 42.25724983215332
nodes, 30.0, edges, 45.0, epochs, 1, time, 42.39446973800659
nodes, 30.0, edges, 45.0, epochs, 2, time, 43.85793972015381
nodes, 30.0, edges, 45.0, epochs, 3, time, 43.870320558547974
nodes, 30.0, edges, 45.0, epochs, 4, time, 43.133174419403076
nodes, 30.0, edges, 45.0, epochs, 5, time, 44.86469531059265
nodes, 30.0, edges, 45.0, epochs, 6, time, 43.7538275718689
nodes, 30.0, edges, 45.0, epochs, 7, time, 42.94809317588806
nodes, 30.0, edges, 45.0, epochs, -1, time, 48.07038593292236
nodes, 30.0, edges, 45.0, epochs, 0, time, 54.841686964035034
nodes, 30.0, edges, 45.0, epochs, -1, time, 5.924902439117432
nodes, 30.0, edges, 45.0, epochs, 0, time, 7.045590162277222
nodes, 30.0, edges, 45.0, epochs, 1, time, 7.565181493759155
nodes, 30.0, edges, 45.0, epochs, 2, time, 7.678201913833618
nodes, 30.0, edges, 45.0, epochs, 3, time, 7.417016983032227
nodes, 30.0, edges, 45.0, epochs, 4, time, 7.0970778465271
nodes, 30.0, edges, 45.0, epochs, 5, time, 7.656166315078735
nodes, 30.0, edges, 45.0, epochs, 6, time, 7.492090940475464
nodes, 30.0, edges, 45.0, epochs, 7, time, 7.422139644622803
nodes, 30.0, edges, 45.0, epochs, 8, time, 7.463225841522217
nodes, 30.0, edges, 45.0, epochs, 9, time, 7.506308317184448
nodes, 30.0, edges, 45.0, epochs, 10, time, 7.748661041259766
nodes, 30.0, edges, 45.0, epochs, 11, time, 7.7995078563690186
nodes, 30.0, edges, 45.0, epochs, 12, time, 7.507552146911621
nodes, 30.0, edges, 45.0, epochs, 13, time, 7.537106990814209
nodes, 30.0, edges, 45.0, epochs, 14, time, 7.584815979003906
nodes, 30.0, edges, 45.0, epochs, 15, time, 7.540554523468018
nodes, 30.0, edges, 45.0, epochs, 16, time, 7.588466644287109
nodes, 30.0, edges, 45.0, epochs, 17, time, 7.663335800170898
nodes, 30.0, edges, 45.0, epochs, 18, time, 7.497051477432251
nodes, 30.0, edges, 45.0, epochs, 19, time, 7.63605260848999
nodes, 30.0, edges, 45.0, epochs, 20, time, 7.887051582336426
nodes, 30.0, edges, 45.0, epochs, 21, time, 8.102300882339478
nodes, 30.0, edges, 45.0, epochs, 22, time, 7.637610673904419
