Random seed, 1
nodes, 20.0, edges, 33.5, epochs, -1, time, 6.861289024353027
nodes, 20.0, edges, 33.5, epochs, 0, time, 10.17534875869751
nodes, 20.0, edges, 33.5, epochs, 1, time, 11.303602457046509
nodes, 20.0, edges, 33.5, epochs, 2, time, 10.787434816360474
nodes, 20.0, edges, 33.5, epochs, 3, time, 11.028551816940308
nodes, 20.0, edges, 33.5, epochs, 4, time, 11.063224077224731
nodes, 20.0, edges, 33.5, epochs, 5, time, 10.36466360092163
nodes, 20.0, edges, 33.5, epochs, 6, time, 11.03125
nodes, 20.0, edges, 33.5, epochs, 7, time, 11.772671937942505
nodes, 20.0, edges, 33.5, epochs, 8, time, 11.466569900512695
nodes, 20.0, edges, 33.5, epochs, 9, time, 10.24917721748352
nodes, 20.0, edges, 33.5, epochs, 10, time, 10.440762042999268
nodes, 20.0, edges, 33.5, epochs, 11, time, 11.196522235870361
nodes, 20.0, edges, 33.5, epochs, 12, time, 10.768489837646484
nodes, 20.0, edges, 33.5, epochs, 13, time, 10.382877111434937
nodes, 20.0, edges, 33.5, epochs, 14, time, 11.123719930648804
nodes, 20.0, edges, 33.5, epochs, 15, time, 10.795040607452393
nodes, 20.0, edges, 33.5, epochs, 16, time, 10.805486679077148
nodes, 20.0, edges, 33.5, epochs, 17, time, 10.842811107635498
nodes, 20.0, edges, 33.5, epochs, 18, time, 10.782562255859375
nodes, 20.0, edges, 33.5, epochs, 19, time, 11.256910562515259
nodes, 20.0, edges, 33.5, epochs, 20, time, 10.496705055236816
nodes, 20.0, edges, 33.5, epochs, 21, time, 10.593756437301636
nodes, 20.0, edges, 33.5, epochs, 22, time, 10.953486919403076
nodes, 20.0, edges, 33.5, epochs, 23, time, 11.81097149848938
nodes, 20.0, edges, 33.5, epochs, 24, time, 10.95817255973816
nodes, 20.0, edges, 33.5, epochs, 25, time, 10.06805968284607
nodes, 20.0, edges, 33.5, epochs, 26, time, 10.583276987075806
nodes, 20.0, edges, 33.5, epochs, 27, time, 11.072201490402222
nodes, 20.0, edges, 33.5, epochs, 28, time, 10.982500314712524
nodes, 20.0, edges, 33.5, epochs, 29, time, 10.437735319137573
nodes, 20.0, edges, 33.5, epochs, 30, time, 10.983914613723755
Random seed, 2
nodes, 20.0, edges, 31.5, epochs, -1, time, 7.336038112640381
nodes, 20.0, edges, 31.5, epochs, 0, time, 10.20312213897705
nodes, 20.0, edges, 31.5, epochs, 1, time, 10.779572486877441
nodes, 20.0, edges, 31.5, epochs, 2, time, 10.943165063858032
nodes, 20.0, edges, 31.5, epochs, 3, time, 11.103116512298584
nodes, 20.0, edges, 31.5, epochs, 4, time, 10.89274525642395
nodes, 20.0, edges, 31.5, epochs, 5, time, 9.767308235168457
nodes, 20.0, edges, 31.5, epochs, 6, time, 10.466306209564209
nodes, 20.0, edges, 31.5, epochs, 7, time, 10.715015888214111
nodes, 20.0, edges, 31.5, epochs, 8, time, 10.133503913879395
nodes, 20.0, edges, 31.5, epochs, 9, time, 10.087707042694092
nodes, 20.0, edges, 31.5, epochs, 10, time, 9.17853569984436
nodes, 20.0, edges, 31.5, epochs, 11, time, 9.091370344161987
nodes, 20.0, edges, 31.5, epochs, 12, time, 9.742890119552612
nodes, 20.0, edges, 31.5, epochs, 13, time, 10.075710773468018
nodes, 20.0, edges, 31.5, epochs, 14, time, 9.474299430847168
nodes, 20.0, edges, 31.5, epochs, 15, time, 10.371304512023926
nodes, 20.0, edges, 31.5, epochs, 16, time, 9.94782018661499
nodes, 20.0, edges, 31.5, epochs, 17, time, 9.737887144088745
nodes, 20.0, edges, 31.5, epochs, 18, time, 9.780432224273682
nodes, 20.0, edges, 31.5, epochs, 19, time, 9.958203792572021
nodes, 20.0, edges, 31.5, epochs, 20, time, 9.250312566757202
nodes, 20.0, edges, 31.5, epochs, 21, time, 9.911410570144653
nodes, 20.0, edges, 31.5, epochs, 22, time, 9.923097610473633
nodes, 20.0, edges, 31.5, epochs, 23, time, 8.885701894760132
nodes, 20.0, edges, 31.5, epochs, 24, time, 9.616737365722656
nodes, 20.0, edges, 31.5, epochs, 25, time, 10.117112159729004
nodes, 20.0, edges, 31.5, epochs, 26, time, 9.600849151611328
nodes, 20.0, edges, 31.5, epochs, 27, time, 9.696914672851562
nodes, 20.0, edges, 31.5, epochs, 28, time, 9.750555992126465
nodes, 20.0, edges, 31.5, epochs, 29, time, 8.977177619934082
nodes, 20.0, edges, 31.5, epochs, 30, time, 9.017866611480713
Random seed, 3
nodes, 20.0, edges, 26.4, epochs, -1, time, 4.8325676918029785
nodes, 20.0, edges, 26.4, epochs, 0, time, 7.753948211669922
nodes, 20.0, edges, 26.4, epochs, 1, time, 9.32168436050415
nodes, 20.0, edges, 26.4, epochs, 2, time, 8.651447057723999
nodes, 20.0, edges, 26.4, epochs, 3, time, 9.361772298812866
nodes, 20.0, edges, 26.4, epochs, 4, time, 9.246122121810913
nodes, 20.0, edges, 26.4, epochs, 5, time, 8.936269044876099
nodes, 20.0, edges, 26.4, epochs, 6, time, 8.403962135314941
nodes, 20.0, edges, 26.4, epochs, 7, time, 8.53581714630127
nodes, 20.0, edges, 26.4, epochs, 8, time, 7.9649152755737305
nodes, 20.0, edges, 26.4, epochs, 9, time, 8.540029525756836
nodes, 20.0, edges, 26.4, epochs, 10, time, 7.617409706115723
nodes, 20.0, edges, 26.4, epochs, 11, time, 8.373730182647705
nodes, 20.0, edges, 26.4, epochs, 12, time, 7.5460896492004395
nodes, 20.0, edges, 26.4, epochs, 13, time, 8.163795471191406
nodes, 20.0, edges, 26.4, epochs, 14, time, 8.040460586547852
nodes, 20.0, edges, 26.4, epochs, 15, time, 7.547034740447998
nodes, 20.0, edges, 26.4, epochs, 16, time, 8.193786859512329
nodes, 20.0, edges, 26.4, epochs, 17, time, 7.319474697113037
nodes, 20.0, edges, 26.4, epochs, 18, time, 7.675005912780762
nodes, 20.0, edges, 26.4, epochs, 19, time, 7.49625039100647
nodes, 20.0, edges, 26.4, epochs, 20, time, 7.384640455245972
nodes, 20.0, edges, 26.4, epochs, 21, time, 8.08287239074707
nodes, 20.0, edges, 26.4, epochs, 22, time, 7.186755657196045
nodes, 20.0, edges, 26.4, epochs, 23, time, 8.003210544586182
nodes, 20.0, edges, 26.4, epochs, 24, time, 6.849460601806641
nodes, 20.0, edges, 26.4, epochs, 25, time, 7.723721504211426
nodes, 20.0, edges, 26.4, epochs, 26, time, 6.968231201171875
nodes, 20.0, edges, 26.4, epochs, 27, time, 7.874643087387085
nodes, 20.0, edges, 26.4, epochs, 28, time, 6.968689918518066
nodes, 20.0, edges, 26.4, epochs, 29, time, 6.902667999267578
nodes, 20.0, edges, 26.4, epochs, 30, time, 6.373873472213745
Random seed, 4
nodes, 20.0, edges, 29.1, epochs, -1, time, 4.951449632644653
nodes, 20.0, edges, 29.1, epochs, 0, time, 8.365814685821533
nodes, 20.0, edges, 29.1, epochs, 1, time, 10.318188667297363
nodes, 20.0, edges, 29.1, epochs, 2, time, 9.365039348602295
nodes, 20.0, edges, 29.1, epochs, 3, time, 9.659390926361084
nodes, 20.0, edges, 29.1, epochs, 4, time, 9.50976276397705
nodes, 20.0, edges, 29.1, epochs, 5, time, 9.604687213897705
nodes, 20.0, edges, 29.1, epochs, 6, time, 9.828566074371338
nodes, 20.0, edges, 29.1, epochs, 7, time, 9.528149843215942
nodes, 20.0, edges, 29.1, epochs, 8, time, 9.755820512771606
nodes, 20.0, edges, 29.1, epochs, 9, time, 8.974706649780273
nodes, 20.0, edges, 29.1, epochs, 10, time, 8.617874145507812
nodes, 20.0, edges, 29.1, epochs, 11, time, 8.837313413619995
nodes, 20.0, edges, 29.1, epochs, 12, time, 8.644776105880737
nodes, 20.0, edges, 29.1, epochs, 13, time, 8.42809534072876
nodes, 20.0, edges, 29.1, epochs, 14, time, 9.034355401992798
nodes, 20.0, edges, 29.1, epochs, 15, time, 8.30869436264038
nodes, 20.0, edges, 29.1, epochs, 16, time, 7.925429821014404
nodes, 20.0, edges, 29.1, epochs, 17, time, 8.784461259841919
nodes, 20.0, edges, 29.1, epochs, 18, time, 8.587544679641724
nodes, 20.0, edges, 29.1, epochs, 19, time, 8.6645987033844
nodes, 20.0, edges, 29.1, epochs, 20, time, 8.50077748298645
nodes, 20.0, edges, 29.1, epochs, 21, time, 8.082723379135132
nodes, 20.0, edges, 29.1, epochs, 22, time, 8.623831987380981
nodes, 20.0, edges, 29.1, epochs, 23, time, 8.626804828643799
nodes, 20.0, edges, 29.1, epochs, 24, time, 8.600469827651978
nodes, 20.0, edges, 29.1, epochs, 25, time, 8.03257417678833
nodes, 20.0, edges, 29.1, epochs, 26, time, 7.884093761444092
nodes, 20.0, edges, 29.1, epochs, 27, time, 8.134869575500488
nodes, 20.0, edges, 29.1, epochs, 28, time, 8.343848705291748
nodes, 20.0, edges, 29.1, epochs, 29, time, 7.891260385513306
nodes, 20.0, edges, 29.1, epochs, 30, time, 7.931089162826538
Random seed, 5
nodes, 20.0, edges, 31.5, epochs, -1, time, 7.723987102508545
nodes, 20.0, edges, 31.5, epochs, 0, time, 12.445513486862183
nodes, 20.0, edges, 31.5, epochs, 1, time, 12.281863927841187
nodes, 20.0, edges, 31.5, epochs, 2, time, 12.140311002731323
nodes, 20.0, edges, 31.5, epochs, 3, time, 11.07415223121643
nodes, 20.0, edges, 31.5, epochs, 4, time, 13.588073015213013
nodes, 20.0, edges, 31.5, epochs, 5, time, 12.564489841461182
nodes, 20.0, edges, 31.5, epochs, 6, time, 12.765756368637085
nodes, 20.0, edges, 31.5, epochs, 7, time, 12.988488674163818
nodes, 20.0, edges, 31.5, epochs, 8, time, 12.340650796890259
nodes, 20.0, edges, 31.5, epochs, 9, time, 12.01306939125061
nodes, 20.0, edges, 31.5, epochs, 10, time, 12.458051443099976
nodes, 20.0, edges, 31.5, epochs, 11, time, 12.00983715057373
nodes, 20.0, edges, 31.5, epochs, 12, time, 13.581984758377075
nodes, 20.0, edges, 31.5, epochs, 13, time, 12.791335344314575
nodes, 20.0, edges, 31.5, epochs, 14, time, 12.92182183265686
nodes, 20.0, edges, 31.5, epochs, 15, time, 12.900434255599976
nodes, 20.0, edges, 31.5, epochs, 16, time, 13.914457082748413
nodes, 20.0, edges, 31.5, epochs, 17, time, 12.23966360092163
nodes, 20.0, edges, 31.5, epochs, 18, time, 13.466166734695435
nodes, 20.0, edges, 31.5, epochs, 19, time, 13.14216923713684
nodes, 20.0, edges, 31.5, epochs, 20, time, 12.447002410888672
nodes, 20.0, edges, 31.5, epochs, 21, time, 12.967097520828247
nodes, 20.0, edges, 31.5, epochs, 22, time, 12.555159568786621
nodes, 20.0, edges, 31.5, epochs, 23, time, 12.778187990188599
nodes, 20.0, edges, 31.5, epochs, 24, time, 13.059407949447632
nodes, 20.0, edges, 31.5, epochs, 25, time, 12.334911108016968
nodes, 20.0, edges, 31.5, epochs, 26, time, 12.792241096496582
nodes, 20.0, edges, 31.5, epochs, 27, time, 12.262252569198608
nodes, 20.0, edges, 31.5, epochs, 28, time, 12.609743118286133
nodes, 20.0, edges, 31.5, epochs, 29, time, 12.223783493041992
nodes, 20.0, edges, 31.5, epochs, 30, time, 13.000587463378906
Random seed, 6
nodes, 20.0, edges, 31.0, epochs, -1, time, 6.738150119781494
