Random seed, 24, training time, 1715.9158267974854, optimization time, 0
Random seed, 26, training time, 1793.8611266613007, optimization time, 0
Random seed, 36, training time, 1727.9267625808716, optimization time, 0
Random seed, 34, training time, 1774.5515313148499, optimization time, 0
Random seed, 6, training time, 1806.862322807312, optimization time, 0
Random seed, 41, training time, 1869.893313407898, optimization time, 0
Random seed, 2, training time, 1943.5421495437622, optimization time, 0
Random seed, 37, training time, 1935.0279631614685, optimization time, 0
Random seed, 50, training time, 2024.8370552062988, optimization time, 0
Random seed, 17, training time, 2028.2738347053528, optimization time, 0
Random seed, 27, training time, 2063.7248656749725, optimization time, 0
Random seed, 3, training time, 2135.589195728302, optimization time, 0
Random seed, 43, training time, 2137.217468738556, optimization time, 0
Random seed, 5, training time, 2168.079202413559, optimization time, 0
Random seed, 30, training time, 2218.9865157604218, optimization time, 0
Random seed, 15, training time, 2241.803438425064, optimization time, 0
Random seed, 42, training time, 2289.695307970047, optimization time, 0
Random seed, 35, training time, 2242.6614236831665, optimization time, 0
Random seed, 4, training time, 2396.1286997795105, optimization time, 0
Random seed, 11, training time, 2556.981469154358, optimization time, 0
Random seed, 22, training time, 2615.780151128769, optimization time, 0
Random seed, 13, training time, 2585.673925638199, optimization time, 0
Random seed, 33, training time, 2622.876786708832, optimization time, 0
Random seed, 49, training time, 2730.28804731369, optimization time, 0
Random seed, 40, training time, 2783.994691133499, optimization time, 0
Random seed, 10, training time, 2812.4714148044586, optimization time, 0
Random seed, 18, training time, 2849.885026216507, optimization time, 0
Random seed, 14, training time, 3002.0806634426117, optimization time, 0
Random seed, 47, training time, 2964.452381849289, optimization time, 0
Random seed, 21, training time, 3046.3592076301575, optimization time, 0
Random seed, 32, training time, 3151.3914885520935, optimization time, 0
Random seed, 20, training time, 3129.1674995422363, optimization time, 0
Random seed, 19, training time, 3171.6240124702454, optimization time, 0
Random seed, 46, training time, 3196.6363677978516, optimization time, 0
Random seed, 31, training time, 3228.6334834098816, optimization time, 0
Random seed, 45, training time, 3229.8039956092834, optimization time, 0
Random seed, 23, training time, 3352.853660583496, optimization time, 0
Random seed, 39, training time, 3428.0471720695496, optimization time, 0
Random seed, 12, training time, 3577.9986526966095, optimization time, 0
Random seed, 38, training time, 3556.432076692581, optimization time, 0
Random seed, 9, training time, 3602.970461368561, optimization time, 0
Random seed, 29, training time, 3718.5574281215668, optimization time, 0
Random seed, 44, training time, 3763.2121860980988, optimization time, 0
Random seed, 8, training time, 3938.387098312378, optimization time, 0
Random seed, 16, training time, 3898.5182728767395, optimization time, 0
Random seed, 48, training time, 4132.42303442955, optimization time, 0
Random seed, 25, training time, 4125.658574819565, optimization time, 0
Random seed, 7, training time, 4217.535683870316, optimization time, 0
Random seed, 1, training time, 4330.373780488968, optimization time, 0
Random seed, 28, training time, 5263.367321252823, optimization time, 0
