Random seed, 5, training time, 2144.3196227550507, optimization time, 0
Random seed, 15, training time, 2105.113508462906, optimization time, 0
Random seed, 17, training time, 2212.4630386829376, optimization time, 0
Random seed, 34, training time, 2174.7257430553436, optimization time, 0
Random seed, 42, training time, 2203.8596506118774, optimization time, 0
Random seed, 3, training time, 2373.4814581871033, optimization time, 0
Random seed, 13, training time, 2303.21971988678, optimization time, 0
Random seed, 26, training time, 2310.4646389484406, optimization time, 0
Random seed, 33, training time, 2299.261527776718, optimization time, 0
Random seed, 18, training time, 2389.8731019496918, optimization time, 0
Random seed, 14, training time, 2423.9606790542603, optimization time, 0
Random seed, 36, training time, 2336.260546207428, optimization time, 0
Random seed, 2, training time, 2482.913043498993, optimization time, 0
Random seed, 25, training time, 2415.296780347824, optimization time, 0
Random seed, 7, training time, 2498.5893433094025, optimization time, 0
Random seed, 37, training time, 2413.2348051071167, optimization time, 0
Random seed, 24, training time, 2447.9375059604645, optimization time, 0
Random seed, 32, training time, 2440.7464492321014, optimization time, 0
Random seed, 41, training time, 2383.483617782593, optimization time, 0
Random seed, 19, training time, 2502.263523578644, optimization time, 0
Random seed, 44, training time, 2414.824996471405, optimization time, 0
Random seed, 27, training time, 2517.811222553253, optimization time, 0
Random seed, 28, training time, 2553.5109603405, optimization time, 0
Random seed, 11, training time, 2581.7192935943604, optimization time, 0
Random seed, 30, training time, 2535.284477710724, optimization time, 0
Random seed, 35, training time, 2554.674286365509, optimization time, 0
Random seed, 20, training time, 2688.0571422576904, optimization time, 0
Random seed, 45, training time, 2637.979250192642, optimization time, 0
Random seed, 39, training time, 2660.922348499298, optimization time, 0
Random seed, 43, training time, 2610.7512123584747, optimization time, 0
Random seed, 12, training time, 2781.539644241333, optimization time, 0
Random seed, 46, training time, 2665.162189245224, optimization time, 0
Random seed, 38, training time, 2741.2351326942444, optimization time, 0
Random seed, 40, training time, 2726.8116307258606, optimization time, 0
Random seed, 50, training time, 2703.863512992859, optimization time, 0
Random seed, 8, training time, 2867.204749107361, optimization time, 0
Random seed, 21, training time, 2823.8003313541412, optimization time, 0
Random seed, 10, training time, 2863.510790348053, optimization time, 0
Random seed, 1, training time, 2919.752852678299, optimization time, 0
Random seed, 4, training time, 2829.8541209697723, optimization time, 0
Random seed, 48, training time, 2727.6181194782257, optimization time, 0
Random seed, 9, training time, 2877.3130388259888, optimization time, 0
Random seed, 23, training time, 2855.8096153736115, optimization time, 0
Random seed, 31, training time, 2869.6705157756805, optimization time, 0
Random seed, 6, training time, 3002.966497182846, optimization time, 0
Random seed, 47, training time, 2907.284346103668, optimization time, 0
Random seed, 22, training time, 3099.4255962371826, optimization time, 0
Random seed, 29, training time, 3158.374244451523, optimization time, 0
Random seed, 49, training time, 3178.1140356063843, optimization time, 0
Random seed, 16, training time, 3485.1764397621155, optimization time, 0
