Random seed, 50, training time, 30686.046308279037, optimization time, 0
Random seed, 30, training time, 31475.4190864563, optimization time, 0
Random seed, 7, training time, 31704.093474388123, optimization time, 0
Random seed, 10, training time, 32086.210664749146, optimization time, 0
Random seed, 3, training time, 32495.095328569412, optimization time, 0
Random seed, 12, training time, 32926.777487039566, optimization time, 0
Random seed, 46, training time, 32984.04694676399, optimization time, 0
Random seed, 27, training time, 33169.48034119606, optimization time, 0
Random seed, 9, training time, 32925.73109078407, optimization time, 0
Random seed, 48, training time, 33504.35528421402, optimization time, 0
Random seed, 47, training time, 33579.115805625916, optimization time, 0
Random seed, 36, training time, 33975.06881284714, optimization time, 0
Random seed, 1, training time, 34056.278114795685, optimization time, 0
Random seed, 29, training time, 33984.60285830498, optimization time, 0
Random seed, 2, training time, 34530.650579214096, optimization time, 0
Random seed, 20, training time, 35048.220440387726, optimization time, 0
Random seed, 28, training time, 34618.88395500183, optimization time, 0
Random seed, 15, training time, 35133.21824121475, optimization time, 0
Random seed, 34, training time, 35189.51941943169, optimization time, 0
Random seed, 26, training time, 35193.15497970581, optimization time, 0
Random seed, 24, training time, 35425.86321616173, optimization time, 0
Random seed, 25, training time, 34825.37012696266, optimization time, 0
Random seed, 44, training time, 35549.838452100754, optimization time, 0
Random seed, 40, training time, 35667.247858047485, optimization time, 0
Random seed, 35, training time, 35766.27895998955, optimization time, 0
Random seed, 14, training time, 36027.89521241188, optimization time, 0
Random seed, 8, training time, 36325.203051805496, optimization time, 0
Random seed, 32, training time, 36273.755799770355, optimization time, 0
Random seed, 38, training time, 36441.69071531296, optimization time, 0
Random seed, 5, training time, 36313.312755823135, optimization time, 0
Random seed, 18, training time, 36708.133372068405, optimization time, 0
Random seed, 43, training time, 36391.85105895996, optimization time, 0
Random seed, 13, training time, 36960.004787921906, optimization time, 0
Random seed, 41, training time, 37052.71978020668, optimization time, 0
Random seed, 42, training time, 37104.31043958664, optimization time, 0
Random seed, 16, training time, 37268.837983608246, optimization time, 0
Random seed, 22, training time, 37068.292763233185, optimization time, 0
Random seed, 19, training time, 36875.47911310196, optimization time, 0
Random seed, 39, training time, 37664.600855112076, optimization time, 0
Random seed, 33, training time, 37408.99593639374, optimization time, 0
Random seed, 31, training time, 37954.13052725792, optimization time, 0
Random seed, 21, training time, 38437.484669446945, optimization time, 0
Random seed, 6, training time, 37317.814663648605, optimization time, 0
Random seed, 11, training time, 37836.45920610428, optimization time, 0
Random seed, 23, training time, 38261.34368228912, optimization time, 0
Random seed, 49, training time, 40723.38441467285, optimization time, 0
Random seed, 17, training time, 40112.51912522316, optimization time, 0
Random seed, 45, training time, 41386.574909448624, optimization time, 0
Random seed, 37, training time, 43247.90868759155, optimization time, 0
Random seed, 4, training time, 44875.45729017258, optimization time, 0
