Random seed, 7, training time, 3006.326029062271, optimization time, 0
Random seed, 5, training time, 3431.392243385315, optimization time, 0
Random seed, 41, training time, 3910.921658039093, optimization time, 0
Random seed, 47, training time, 4258.595698595047, optimization time, 0
Random seed, 25, training time, 4818.992391347885, optimization time, 0
Random seed, 24, training time, 5435.002529144287, optimization time, 0
Random seed, 13, training time, 5796.4584929943085, optimization time, 0
Random seed, 35, training time, 5756.193542957306, optimization time, 0
Random seed, 36, training time, 5939.29408288002, optimization time, 0
Random seed, 22, training time, 6104.258502244949, optimization time, 0
Random seed, 3, training time, 6315.891228914261, optimization time, 0
Random seed, 17, training time, 6194.7019209861755, optimization time, 0
Random seed, 45, training time, 6109.094722986221, optimization time, 0
Random seed, 9, training time, 6273.610923290253, optimization time, 0
Random seed, 1, training time, 6780.262766361237, optimization time, 0
Random seed, 10, training time, 6767.7083377838135, optimization time, 0
Random seed, 18, training time, 6833.519584417343, optimization time, 0
Random seed, 34, training time, 6856.122798681259, optimization time, 0
Random seed, 37, training time, 6776.805975437164, optimization time, 0
Random seed, 39, training time, 6857.577007055283, optimization time, 0
Random seed, 40, training time, 6915.026371240616, optimization time, 0
Random seed, 2, training time, 7056.262149095535, optimization time, 0
Random seed, 15, training time, 6963.933488845825, optimization time, 0
Random seed, 14, training time, 7123.279988527298, optimization time, 0
Random seed, 42, training time, 7113.598951816559, optimization time, 0
Random seed, 30, training time, 7089.936279773712, optimization time, 0
Random seed, 50, training time, 7224.206901550293, optimization time, 0
Random seed, 6, training time, 7288.05956530571, optimization time, 0
Random seed, 33, training time, 7446.60635638237, optimization time, 0
Random seed, 38, training time, 7598.534093141556, optimization time, 0
Random seed, 43, training time, 7696.908368587494, optimization time, 0
Random seed, 27, training time, 7916.666612625122, optimization time, 0
Random seed, 23, training time, 7975.381690740585, optimization time, 0
Random seed, 46, training time, 8101.726961135864, optimization time, 0
Random seed, 8, training time, 8173.717745542526, optimization time, 0
Random seed, 49, training time, 8418.070201158524, optimization time, 0
Random seed, 21, training time, 8569.67633652687, optimization time, 0
Random seed, 11, training time, 8597.93723988533, optimization time, 0
Random seed, 28, training time, 8818.29430437088, optimization time, 0
Random seed, 4, training time, 8873.664163827896, optimization time, 0
Random seed, 12, training time, 9319.288243055344, optimization time, 0
Random seed, 32, training time, 9422.218340873718, optimization time, 0
Random seed, 31, training time, 9480.016857385635, optimization time, 0
Random seed, 48, training time, 9467.89637541771, optimization time, 0
Random seed, 44, training time, 10043.720047712326, optimization time, 0
Random seed, 29, training time, 10834.803474664688, optimization time, 0
Random seed, 20, training time, 10755.601301431656, optimization time, 0
Random seed, 16, training time, 10940.55311870575, optimization time, 0
Random seed, 26, training time, 13249.219162940979, optimization time, 0
