Random seed, 8, training time, 29900.88684439659, optimization time, 0
Random seed, 30, training time, 31843.608642578125, optimization time, 0
Random seed, 15, training time, 32184.7595539093, optimization time, 0
Random seed, 50, training time, 31757.906459331512, optimization time, 0
Random seed, 10, training time, 32786.900418519974, optimization time, 0
Random seed, 27, training time, 32642.954413175583, optimization time, 0
Random seed, 20, training time, 32742.912889957428, optimization time, 0
Random seed, 3, training time, 32740.196964740753, optimization time, 0
Random seed, 12, training time, 33734.30682897568, optimization time, 0
Random seed, 28, training time, 33923.16839051247, optimization time, 0
Random seed, 34, training time, 34009.89611554146, optimization time, 0
Random seed, 42, training time, 34080.07912492752, optimization time, 0
Random seed, 9, training time, 34164.32722759247, optimization time, 0
Random seed, 16, training time, 33893.62899208069, optimization time, 0
Random seed, 43, training time, 33554.324046850204, optimization time, 0
Random seed, 24, training time, 33988.30837106705, optimization time, 0
Random seed, 36, training time, 34838.228711128235, optimization time, 0
Random seed, 1, training time, 34617.434307813644, optimization time, 0
Random seed, 14, training time, 34443.84251713753, optimization time, 0
Random seed, 26, training time, 34554.232197999954, optimization time, 0
Random seed, 7, training time, 34476.43691802025, optimization time, 0
Random seed, 46, training time, 35189.855137348175, optimization time, 0
Random seed, 37, training time, 35328.78667783737, optimization time, 0
Random seed, 32, training time, 35137.74574136734, optimization time, 0
Random seed, 2, training time, 35448.324883461, optimization time, 0
Random seed, 47, training time, 36025.56273961067, optimization time, 0
Random seed, 13, training time, 35578.20386958122, optimization time, 0
Random seed, 48, training time, 36430.739708185196, optimization time, 0
Random seed, 11, training time, 35394.68647861481, optimization time, 0
Random seed, 18, training time, 36128.56820011139, optimization time, 0
Random seed, 33, training time, 35875.583980083466, optimization time, 0
Random seed, 35, training time, 36474.3366920948, optimization time, 0
Random seed, 21, training time, 36601.62906002998, optimization time, 0
Random seed, 22, training time, 36315.35604453087, optimization time, 0
Random seed, 23, training time, 36267.36899995804, optimization time, 0
Random seed, 4, training time, 36513.386880874634, optimization time, 0
Random seed, 49, training time, 37221.454674482346, optimization time, 0
Random seed, 25, training time, 36484.02444434166, optimization time, 0
Random seed, 40, training time, 37663.83198952675, optimization time, 0
Random seed, 41, training time, 37972.3551595211, optimization time, 0
Random seed, 38, training time, 37978.61559987068, optimization time, 0
Random seed, 39, training time, 37778.49889612198, optimization time, 0
Random seed, 19, training time, 37480.04876732826, optimization time, 0
Random seed, 44, training time, 37863.03342676163, optimization time, 0
Random seed, 5, training time, 37923.56437134743, optimization time, 0
Random seed, 6, training time, 38059.499427080154, optimization time, 0
Random seed, 31, training time, 39390.07283806801, optimization time, 0
Random seed, 17, training time, 40533.649513959885, optimization time, 0
Random seed, 45, training time, 42835.05680298805, optimization time, 0
