Random seed, 12, training time, 6052.655144453049, optimization time, 0
Random seed, 19, training time, 6383.858341693878, optimization time, 0
Random seed, 7, training time, 7735.449182987213, optimization time, 0
Random seed, 17, training time, 7835.895576715469, optimization time, 0
Random seed, 13, training time, 7961.234170913696, optimization time, 0
Random seed, 26, training time, 8351.5298371315, optimization time, 0
Random seed, 5, training time, 8113.063346862793, optimization time, 0
Random seed, 30, training time, 8363.957668542862, optimization time, 0
Random seed, 28, training time, 9154.429410219193, optimization time, 0
Random seed, 23, training time, 9095.688995838165, optimization time, 0
Random seed, 10, training time, 10409.594856977463, optimization time, 0
Random seed, 9, training time, 10724.348103761673, optimization time, 0
Random seed, 16, training time, 10910.378509283066, optimization time, 0
Random seed, 6, training time, 10884.814839601517, optimization time, 0
Random seed, 20, training time, 11059.156236410141, optimization time, 0
Random seed, 2, training time, 11871.401903390884, optimization time, 0
Random seed, 25, training time, 12135.68813920021, optimization time, 0
Random seed, 1, training time, 12633.53017950058, optimization time, 0
Random seed, 11, training time, 12342.86765575409, optimization time, 0
Random seed, 24, training time, 13173.128751277924, optimization time, 0
Random seed, 14, training time, 13768.71944475174, optimization time, 0
Random seed, 4, training time, 14395.732230186462, optimization time, 0
Random seed, 3, training time, 14854.44270157814, optimization time, 0
Random seed, 29, training time, 14868.64147734642, optimization time, 0
Random seed, 27, training time, 15245.02523612976, optimization time, 0
Random seed, 18, training time, 15812.905674695969, optimization time, 0
Random seed, 8, training time, 18593.3858127594, optimization time, 0
Random seed, 15, training time, 20599.974917173386, optimization time, 0
Random seed, 21, training time, 24979.19842815399, optimization time, 0
Random seed, 22, training time, 47677.46606755257, optimization time, 0
