Random seed, 34, training time, 3616.590799331665, optimization time, 0
Random seed, 27, training time, 3720.738665342331, optimization time, 0
Random seed, 17, training time, 3781.644459962845, optimization time, 0
Random seed, 37, training time, 3937.2766556739807, optimization time, 0
Random seed, 41, training time, 3901.309066295624, optimization time, 0
Random seed, 43, training time, 3871.185308933258, optimization time, 0
Random seed, 15, training time, 3923.1122698783875, optimization time, 0
Random seed, 40, training time, 3970.284116268158, optimization time, 0
Random seed, 25, training time, 3981.557909488678, optimization time, 0
Random seed, 33, training time, 4035.221691608429, optimization time, 0
Random seed, 9, training time, 4105.016501903534, optimization time, 0
Random seed, 49, training time, 4025.1418194770813, optimization time, 0
Random seed, 45, training time, 4130.0146861076355, optimization time, 0
Random seed, 36, training time, 4203.860042333603, optimization time, 0
Random seed, 5, training time, 4258.662346124649, optimization time, 0
Random seed, 13, training time, 4281.18777513504, optimization time, 0
Random seed, 46, training time, 4247.665628910065, optimization time, 0
Random seed, 44, training time, 4286.192348480225, optimization time, 0
Random seed, 18, training time, 4296.890401124954, optimization time, 0
Random seed, 35, training time, 4396.6501121521, optimization time, 0
Random seed, 16, training time, 4308.120517730713, optimization time, 0
Random seed, 4, training time, 4450.749480247498, optimization time, 0
Random seed, 1, training time, 4393.246814250946, optimization time, 0
Random seed, 22, training time, 4365.278444290161, optimization time, 0
Random seed, 47, training time, 4393.447404384613, optimization time, 0
Random seed, 42, training time, 4432.310800790787, optimization time, 0
Random seed, 23, training time, 4471.036351680756, optimization time, 0
Random seed, 19, training time, 4496.21079492569, optimization time, 0
Random seed, 12, training time, 4626.775216817856, optimization time, 0
Random seed, 14, training time, 4575.178835630417, optimization time, 0
Random seed, 32, training time, 4546.257869958878, optimization time, 0
Random seed, 24, training time, 4599.70893740654, optimization time, 0
Random seed, 11, training time, 4609.815670251846, optimization time, 0
Random seed, 30, training time, 4776.552797794342, optimization time, 0
Random seed, 3, training time, 4796.602998018265, optimization time, 0
Random seed, 6, training time, 4758.121036529541, optimization time, 0
Random seed, 21, training time, 4758.981883525848, optimization time, 0
Random seed, 48, training time, 4762.431787252426, optimization time, 0
Random seed, 26, training time, 4781.236660718918, optimization time, 0
Random seed, 38, training time, 4803.512117862701, optimization time, 0
Random seed, 50, training time, 4772.578321695328, optimization time, 0
Random seed, 39, training time, 4826.32195019722, optimization time, 0
Random seed, 28, training time, 4825.204299926758, optimization time, 0
Random seed, 2, training time, 5018.161557197571, optimization time, 0
Random seed, 29, training time, 4995.080771446228, optimization time, 0
Random seed, 7, training time, 5057.974919319153, optimization time, 0
Random seed, 8, training time, 5031.64986205101, optimization time, 0
Random seed, 20, training time, 4886.431178331375, optimization time, 0
Random seed, 10, training time, 5124.806874752045, optimization time, 0
Random seed, 31, training time, 5879.69416975975, optimization time, 0
