Random seed, 39, training time, 1418.0663952827454, optimization time, 0
Random seed, 26, training time, 1547.3300564289093, optimization time, 0
Random seed, 12, training time, 1719.6288931369781, optimization time, 0
Random seed, 28, training time, 1839.7876579761505, optimization time, 0
Random seed, 19, training time, 1997.2367312908173, optimization time, 0
Random seed, 16, training time, 2067.0430550575256, optimization time, 0
Random seed, 10, training time, 2120.6827495098114, optimization time, 0
Random seed, 9, training time, 2137.8277225494385, optimization time, 0
Random seed, 1, training time, 2198.249568462372, optimization time, 0
Random seed, 17, training time, 2108.4179475307465, optimization time, 0
Random seed, 7, training time, 2155.763848543167, optimization time, 0
Random seed, 24, training time, 2169.3746201992035, optimization time, 0
Random seed, 13, training time, 2181.198052883148, optimization time, 0
Random seed, 37, training time, 2212.814243078232, optimization time, 0
Random seed, 46, training time, 2280.277604818344, optimization time, 0
Random seed, 47, training time, 2224.2129740715027, optimization time, 0
Random seed, 30, training time, 2237.607878446579, optimization time, 0
Random seed, 20, training time, 2259.3052673339844, optimization time, 0
Random seed, 5, training time, 2284.093787908554, optimization time, 0
Random seed, 48, training time, 2274.6284041404724, optimization time, 0
Random seed, 43, training time, 2315.1887006759644, optimization time, 0
Random seed, 34, training time, 2357.0938935279846, optimization time, 0
Random seed, 36, training time, 2371.892451763153, optimization time, 0
Random seed, 35, training time, 2439.801438808441, optimization time, 0
Random seed, 6, training time, 2444.341905593872, optimization time, 0
Random seed, 23, training time, 2405.4419074058533, optimization time, 0
Random seed, 27, training time, 2492.145383119583, optimization time, 0
Random seed, 2, training time, 2528.959724187851, optimization time, 0
Random seed, 14, training time, 2550.917823076248, optimization time, 0
Random seed, 50, training time, 2568.35742020607, optimization time, 0
Random seed, 38, training time, 2653.8986372947693, optimization time, 0
Random seed, 40, training time, 2688.914768218994, optimization time, 0
Random seed, 18, training time, 2686.942164182663, optimization time, 0
Random seed, 41, training time, 2706.113612174988, optimization time, 0
Random seed, 31, training time, 2788.36159324646, optimization time, 0
Random seed, 44, training time, 2770.1380486488342, optimization time, 0
Random seed, 25, training time, 2788.533310174942, optimization time, 0
Random seed, 8, training time, 2878.294419527054, optimization time, 0
Random seed, 3, training time, 2884.8806443214417, optimization time, 0
Random seed, 32, training time, 2920.579422712326, optimization time, 0
Random seed, 4, training time, 2951.590387582779, optimization time, 0
Random seed, 29, training time, 3051.3598368167877, optimization time, 0
Random seed, 45, training time, 2997.3474814891815, optimization time, 0
Random seed, 21, training time, 3103.290442466736, optimization time, 0
Random seed, 49, training time, 2983.4959387779236, optimization time, 0
Random seed, 42, training time, 3079.61173415184, optimization time, 0
Random seed, 11, training time, 3120.6472475528717, optimization time, 0
Random seed, 15, training time, 3149.5627806186676, optimization time, 0
Random seed, 33, training time, 3277.5778057575226, optimization time, 0
Random seed, 22, training time, 4243.45513010025, optimization time, 0
