Random seed, 39, training time, 1299.269401550293, optimization time, 0
Random seed, 12, training time, 1835.4463713169098, optimization time, 0
Random seed, 26, training time, 1919.3725678920746, optimization time, 0
Random seed, 1, training time, 2072.961097717285, optimization time, 0
Random seed, 9, training time, 2024.01473903656, optimization time, 0
Random seed, 46, training time, 2115.7120978832245, optimization time, 0
Random seed, 19, training time, 2017.6147148609161, optimization time, 0
Random seed, 32, training time, 2137.1867904663086, optimization time, 0
Random seed, 7, training time, 2097.642677783966, optimization time, 0
Random seed, 16, training time, 2138.3253507614136, optimization time, 0
Random seed, 43, training time, 2189.777862071991, optimization time, 0
Random seed, 17, training time, 2173.3425455093384, optimization time, 0
Random seed, 48, training time, 2157.671713590622, optimization time, 0
Random seed, 24, training time, 2351.0596177577972, optimization time, 0
Random seed, 13, training time, 2313.5492622852325, optimization time, 0
Random seed, 47, training time, 2350.422639608383, optimization time, 0
Random seed, 30, training time, 2359.011226415634, optimization time, 0
Random seed, 10, training time, 2394.2897715568542, optimization time, 0
Random seed, 23, training time, 2408.6822860240936, optimization time, 0
Random seed, 38, training time, 2462.548320055008, optimization time, 0
Random seed, 36, training time, 2428.4348437786102, optimization time, 0
Random seed, 28, training time, 2443.418164730072, optimization time, 0
Random seed, 34, training time, 2487.4159779548645, optimization time, 0
Random seed, 37, training time, 2472.1162374019623, optimization time, 0
Random seed, 5, training time, 2506.414659023285, optimization time, 0
Random seed, 20, training time, 2511.1016829013824, optimization time, 0
Random seed, 6, training time, 2511.0054376125336, optimization time, 0
Random seed, 2, training time, 2627.9201078414917, optimization time, 0
Random seed, 14, training time, 2573.849135875702, optimization time, 0
Random seed, 35, training time, 2596.3989775180817, optimization time, 0
Random seed, 50, training time, 2556.394223690033, optimization time, 0
Random seed, 40, training time, 2645.0870275497437, optimization time, 0
Random seed, 41, training time, 2702.884773015976, optimization time, 0
Random seed, 31, training time, 2721.9417650699615, optimization time, 0
Random seed, 27, training time, 2733.874805688858, optimization time, 0
Random seed, 44, training time, 2758.371868610382, optimization time, 0
Random seed, 25, training time, 2749.886796474457, optimization time, 0
Random seed, 29, training time, 2848.4779534339905, optimization time, 0
Random seed, 8, training time, 2898.8646199703217, optimization time, 0
Random seed, 49, training time, 2912.680995464325, optimization time, 0
Random seed, 21, training time, 2982.0735354423523, optimization time, 0
Random seed, 3, training time, 3058.504050016403, optimization time, 0
Random seed, 45, training time, 3021.5044071674347, optimization time, 0
Random seed, 18, training time, 3082.6193454265594, optimization time, 0
Random seed, 11, training time, 3081.9082157611847, optimization time, 0
Random seed, 33, training time, 3202.621930360794, optimization time, 0
Random seed, 42, training time, 3179.3334486484528, optimization time, 0
Random seed, 4, training time, 3232.350193500519, optimization time, 0
Random seed, 15, training time, 3446.510236263275, optimization time, 0
Random seed, 22, training time, 3879.9782481193542, optimization time, 0
