Random seed, 39, training time, 1454.0179812908173, optimization time, 0
Random seed, 26, training time, 1577.7711925506592, optimization time, 0
Random seed, 12, training time, 1691.955415725708, optimization time, 0
Random seed, 28, training time, 1867.561722278595, optimization time, 0
Random seed, 1, training time, 2104.2439568042755, optimization time, 0
Random seed, 9, training time, 2088.9484462738037, optimization time, 0
Random seed, 16, training time, 2112.2641417980194, optimization time, 0
Random seed, 19, training time, 2132.0659623146057, optimization time, 0
Random seed, 7, training time, 2146.7694730758667, optimization time, 0
Random seed, 47, training time, 2125.616661310196, optimization time, 0
Random seed, 17, training time, 2165.9457290172577, optimization time, 0
Random seed, 46, training time, 2233.028825521469, optimization time, 0
Random seed, 13, training time, 2202.437083721161, optimization time, 0
Random seed, 5, training time, 2199.4396164417267, optimization time, 0
Random seed, 43, training time, 2256.2525572776794, optimization time, 0
Random seed, 10, training time, 2305.570336341858, optimization time, 0
Random seed, 24, training time, 2294.6221327781677, optimization time, 0
Random seed, 30, training time, 2270.933483362198, optimization time, 0
Random seed, 37, training time, 2300.0385229587555, optimization time, 0
Random seed, 6, training time, 2386.863787651062, optimization time, 0
Random seed, 23, training time, 2385.468859434128, optimization time, 0
Random seed, 48, training time, 2326.760817527771, optimization time, 0
Random seed, 34, training time, 2399.8750269412994, optimization time, 0
Random seed, 2, training time, 2438.8239204883575, optimization time, 0
Random seed, 20, training time, 2459.285047531128, optimization time, 0
Random seed, 35, training time, 2533.1087799072266, optimization time, 0
Random seed, 50, training time, 2493.5290126800537, optimization time, 0
Random seed, 36, training time, 2513.9935023784637, optimization time, 0
Random seed, 14, training time, 2615.8314452171326, optimization time, 0
Random seed, 38, training time, 2656.6889305114746, optimization time, 0
Random seed, 27, training time, 2713.384777545929, optimization time, 0
Random seed, 8, training time, 2798.343581199646, optimization time, 0
Random seed, 40, training time, 2782.794633626938, optimization time, 0
Random seed, 41, training time, 2822.7609503269196, optimization time, 0
Random seed, 44, training time, 2903.092836856842, optimization time, 0
Random seed, 25, training time, 2873.8079221248627, optimization time, 0
Random seed, 3, training time, 2928.4183537960052, optimization time, 0
Random seed, 29, training time, 2940.0091807842255, optimization time, 0
Random seed, 42, training time, 2909.745084285736, optimization time, 0
Random seed, 31, training time, 2971.4531128406525, optimization time, 0
Random seed, 45, training time, 2911.4833805561066, optimization time, 0
Random seed, 32, training time, 3067.740499019623, optimization time, 0
Random seed, 49, training time, 3055.7682852745056, optimization time, 0
Random seed, 4, training time, 3083.963859319687, optimization time, 0
Random seed, 21, training time, 3197.281491994858, optimization time, 0
Random seed, 18, training time, 3227.891233444214, optimization time, 0
Random seed, 33, training time, 3259.803719520569, optimization time, 0
Random seed, 15, training time, 3290.403680086136, optimization time, 0
Random seed, 11, training time, 3523.5447719097137, optimization time, 0
Random seed, 22, training time, 4165.3341636657715, optimization time, 0
