nodes, 20.0, edges, 42.0, epochs, -1, time, 19.76470160484314
nodes, 20.0, edges, 42.0, epochs, 0, time, 9.663241147994995
nodes, 20.0, edges, 42.0, epochs, 1, time, 10.605181694030762
nodes, 20.0, edges, 42.0, epochs, 2, time, 19.796795129776
nodes, 20.0, edges, 42.0, epochs, 3, time, 22.051297903060913
nodes, 20.0, edges, 42.0, epochs, 4, time, 17.70703911781311
nodes, 20.0, edges, 42.0, epochs, 5, time, 26.564990282058716
nodes, 20.0, edges, 42.0, epochs, 6, time, 31.296571969985962
nodes, 20.0, edges, 42.0, epochs, 7, time, 28.104170560836792
nodes, 20.0, edges, 42.0, epochs, 8, time, 24.545361757278442
nodes, 20.0, edges, 42.0, epochs, 9, time, 33.21955180168152
nodes, 20.0, edges, 42.0, epochs, 10, time, 25.86458730697632
nodes, 20.0, edges, 42.0, epochs, 11, time, 27.779557704925537
nodes, 20.0, edges, 42.0, epochs, 12, time, 26.35489320755005
nodes, 20.0, edges, 42.0, epochs, 13, time, 24.423413276672363
nodes, 20.0, edges, 42.0, epochs, 14, time, 31.1543071269989
nodes, 20.0, edges, 42.0, epochs, 15, time, 33.29116892814636
nodes, 20.0, edges, 42.0, epochs, 16, time, 30.515852212905884
nodes, 20.0, edges, 42.0, epochs, 17, time, 25.511730194091797
nodes, 20.0, edges, 42.0, epochs, 18, time, 26.91493058204651
nodes, 20.0, edges, 42.0, epochs, 19, time, 33.78530502319336
nodes, 20.0, edges, 43.0, epochs, -1, time, 6.472969055175781
nodes, 20.0, edges, 43.0, epochs, 0, time, 7.616451978683472
nodes, 20.0, edges, 43.0, epochs, 1, time, 16.53471350669861
nodes, 20.0, edges, 43.0, epochs, 2, time, 8.00290322303772
nodes, 20.0, edges, 43.0, epochs, 3, time, 8.096801996231079
nodes, 20.0, edges, 43.0, epochs, 4, time, 10.712276220321655
nodes, 20.0, edges, 43.0, epochs, 5, time, 9.874749660491943
nodes, 20.0, edges, 43.0, epochs, 6, time, 10.221719741821289
nodes, 20.0, edges, 43.0, epochs, 7, time, 9.654926538467407
nodes, 20.0, edges, 43.0, epochs, 8, time, 8.878801822662354
nodes, 20.0, edges, 43.0, epochs, 9, time, 10.10806155204773
nodes, 20.0, edges, 43.0, epochs, 10, time, 10.439010381698608
nodes, 20.0, edges, 43.0, epochs, 11, time, 7.847043752670288
nodes, 20.0, edges, 43.0, epochs, 12, time, 9.261241674423218
nodes, 20.0, edges, 43.0, epochs, 13, time, 8.807500839233398
nodes, 20.0, edges, 43.0, epochs, 14, time, 9.677268981933594
nodes, 20.0, edges, 43.0, epochs, 15, time, 9.842470407485962
nodes, 20.0, edges, 43.0, epochs, 16, time, 8.603895425796509
nodes, 20.0, edges, 43.0, epochs, 17, time, 8.547346591949463
nodes, 20.0, edges, 43.0, epochs, 18, time, 9.057177305221558
nodes, 20.0, edges, 43.0, epochs, 19, time, 10.06077766418457
nodes, 20.0, edges, 48.0, epochs, -1, time, 36.1396369934082
nodes, 20.0, edges, 48.0, epochs, 0, time, 8.67862319946289
nodes, 20.0, edges, 48.0, epochs, 1, time, 9.515593528747559
nodes, 20.0, edges, 48.0, epochs, 2, time, 26.434908866882324
nodes, 20.0, edges, 48.0, epochs, 3, time, 26.049265384674072
nodes, 20.0, edges, 48.0, epochs, 4, time, 31.387176036834717
nodes, 20.0, edges, 48.0, epochs, 5, time, 29.41832160949707
nodes, 20.0, edges, 48.0, epochs, 6, time, 26.69299006462097
nodes, 20.0, edges, 48.0, epochs, 7, time, 36.6304407119751
nodes, 20.0, edges, 48.0, epochs, 8, time, 34.57291555404663
nodes, 20.0, edges, 48.0, epochs, 9, time, 40.106393575668335
nodes, 20.0, edges, 48.0, epochs, 10, time, 35.940101146698
nodes, 20.0, edges, 48.0, epochs, 11, time, 37.214375495910645
nodes, 20.0, edges, 48.0, epochs, 12, time, 35.91062116622925
nodes, 20.0, edges, 48.0, epochs, 13, time, 34.126426219940186
nodes, 20.0, edges, 48.0, epochs, 14, time, 35.41348481178284
nodes, 20.0, edges, 48.0, epochs, 15, time, 35.41496253013611
nodes, 20.0, edges, 48.0, epochs, 16, time, 37.287144899368286
nodes, 20.0, edges, 48.0, epochs, 17, time, 27.438150882720947
nodes, 20.0, edges, 48.0, epochs, 18, time, 38.035346269607544
nodes, 20.0, edges, 48.0, epochs, 19, time, 38.61787223815918
nodes, 20.0, edges, 34.0, epochs, -1, time, 14.374302864074707
nodes, 20.0, edges, 34.0, epochs, 0, time, 8.947479009628296
nodes, 20.0, edges, 34.0, epochs, 1, time, 11.367996215820312
nodes, 20.0, edges, 34.0, epochs, 2, time, 23.348509073257446
nodes, 20.0, edges, 34.0, epochs, 3, time, 29.34638500213623
nodes, 20.0, edges, 34.0, epochs, 4, time, 25.790290117263794
nodes, 20.0, edges, 34.0, epochs, 5, time, 18.20628046989441
nodes, 20.0, edges, 34.0, epochs, 6, time, 17.651381015777588
nodes, 20.0, edges, 34.0, epochs, 7, time, 16.853180646896362
nodes, 20.0, edges, 34.0, epochs, 8, time, 20.290224075317383
nodes, 20.0, edges, 34.0, epochs, 9, time, 18.14082360267639
nodes, 20.0, edges, 34.0, epochs, 10, time, 20.679561614990234
nodes, 20.0, edges, 34.0, epochs, 11, time, 21.88464617729187
nodes, 20.0, edges, 34.0, epochs, 12, time, 24.968238830566406
nodes, 20.0, edges, 34.0, epochs, 13, time, 17.819672107696533
nodes, 20.0, edges, 34.0, epochs, 14, time, 16.25719451904297
nodes, 20.0, edges, 34.0, epochs, 15, time, 24.80406904220581
nodes, 20.0, edges, 34.0, epochs, 16, time, 20.762293815612793
nodes, 20.0, edges, 34.0, epochs, 17, time, 16.28828763961792
nodes, 20.0, edges, 34.0, epochs, 18, time, 16.77605390548706
nodes, 20.0, edges, 34.0, epochs, 19, time, 17.88187527656555
